Term	P-value	Genes
Hs_B_Cell_Receptor_Signaling_Pathway_WP23_20725	1.0596480115067343E-5	FOXO1,RPS6KB1,IGHM,CTNNB1,ATP2B4,GAB2,CCNA2,SYK,PIK3CG,BRAF,BCL2L11,ARPC1B,MAPK8,BLK,NFKBIA,NEDD9,ARPC4,CD72,ATF2,ARPC2,TEC,BLNK,PTPN6,VAV2,VAV1,PTPN11,CBLB,PLCG1,IKBKG,PIP4K2A,IKBKB,PLEKHA2,PIP4K2C,PLEKHA1,PIP5K1B,CCNE1,CASP7,RHOA,PIK3AP1,CHST15,CSK,CHUK,CDK6,CDK7,PRKCE,CDK4,PRKCD,PRKCB,CARD11,DOK3,CCND3,GTF2I,CCND2,LCK,PPP3R1,REL,DAPP1,RASGRP3,BCL2,SOS2,CD22,INPP5D,PPP3CA,NFATC2,CD5,NFATC3,PIK3R1,NFATC1,CR2,CREB1,HCLS1,STAT1,STAT3,ITPR2,CD19,FCGR2B,RPS6KA1,FYN,GSK3B,MAPK14,LIME1,BANK1,SH3BP2
Hs_TNF-alpha-NF-kB_Signaling_Pathway_WP231_28972	0.006203047078966371	BTRC,IQGAP2,RPS6KB1,CSNK2A2,MAP3K8,RELB,FADD,MARK2,SMARCE1,RIPK3,HSPB1,TNFAIP3,TRAF1,NFKBIE,NFKBIA,NR2C2,RASAL2,PSMB5,TRAF5,CFLAR,CREBBP,PTPN11,HDAC2,SMARCC1,PSMC1,IKBKG,SMARCC2,IKBKB,COPS3,NFKB2,BAG4,CASP3,CASP7,PSMD1,PSMD3,USP11,PSMD6,TNIP1,PSMD7,CHUK,NFKBIZ,POLR1E,POLR1D,POLR1C,UBE2I,POLR1B,MCM5,CD3EAP,EIF4A3,GTF2I,FANCD2,RIPK1,COMMD1,MAP3K14,KPNA2,NKIRAS2,POLR2H,YWHAZ,FKBP5,USP2,PML,TRAIP,REL,MAP3K1,ACTL6A,FBXW11,YWHAB,STAT1,BIRC3,YWHAE,CAPN3,BIRC2,FBL,RPS6KA5,YWHAG,PAPOLA,PSMD12,GSK3B
Hs_T_Cell_Receptor_Signaling_Pathway_WP69_20823	0.008859209033297994	STAT5B,PTPN22,CTNNB1,GAB2,GIT2,SYK,PTPRJ,BRAF,GRAP2,GRAP,NEDD9,ACP1,PXN,DOCK2,UNC119,PTPN6,VAV3,CREBBP,VAV2,VAV1,PTPN11,CBLB,PLCG1,WASF2,SKAP2,SKAP1,SLA,FOS,KHDRBS1,SIT1,ARHGEF6,NFAM1,PRKD2,CARD11,LAX1,DEF6,LCK,CD247,MAP3K1,RASGRP2,SOS2,CD2,SH2B3,CD4,NFATC2,CD5,PIK3R1,CEBPB,DTX1,CREB1,STAT1,CISH,FYN,LIME1,SH3BP2
Hs_Cell_cycle_WP179_28966	0.013584821977210558	E2F1,E2F3,E2F5,DBF4,PTTG1,CCNE1,CCNA2,CDC7,CCNH,RBL1,SKP2,ESPL1,CDK6,MCM3,CDK4,WEE1,MCM5,MCM6,MAD2L1,CCND3,CCND2,BUB1B,MAD2L2,TBC1D8,CHEK1,CHEK2,BUB1,BUB3,TFDP1,SMAD4,CDC20,CDC25C,CDC25A,ATM,CCNB1,HDAC4,YWHAG,CDKN1A,HDAC2,CCNB2,PLK1,GSK3B
Hs_TGF-beta_Receptor_Signaling_Pathway_WP366_21445	0.014457675379197486	MEF2C,BTRC,FOXO1,CTNNB1,PRKAR2A,ANAPC1,ANAPC5,RBL2,RBL1,JUNB,MAPK8,PIAS2,EID2,STRAP,SNX2,ANAPC10,ATF2,JUND,TFDP2,STAMBPL1,HOXA9,SKIL,UBE2D1,AXIN2,TFDP1,MAP2K3,CREBBP,TGFBR2,SMAD4,SNW1,SKI,CDC27,DVL1,CDKN1A,ETS1,PRKAR1B,TGFBR3,SMURF1,E2F5,COPS5,ZEB2,ZEB1,SDC2,FOS,CCNE1,YAP1,MYC,KPNB1,CDK6,CDK4,PRKCD,PRKCB,NCOA1,PPP2R2A,CAMK2D,PIK3R1,KAT2B,SPARC,CDC25A,CCNB2,ERBB2IP,MAPK14
Hs_IL-5_Signaling_Pathway_WP127_20949	0.045262031494419055	STAT5B,CTNNB1,SYK,PIK3CG,ICAM1,PIM1,PRKCD,PRKCB,CCND3,YWHAZ,SOX4,NFKBIA,ITGAM,ATF2,ALOX5AP,PIK3R1,UNC119,PTPN6,HCLS1,STAT1,VAV1,STAT3,PTPN11,PLA2G4A,RPS6KA1,GSK3B,MAPK14,JAK1
Hs_Insulin_Signaling_WP481_28132	0.04952085179877035	RPS6KB2,FOXO1,RPS6KB1,MAP3K6,EIF4EBP1,SLC2A4,PIK3C3,MAP3K8,PIK3CG,KIF5B,PIK3CB,PIK3CD,MAP4K3,MAP4K4,GRB10,MAPK8,MAP4K2,ARF6,GYS1,KIF3A,MYO1C,MAP2K3,PTPN11,CBLB,EIF4E,TSC2,IKBKB,RHOQ,PTEN,FOS,CAP1,EGR1,SGK1,INPPL1,PIK3C2A,FLOT1,STXBP2,MINK1,PRKCD,PRKCB,MAP3K14,IGF1R,SORBS1,XBP1,MAP3K1,SOS2,TBC1D4,SNAP23,EHD1,PIK3R4,EHD2,PIK3R1,RPS6KA5,RPS6KA3,RPS6KA4,RPS6KA1,RPS6KA2,MAPK13,MAPK14,GSK3B
Hs_DNA_Replication_WP466_21660	0.05037069703408871	DBF4,POLA1,MCM10,CDT1,RPA3,PRIM1,POLE2,PRIM2,CDC7,GMNN,POLE,MCM3,MCM5,MCM6,RFC5,POLD3,RFC3,RFC4,RFC2,POLD2
Hs_IL-3_Signaling_Pathway_WP286_21281	0.053439229050866566	MMP9,STAT5B,RPS6KB2,FOXO1,GATA2,GAB2,SYK,PIK3CD,BCL2L11,PRKCB,LCK,HSPB1,MAPK8,YWHAZ,CHEK1,BCL2L1,PXN,ATF2,STAT6,BCL2,INPP5D,PIK3R1,TEC,PTPN6,SELP,CREB1,YWHAB,BMX,BAD,STAT1,VAV1,CISH,STAT3,PTPN11,FYN,ID1,GSK3B,MAPK14,JAK1
Hs_EGFR1_Signaling_Pathway_WP437_21600	0.05712056169198024	STAT5B,FOXO1,SIN3A,GAB2,RALB,ITCH,PIK3CG,PLD2,PIK3CB,PIK3CD,WNK1,GRB10,MAPK8,ASAP1,PXN,ELK4,JUND,PTPN6,VAV3,HTT,MAP2K3,KLF11,VAV2,VAV1,PTPN11,EPS15,CBLB,PLCG1,TNK2,FOS,CSK,TNIP1,ERRFI1,MYC,CEACAM1,INPPL1,RALBP1,PKN2,PRKCB,RIPK1,SH3KBP1,MAP3K14,EPN1,REPS2,REPS1,HAT1,MAP3K1,SOS2,PIK3R1,CEBPB,CREB1,YWHAB,STAT1,STAT3,STAT2,USP6NL,RPS6KA5,PLSCR1,NRAS,RPS6KA3,RPS6KA1,RPS6KA2,AP2A1,MAPK14,JAK1
Hs_IL-7_Signaling_Pathway_WP205_21111	0.06495578046507881	MCL1,STAM2,BLK,STAT5B,FOXO1,STAM,CCNA2,PIK3R1,BAD,CDK4,STAT1,BCL2L11,STAT3,CBLB,CCND2,FYN,GSK3B,IRF1,JAK1
Hs_G1_to_S_cell_cycle_control_WP45_20771	0.06961428651278685	E2F1,E2F3,E2F5,PRIM1,CCNE1,PRIM2,MYC,CCNH,POLE,RBL1,CDK6,CDK7,CDK4,MCM3,WEE1,MCM5,MCM6,CCND3,CCND2,RPA3,POLE2,TFDP2,TFDP1,CREB1,CDC25A,ATM,CCNB1,MNAT1,CDKN1A
Hs_IL-2_Signaling_Pathway_WP49_20779	0.07834968009085422	STAT5B,RPS6KB1,CD53,GAB2,STAM,CHUK,SYK,PIK3CG,ICAM1,PIK3CB,PIK3CD,LCK,MAPK8,STAM2,EIF3B,BCL2,PIK3R1,PTPN6,CREB1,STAT1,VAV1,CISH,STAT3,PTPN11,EIF4E,ETS1,FYN,MAPK14,JAK1
Hs_IL-6_Signaling_Pathway_WP364_28142	0.07905335057925883	PPP2R5D,PPP2R5C,FOXO1,RPS6KB1,EIF2A,FOS,CASP3,EIF4EBP1,GAB2,PPP2R1A,SGK1,INPPL1,PRKCD,NCOA1,HSPB1,MAPK8,PPP2R2A,PXN,PPP2CB,INPP5D,PIK3R1,TEC,CEBPB,NLK,CREBBP,BMX,BAD,STAT1,VAV1,STAT3,PTPN11,EIF4E,PLCG1,RPS6KA2,FYN,MAPK14,GSK3B,JAK1
