Kinase,Substrates in Input,Substrates in Database,Input Fraction,Database Fraction,Difference,P-value,Z-score,Combined Score,Substrates
MAPK1,52,312,0.25742574257425743,0.06882859033752482,0.18859715223673262,7.871358363220868E-16,-2.25920312084903,78.57086173150734,MAPK1;PPP1CA;JUN;MAPK8;MAP2K1;CREBBP;SMAD4;SMAD3;SMAD2;SMAD1;ETS1;PARP1;MYC;TOP2A;AR;TP53;GTF2I;MED1;PML;BCL2;BCL6;STAT1;MAPK14;GSK3B;FOXO3;CSNK2A1;RELA;RBL1;EP300;HIF1A;GRB2;ELK1;ATF2;JUND;EWSR1;SREBF1;SREBF2;HDAC4;CDKN1A;E2F1;FOS;HSP90AA1;ESR1;RB1;ESR2;CDK2;NCOA2;CEBPA;CEBPB;RAF1;SP1;SP3
MAPK3,41,251,0.20297029702970298,0.05537171850871388,0.14759857852098912,3.0641899720714103E-12,-2.223845964803472,58.956909347232276,PPP1CA;JUN;MAPK3;MAPK8;MAP2K1;MAP2K3;SMAD4;SMAD2;ETS1;TOP2A;MYC;AR;TP53;GTF2I;MED1;PML;BCL2;BCL6;STAT1;GSK3B;MAPK14;FOXO3;HIF1A;ELK1;ATF2;JUND;EWSR1;SREBF1;SNW1;SREBF2;HDAC4;FOS;ESR1;ESR2;CDK2;NCOA2;CEBPA;CEBPB;RAF1;SP1;SP3
GSK3B,63,600,0.3118811881188119,0.13236267372600927,0.17951851439280261,1.082066479934334E-10,-2.1763728981556256,49.941181687773934,CTNNB1;PPP1CA;JUN;MAPK8;MAP2K1;DAXX;MYC;AR;TP53;GSK3B;CSNK2A1;RELA;RBL1;RELB;JUNB;JUND;HDAC4;CDKN1A;GTF2F1;SMARCC1;SMARCC2;ABL1;E2F1;ESR1;RB1;NCL;STUB1;CHD3;CEBPA;CEBPB;VHL;CREB1;SIN3A;BCR;CHEK1;CHEK2;KLF5;TP53BP1;SMAD4;SMAD2;SMAD1;ETS1;NCOR1;NCOR2;NFKB1;NFKB2;TOP2A;SQSTM1;BCL2;SNRNP70;STAT1;ELK1;SRC;NPM1;SREBF1;SNW1;KAT5;BRCA1;DNMT1;LEF1;MDM2;ZBTB7A;SIRT1
TAF1,17,42,0.08415841584158416,0.009265387160820648,0.07489302868076352,1.5003996194350982E-10,-1.8255156857568018,41.29338285936648,TBP;FOS;TAF9;CCNA2;EWSR1;TAF4;RELA;CREB1;RBL1;TP53;RB1;GTF2B;TAF10;MSX1;JUN;GTF2F1;MDM2
CSNK2A1,55,521,0.2722772277227723,0.11493492168541805,0.15734230603735425,2.191604507271506E-9,-2.036696163913811,40.60893512408202,XRCC6;CTNNB1;MAPK1;JUN;MAPK9;MAP2K1;DAXX;MYC;TP53;PML;CSNK2A1;RELA;HIF1A;SMARCA4;ARNT;ATF2;ARID3A;HDAC3;CDKN1A;HDAC2;HDAC1;GTF2F1;MAX;CDK1;ESR1;NCL;FKBP3;VHL;CREB1;BCR;HUWE1;RFC1;PIAS1;TP53BP1;CREBBP;NCOR2;NFKB1;TOP2A;CCNH;STAT1;MAPK14;YWHAQ;TOP1;PSMA3;SRF;NPM1;BRCA1;FOS;EGR1;HSP90AA1;LEF1;MDM2;ERCC3;SIRT1;SP1
ATM,29,177,0.14356435643564355,0.039046988749172735,0.10451736768647082,6.7168078761294525E-9,-1.9839319646866815,37.3349268494433,CTNNB1;EP300;HIF1A;HUWE1;JUN;CHEK1;CHEK2;SRF;ATF2;EWSR1;TP53BP1;KAT5;BRCA1;ATM;SMARCC2;ABL1;E2F1;NFKB2;MEN1;HSP90AA1;TP53;RAD51;MDM2;MDM4;MED1;PRKDC;CREB1;TRIM28;SP1
ATR,19,63,0.09405940594059406,0.013898080741230973,0.08016132519936309,7.425573347521163E-10,-1.7469415140927687,36.722319611268766,E2F1;DAXX;CDKN2A;TP53;HUWE1;MDM2;PML;PRKDC;CHEK1;CHEK2;NPM1;EWSR1;MSH2;CREB1;ATR;BRCA1;ATM;SP1;SMARCC2
MAP3K8,17,54,0.08415841584158416,0.011912640635340834,0.07224577520624333,3.5554068179465896E-9,-1.7068159486484593,33.20575667903019,NFKB1;NFKB2;CDK1;HSP90AA1;RELA;MAPK1;MAPK3;TUBA4A;RUVBL1;CHEK1;ACTL6A;HSPA8;MAP2K1;CREB1;MAP2K3;PLK1;ABL1
MAPK8,36,275,0.1782178217821782,0.06066622545775425,0.11755159632442397,1.8571750995170287E-8,-1.8082431021423913,32.18966412032339,XRCC6;CTNNB1;MAPK1;JUN;MAPK3;CHEK2;TP53BP1;SMAD4;SMAD3;SMAD2;MYC;AR;CTBP1;TP53;BCL2;SNRNP70;STAT1;TP73;MAPK14;CDKN2A;JUNB;ELK1;SRC;ATF2;NPM1;JUND;EWSR1;CDKN1A;SMARCC2;ABL1;ESR1;LEF1;PRKDC;CEBPB;SIRT1;SP1
AKT1,33,256,0.16336633663366337,0.05647474078976395,0.10689159584389943,1.117468051000475E-7,-1.8045766217911587,28.885912471621943,CTNNB1;PPP1CA;PIAS2;CHEK1;TP53BP1;CREBBP;SMAD4;SMAD3;SMAD2;AR;STAT1;GSK3B;FOXO3;CSNK2A1;EP300;HSPB1;SRC;HTT;BRCA1;CDKN1A;SMARCC1;SMARCC2;DNMT1;MTOR;HSP90AA1;ESR1;ESR2;CDK2;MDM2;MDM4;PRKDC;CREB1;RAF1
MAPK14,47,461,0.23267326732673269,0.10169865431281712,0.13097461301391555,1.2472571874745987E-7,-1.787612887439227,28.41794799791271,MAPK1;HNF4A;JUN;MAP2K1;MAP2K3;ATR;DAXX;MYC;AR;TP53;PML;CSNK2A2;CSNK2A1;RELA;RBL1;JUNB;ATF2;JUND;CDKN1A;SMARCC1;GTF2F1;E2F1;MAX;ESR1;RB1;NCL;NCOA2;STUB1;CHD3;CREB1;SIN3A;BCR;SMAD3;ETS1;NCOR1;MED1;SQSTM1;BCL2;STAT1;MAPK14;GRB2;ELK1;EWSR1;SNW1;FOS;ZBTB7A;SIRT1
