Term	P-value	Genes
actin cytoskeleton (GO:0015629)	6.417202277518267E-4	GSN,ABLIM1,TRIOBP,LSP1
cytoskeleton (GO:0005856)	0.0024953808417844327	TRIOBP,LSP1,BASP1,GSN,ABLIM1,ANXA1
high-density lipoprotein particle (GO:0034364)	0.07822072671492808	CLU
soluble fraction (GO:0005625)	0.08910063138469913	CCL3,SORD,CSGALNACT1
integral to Golgi membrane (GO:0030173)	0.08971085134269538	CSGALNACT1
cornified envelope (GO:0001533)	0.10106082535089204	ANXA1
nucleus (GO:0005634)	0.10189644921181683	USP18,MYCN,PRMT2,ID2,KLF6,MLLT3,AHR,HLF,CPA3,S100A6,MITF,NUPR1,EGR1
integral to membrane (GO:0016021)	0.10452422055413675	CD33,CD68,EMR1,CD93,CSGALNACT1,PROCR,GPR97,FFAR2,FLT3,TSPAN13,SLC14A1,LILRB3,CALCRL
intrinsic to Golgi membrane (GO:0031228)	0.10668377912288703	CSGALNACT1
extracellular space (GO:0005615)	0.10675638323388549	CRISP1,SORD,TGFBI,CLU
secretory granule (GO:0030141)	0.1122723206912989	CPA3
intrinsic to membrane (GO:0031224)	0.11405898089012993	CD33,CD68,EMR1,CD93,CSGALNACT1,PROCR,GPR97,FFAR2,FLT3,TSPAN13,SLC14A1,LILRB3,CALCRL
ruffle (GO:0001726)	0.11782665600956962	S100A6
integral to plasma membrane (GO:0005887)	0.1208736242319714	CD33,EMR1,PROCR,FFAR2,FLT3,TSPAN13,SLC14A1,LILRB3,CALCRL
extrinsic to membrane (GO:0019898)	0.16630978315276437	PRNP
nuclear envelope (GO:0005635)	0.18701179010154226	S100A6
intracellular organelle (GO:0043229)	0.18747351680654548	USP18,PRMT2,AHR,HLF,LSP1,S100A6,MITF,NUPR1,CLU,GSN,EGR1,MYCN,ID2,KLF6,TRIOBP,MLLT3,CPA3,ABLIM1,ANXA1,MYL10,BASP1
chromatin (GO:0000785)	0.24614640347252517	MYCN
intracellular (GO:0005622)	0.24968394019557555	B3GNT5,CSGALNACT1
extracellular region part (GO:0044421)	0.27557525039244163	SORD,TGFBI,CRISP1,CLU
membrane fraction (GO:0005624)	0.38295802452432676	CD68,SORD,TSPAN13
plasma membrane (GO:0005886)	0.398686663441636	CLEC10A,CD33,PLXNC1,SLC14A1,TRPC6,BASP1
insoluble fraction (GO:0005626)	0.40183175156535383	CD68,SORD,TSPAN13
membrane part (GO:0044425)	0.4143890870342091	CD33,CD68,EMR1,CD93,CSGALNACT1,PROCR,GPR97,FFAR2,FLT3,TSPAN13,LILRB3,PRNP,SLC14A1,CALCRL
cytoplasmic membrane-bounded vesicle (GO:0016023)	0.46416698992187677	CPA3
intracellular membrane-bounded organelle (GO:0043231)	0.4878281146828923	USP18,PRMT2,AHR,HLF,S100A6,MITF,NUPR1,CLU,EGR1,MYCN,ID2,KLF6,MLLT3,CPA3,MYL10
cytoplasmic vesicle (GO:0031410)	0.4971329126664323	CPA3
vesicle (GO:0031982)	0.5097562748271725	CPA3
cell projection (GO:0042995)	0.512863358233561	S100A6
mitochondrion (GO:0005739)	0.5303050714194645	MYL10,CLU
membrane (GO:0016020)	0.7476677056397277	CLEC10A,CD33,PLXNC1,SLC14A1,TRPC6,BASP1
cytoplasm (GO:0005737)	0.8504834629219171	ZFP36,MLLT3,PRNP,ANXA1,S100A6,PBX3
nucleoplasm (GO:0005654)	0.8940538924991633	DUSP3
extracellular region (GO:0005576)	0.9492203733215978	GSN
cytosol (GO:0005829)	0.9537817362586236	ZFP36,GSN
cellular_component (GO:0005575)	1.0	PRMT2,EMR1,CSGALNACT1,PROCR,HLF,FFAR2,TSPAN13,GSN,ID2,KLF6,MLLT3,PLXNC1,PRNP,SORD,ABLIM1,MYL10,USP18,TGFBI,TRPC6,MITF,NUPR1,CLU,MYCN,B3GNT5,ZFP36,GPR97,S100A6,CRISP1,CPA3,BASP1,DUSP3,CCL3,CD33,CD68,AHR,CD93,LSP1,FLT3,LILRB3,EGR1,CLEC10A,TRIOBP,ANXA1,SLC14A1,PBX3,CALCRL
