Term	P-value	Genes
HSA04640_HEMATOPOIETIC_CELL_LINEAGE	0.013141773309533054	CD33,IL1R2,FLT3
HSA04060_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.05252721437220693	IL1R2,CCL3,PF4,FLT3
HSA00601_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTOSERIES	0.05935794436744883	B3GNT5
HSA05060_PRION_DISEASE	0.08009500471152892	PRNP
HSA00440_AMINOPHOSPHONATE_METABOLISM	0.09029883957563854	PRMT2
HSA04614_RENIN_ANGIOTENSIN_SYSTEM	0.09536007002842763	CPA3
HSA00626_NAPHTHALENE_AND_ANTHRACENE_DEGRADATION	0.10039435950022409	PRMT2
HSA00602_GLYCOSPHINGOLIPID_BIOSYNTHESIS_NEO_LACTOSERIES	0.11533694794444102	B3GNT5
HSA00450_SELENOAMINO_ACID_METABOLISM	0.1540321285660318	PRMT2
HSA04360_AXON_GUIDANCE	0.16097381271146255	PLXNC1,ABLIM1
HSA05040_HUNTINGTONS_DISEASE	0.1634498970916096	TGM2
HSA04010_MAPK_SIGNALING_PATHWAY	0.17133927293799225	IL1R2,DUSP3,DUSP1
HSA01510_NEURODEGENERATIVE_DISEASES	0.19562863285083604	PRNP
HSA00340_HISTIDINE_METABOLISM	0.20905400091594484	PRMT2
HSA00790_FOLATE_BIOSYNTHESIS	0.2134812966020252	DDX4
HSA00051_FRUCTOSE_AND_MANNOSE_METABOLISM	0.2134812966020252	SORD
HSA05221_ACUTE_MYELOID_LEUKEMIA	0.2606430733554431	FLT3
HSA00150_ANDROGEN_AND_ESTROGEN_METABOLISM	0.26479372244123056	PRMT2
HSA00590_ARACHIDONIC_ACID_METABOLISM	0.26479372244123056	TBXAS1
HSA00350_TYROSINE_METABOLISM	0.285214843155816	PRMT2
HSA00380_TRYPTOPHAN_METABOLISM	0.28923343484462116	PRMT2
HSA01031_GLYCAN_STRUCTURES_BIOSYNTHESIS_2	0.2972058815515232	B3GNT5
HSA04662_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.3050927500652578	LILRB3
HSA05218_MELANOMA	0.3320354503649477	MITF
HSA00500_STARCH_AND_SUCROSE_METABOLISM	0.37944345902820376	DDX4
HSA04350_TGF_BETA_SIGNALING_PATHWAY	0.4002221306276768	ID2
HSA04916_MELANOGENESIS	0.43980048555631623	MITF
HSA04620_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.43980048555631623	CCL3
HSA00230_PURINE_METABOLISM	0.562098339502289	GMPR
HSA04810_REGULATION_OF_ACTIN_CYTOSKELETON	0.7032495030906499	GSN
HSA04080_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.768269100187586	CALCRL
