Term	P-value	Genes
MP0002429_abnormal_blood_cell_	2.0426199535679327E-7	IGHM,USP18,TGFBI,CCL3,CD33,AHR,TRF,PROCR,FFAR2,LSP1,PF4,TSPAN32,FLT3,LILRB3,MITF,HOXA9,GSN,EGR1,MYCN,CLEC10A,H2-DMA,KLF6,PRNP,TGM2,CPA3,B3GNT5
MP0002419_abnormal_innate_immunity_	3.042175256891368E-6	FFAR2,LSP1,DUSP1,FLT3,ANXA1,MITF,ZFP36,AHR,CD93,GSN,EGR1,TGM2
MP0002083_premature_death_	1.7274466198929444E-5	IGHM,USP18,HIST1H1C,TGFBI,CCL3,H2-DMA,ZFP36,AHR,PRNP,TGM2,HLF,FLT3,MITF,MEG3,B3GNT5,GSN,EGR1
MP0002420_abnormal_adaptive_immunity_	2.1194160805977076E-5	IGHM,ID2,H2-DMA,ZFP36,AHR,EMR1,CD93,TGM2,FFAR2,LSP1,TSPAN32,FLT3,ANXA1,LILRB3,MITF,B3GNT5,GSN,EGR1
MP0002398_abnormal_bone_marrow_	2.2177193251426148E-5	IGHM,CSF2RB2,USP18,CLEC10A,ID2,H2-DMA,TRF,PRNP,PROCR,LSP1,CPA3,PF4,TSPAN32,FLT3,LILRB3,HOXA9,EGR1
MP0001819_abnormal_immune_cell_	2.2534105937552646E-5	IGHM,ID2,H2-DMA,ZFP36,AHR,EMR1,CD93,TGM2,FFAR2,LSP1,TSPAN32,FLT3,ANXA1,LILRB3,MITF,B3GNT5,GSN,EGR1
MP0000716_abnormal_immune_system_	3.776668868501194E-5	IGHM,USP18,CLEC10A,TGFBI,CCL3,ID2,H2-DMA,AHR,PRNP,TGM2,FFAR2,LSP1,CPA3,TSPAN32,LILRB3,MITF,B3GNT5,GSN,EGR1
MP0002452_abnormal_antigen_presenting_	1.67263058424903E-4	IGHM,FLT3,ANXA1,H2-DMA,LILRB3,MITF,ZFP36,AHR,B3GNT5,CD93,GSN,EGR1,TGM2
MP0002722_abnormal_immune_system_	2.3603619986783882E-4	IGHM,HIST1H1C,TGFBI,CPA3,ID2,SLC14A1,ZFP36,AHR,B3GNT5,HOXA9,CALCRL,EGR1,PRNP
MP0001845_abnormal_inflammatory_respons_	5.221518241788833E-4	IGHM,USP18,FFAR2,DUSP1,ANXA1,CD33,ZFP36,TBXAS1,AHR,GSN,EGR1,TGM2
MP0003936_abnormal_reproductive_system_	7.550326693077425E-4	AHR,HOXA9,GSN,MYCN,ID2,SLC14A1
MP0001853_heart_inflammation_	0.0012179191653873774	CLU,ZFP36,AHR
MP0000477_abnormal_intestine_morphology_	0.0015337288945439808	IGHM,MYCN,FFAR2,CAR2,AHR,HOXA5,ID2
MP0002113_abnormal_skeleton_development_	0.0034093384583044634	MYCN,PLAGL1,MITF,MLLT3,HOXA5,HOXA9,GSN,CSGALNACT1
MP0008873_increased_physiological_sensi_	0.003997524234761913	TGFBI,CPA3,AHR,EGR1,TGM2
MP0000689_abnormal_spleen_morphology_	0.004086296458562456	IGHM,TGFBI,FLT3,SLC14A1,MITF,AHR,B3GNT5,HOXA9,EGR1,PRNP
MP0008770_decreased_survivor_rate_	0.005185789578075613	MITF,MEG3,AHR,B3GNT5,ID2
MP0009763_increased_sensitivity_to_	0.0052475338918099	FFAR2,DUSP1,CPA3,AHR,PRNP,TGM2
MP0000470_abnormal_stomach_morphology_	0.005460669698081904	AHR,HOXA5,MYCN,CAR2
MP0001790_abnormal_immune_system_	0.005928106296605469	IGHM,AHR,GSN,ID2
MP0005387_immune_system_phenotype_	0.005928106296605469	IGHM,AHR,GSN,ID2
MP0001835_abnormal_antigen_presentation_	0.006167697970839038	IGHM,FLT3,H2-DMA
MP0002148_abnormal_hypersensitivity_rea_	0.0062541482208769775	IGHM,AHR,CCL3,H2-DMA
MP0000703_abnormal_thymus_morphology_	0.006645018195132219	IGHM,HIST1H1C,CPA3,FLT3,ZFP36,PRNP,TGM2
MP0001731_abnormal_postnatal_growth_	0.007577481134839524	MYCN,TGFBI,ID2,ZFP36,MEG3,CAR2,AHR,TRF,HOXA5,EGR1
MP0008469_abnormal_protein_level_	0.008136251465239306	USP18,FFAR2,DUSP1,CCL3,FLT3,CD33,AHR,EGR1
MP0004808_abnormal_hematopoietic_stem_	0.008736213807622992	EGR1,HOXA9,MSI2
MP0000627_abnormal_mammary_gland_	0.009086038451793035	AHR,HOXA9,GSN,ID2
MP0005025_abnormal_response_to_	0.0092744748125208	IGHM,USP18,FFAR2,CCL3,FLT3,H2-DMA,AHR,PRNP
MP0005388_respiratory_system_phenotype_	0.009517448259077207	IGHM,AHR,HOXA5,DUSP1
MP0002133_abnormal_respiratory_system_	0.009517448259077207	IGHM,AHR,HOXA5,DUSP1
MP0003122_maternal_imprinting_	0.009856579818067939	PLAGL1,MEG3
MP0009642_abnormal_blood_homeostasis_	0.010338292873804935	USP18,DUSP1,CD33,AHR,PROCR,FFAR2,PF4,FLT3,MITF,HOXA5,GSN,EGR1,CAR2,TGM2,SGK1,SLC14A1,TBXAS1,PBX3
MP0003956_abnormal_body_size_	0.01043110683176028	TGFBI,AHR,CSGALNACT1,FFAR2,FLT3,MITF,MEG3,HOXA9,EGR1,HIST1H1C,ID2,H2-DMA,KLF6,MLLT3,PRNP,SGK1,SLC14A1,BASP1,B3GNT5,MSI2
MP0003329_amyloid_beta_deposits_	0.011319904809106595	CLU,PRNP
MP0003828_pulmonary_edema_	0.012085252537688716	AHR,DUSP1
MP0002405_respiratory_system_inflammati_	0.012914467083454569	AHR,EGR1,FFAR2,DUSP1
MP0002723_abnormal_immune_serum_	0.016798063697387677	IGHM,USP18,DUSP1,CCL3,H2-DMA,AHR,FFAR2,FLT3,B3GNT5,EGR1
MP0003567_abnormal_fetal_cardiomyocyte_	0.017132407765304575	CALCRL,MYCN
MP0010155_abnormal_intestine_physiology_	0.017324713938485326	IGHM,AHR,CALCRL,FFAR2
MP0005390_skeleton_phenotype_	0.017424906160712874	MITF,FFAR2,DUSP1,HOXA5,GSN
MP0009765_abnormal_xenobiotic_induced_	0.024035903646736648	CPA3,AHR,FFAR2
MP0003724_increased_susceptibility_to_	0.025004547610444877	FFAR2,DUSP1
MP0000604_amyloidosis_	0.025004547610444877	CLU,PRNP
MP0001175_abnormal_lung_morphology_	0.02606162568698558	MYCN,DUSP1,PLAGL1,MEG3,HOXA5,EGR1
MP0004197_abnormal_fetal_growth/weight/_	0.02699218431866691	PLAGL1,MITF,MYCN,MEG3
MP0005647_abnormal_sex_gland_	0.027163578167058777	AHR,SLC14A1
MP0003121_genomic_imprinting_	0.029395239649095333	PLAGL1,MEG3
MP0004883_abnormal_blood_vessel_	0.029395239649095333	PRMT2,EGR1
MP0003698_abnormal_male_reproductive_	0.03340137978583755	SLC14A1,CRISP1,DDX4,MITF,CAR2,HOXA9,EGR1,PRNP
MP0005508_abnormal_skeleton_morphology_	0.03670608809755534	HOXA5,MITF,GSN
MP0003075_altered_response_to_	0.03901207081354746	GSN,EGR1
MP0010769_abnormal_survival_	0.039612332339869084	MYCN,ID2,PLAGL1,MLLT3,AHR,TRF,MITF,MEG3,BASP1,B3GNT5,HOXA5,MSI2
MP0002114_abnormal_axial_skeleton_	0.04027367331968349	MYCN,PLAGL1,MLLT3,HOXA5,HOXA9,PRNP,CSGALNACT1
MP0002932_abnormal_joint_morphology_	0.04333164469653241	HOXA5,MYCN,MLLT3
MP0003866_abnormal_defecation_	0.04421014887321188	AHR,FFAR2
MP0001764_abnormal_homeostasis_	0.04421014887321188	EGR1,SORD
MP0005319_abnormal_enzyme/_coenzyme_	0.04486203779330931	CD33,DUSP1,AHR,EGR1
MP0002082_postnatal_lethality_	0.04536490759064815	MYCN,ID2,PLAGL1,MLLT3,AHR,TRF,MITF,MEG3,BASP1,HOXA5,MSI2
MP0010768_mortality/aging_	0.045378180543437834	MYCN,ID2,PLAGL1,MLLT3,AHR,TRF,MITF,MEG3,BASP1,B3GNT5,HOXA5,MSI2
MP0010770_preweaning_lethality_	0.04561203264166199	MYCN,ID2,PLAGL1,MLLT3,AHR,TRF,MITF,MEG3,BASP1,HOXA5,MSI2
MP0000001_mammalian_phenotype_	0.046389203586264936	IGHM,PRMT2,PLAGL1,PROCR,FFAR2,MEG3,GSN,MLLT3,PLXNC1,PRNP,SORD,ABLIM1,BASP1,MSI2,CSF2RB2,DUSP1,AHR,TRF,MITF,CLU,HOXA5,EGR1,MYCN,CAR2,TGM2,TSC22D1,B3GNT5,CALCRL
MP0001191_abnormal_skin_condition_	0.04659171069073265	IGHM,AHR,CALCRL,EGR1
MP0000266_abnormal_heart_morphology_	0.04830551166312064	HIST1H1C,MYCN,PLAGL1,AHR,TGM2,TSC22D1,CLU,CALCRL,EGR1
MP0003943_abnormal_hepatobiliary_system_	0.04965007244366685	MYCN,KLF6
MP0009764_decreased_sensitivity_to_	0.05823535481988419	AHR,TGM2
MP0000653_abnormal_sex_gland_	0.06342576734004442	SLC14A1,KLF6,DDX4,CAR2,NUPR1,AHR,EGR1
MP0001533_abnormal_skeleton_physiology_	0.06369305022422514	GSN,FFAR2,DUSP1
MP0005165_increased_susceptibility_to_	0.06575324489236603	GSN,AHR
MP0001881_abnormal_mammary_gland_	0.06729424572999577	HOXA9,ID2
MP0002697_abnormal_eye_size_	0.07526930545775669	MITF,EGR1,MYCN
MP0005423_abnormal_somatic_nervous_	0.07552086001433674	PBX3
MP0003136_yellow_coat_color_	0.07552086001433674	MITF
MP0000163_abnormal_cartilage_morphology_	0.07617948171444591	MITF,HOXA5,GSN,CSGALNACT1
MP0005000_abnormal_immune_tolerance_	0.07828200368607806	IGHM,FFAR2,DUSP1,H2-DMA,EMR1
MP0005171_absent_coat_pigmentation_	0.08069534718328357	MITF
MP0002106_abnormal_muscle_physiology_	0.08138602659058569	CALCRL,MYCN,PRNP
MP0003077_abnormal_cell_cycle_	0.08347202836246148	PRMT2,EGR1,NUPR1
MP0005164_abnormal_response_to_	0.08500243445833638	PRMT2,EGR1
MP0003123_paternal_imprinting_	0.08584135994706474	MEG3
MP0002877_abnormal_melanocyte_morpholog_	0.08584135994706474	MITF
MP0003953_abnormal_hormone_level_	0.08607389646443885	SGK1,MITF,NUPR1,AHR,HOXA5,EGR1,TGM2
MP0009785_altered_susceptibility_to_	0.08667668572478607	USP18,FLT3
MP0002115_abnormal_skeleton_extremities_	0.0867742453930911	PLAGL1,MITF,HOXA9,GSN,CSGALNACT1
MP0001145_abnormal_male_reproductive_	0.0920128845495331	SLC14A1,KLF6,DDX4,CAR2,AHR,EGR1
MP0002210_abnormal_sex_determination_	0.09223521938585798	SLC14A1,DDX4,NUPR1,AHR,EGR1
MP0005248_abnormal_Harderian_gland_	0.0960485774412608	MITF
MP0010352_gastrointestinal_tract_polyps_	0.0960485774412608	AHR
MP0002081_perinatal_lethality_	0.09784159038799524	MYCN,PLAGL1,CAR2,MLLT3,TRF,MEG3,PBX3,B3GNT5,HOXA5
MP0005464_abnormal_platelet_physiology_	0.09866821711126002	GSN,TBXAS1
MP0000767_abnormal_smooth_muscle_	0.09866821711126002	CALCRL,AHR
MP0003115_abnormal_respiratory_system_	0.10041825183688138	MYCN,HOXA5
MP0004381_abnormal_hair_follicle_	0.1061437347347405	MITF
MP0001544_abnormal_cardiovascular_syste_	0.10672265341958548	MYCN,CALCRL,TGM2
MP0005385_cardiovascular_system_phenoty_	0.10672265341958548	MYCN,CALCRL,TGM2
MP0002638_abnormal_pupillary_reflex_	0.11114966920756987	MITF
MP0009278_abnormal_bone_marrow_	0.11114966920756987	TSC22D1
MP0003787_abnormal_imprinting_	0.11612804109513752	MEG3
MP0005023_abnormal_wound_healing_	0.11837760704616355	GSN,EGR1
MP0001929_abnormal_gametogenesis_	0.1184431329978067	SLC14A1,DDX4,NUPR1,AHR,EGR1,PRNP
MP0005646_abnormal_pituitary_gland_	0.12107899956636269	EGR1
MP0004043_abnormal_pH_regulation_	0.12107899956636269	CAR2
MP0005193_abnormal_anterior_eye_	0.12460246474902743	MITF,ZFP36,SORD,EGR1
MP0001784_abnormal_fluid_regulation_	0.13025722327357958	MYCN,DUSP1,AHR,CLU,CALCRL
MP0002111_abnormal_tail_morphology_	0.1304370570907026	PLAGL1,HIST1H1C,MYCN,HOXA9
MP0002277_abnormal_respiratory_mucosa_	0.13089926891104872	HOXA5
MP0004782_abnormal_surfactant_physiolog_	0.13089926891104872	HOXA5
MP0003632_abnormal_nervous_system_	0.13139544382524077	CLU,PRNP
MP0005376_homeostasis/metabolism_phenot_	0.13348224889075927	SORD,PRMT2,EGR1
MP0000015_abnormal_ear_pigmentation_	0.14061165469397208	MITF
MP0001984_abnormal_olfaction_	0.14542775579077313	ID2
MP0003448_altered_tumor_morphology_	0.14859008125475567	TGM2,MSI2
MP0002396_abnormal_hematopoietic_system_	0.15021732190499307	FLT3
MP0002177_abnormal_outer_ear_	0.15052883846174217	HOXA5,MITF
MP0002161_abnormal_fertility/fecundity_	0.15535739121292794	HIST1H1C,DDX4,CAR2,AHR,PRNP,MITF,B3GNT5,HOXA9,EGR1
MP0000465_gastrointestinal_hemorrhage_	0.1597174231298681	FFAR2
MP0005408_hypopigmentation_	0.1644282433531714	MITF
MP0003252_abnormal_bile_duct_	0.1644282433531714	AHR
MP0005076_abnormal_cell_differentiation_	0.1644282433531714	ID2
MP0005369_muscle_phenotype_	0.1650471829714344	MYCN,CALCRL,PRNP
MP0003699_abnormal_female_reproductive_	0.16695775592409381	MITF,AHR,HOXA9,GSN,EGR1
MP0002998_abnormal_bone_remodeling_	0.17018427393557353	MITF,GSN
MP0000249_abnormal_blood_vessel_	0.17465188864829134	PRMT2,GSN,EGR1
MP0006082_CNS_inflammation_	0.17840547711025945	CCL3
MP0001879_abnormal_lymphatic_vessel_	0.17840547711025945	IGHM
MP0010307_abnormal_tumor_latency_	0.17840547711025945	EGR1
MP0002249_abnormal_larynx_morphology_	0.18301327909219958	HOXA5
MP0008875_abnormal_xenobiotic_pharmacok_	0.18301327909219958	AHR
MP0002136_abnormal_kidney_physiology_	0.18542932070069218	IGHM,SGK1,SLC14A1,CAR2
MP0008007_abnormal_cellular_replicative_	0.19215280080166003	FLT3
MP0002092_abnormal_eye_morphology_	0.1983693176165133	MITF,EGR1
MP0002086_abnormal_extraembryonic_tissu_	0.19842060127297517	PROCR,HIST1H1C,MYCN,KLF6,MEG3
MP0000377_abnormal_hair_follicle_	0.20857811374040766	AHR,MITF
MP0001485_abnormal_pinna_reflex_	0.21456416616176088	MITF
MP0000685_abnormal_immune_system_	0.21897252938791856	LSP1
MP0003221_abnormal_cardiomyocyte_apopto_	0.21897252938791856	CALCRL
MP0001545_abnormal_hematopoietic_system_	0.22335656713589208	TSC22D1
MP0005397_hematopoietic_system_phenotyp_	0.22335656713589208	TSC22D1
MP0003690_abnormal_glial_cell_	0.22335656713589208	EGR1
MP0000372_irregular_coat_pigmentation_	0.22335656713589208	MITF
MP0003566_abnormal_cell_adhesion_	0.22335656713589208	TGM2
MP0001501_abnormal_sleep_pattern_	0.22335656713589208	PRNP
MP0002925_abnormal_cardiovascular_devel_	0.2318167857051267	HIST1H1C,MYCN,KLF6,AHR,EGR1
MP0002282_abnormal_trachea_morphology_	0.23205219321040604	HOXA5
MP0000598_abnormal_liver_morphology_	0.23389476705958892	MYCN,KLF6,MEG3,AHR,EGR1
MP0001943_abnormal_respiration_	0.23456696487736947	MYCN,PLAGL1,MEG3,PBX3
MP0001919_abnormal_reproductive_system_	0.24065209139112098	EGR1
MP0002873_normal_phenotype_	0.24098703633504956	IGHM,CSF2RB2,MYCN,PLXNC1,PRNP,PROCR,SORD,ABLIM1,MITF,HOXA5
MP0005174_abnormal_tail_pigmentation_	0.24491646666211575	MITF
MP0002090_abnormal_vision_	0.24491646666211575	EGR1
