Term	P-value	Genes
Hs_Prostaglandin_Synthesis_and_Regulation_WP98_20887	0.0010867676113578933	S100A6,TBXAS1,ANXA1
Hs_Epigenetic_Stress_Regulation_WP686_29069	0.014557865117509658	EGR1
Hs_Insulin_Signaling_WP481_28132	0.0944777002785772	EGR1,SGK1,RAB4A
Hs_GPCRs,_Class_B_Secretin-like_WP334_21381	0.11095436869297569	CALCRL
Hs_Eicosanoid_Synthesis_WP167_21031	0.12396915218504329	TBXAS1
Hs_Ovarian_Infertility_Genes_WP34_20749	0.1304083008740318	EGR1
Hs_Selenium_metabolism-Selenoproteins_WP28_29723	0.1923686185209047	SELENBP1
Hs_Selenium_metabolism-Selenoproteins_WP28_30051	0.1923686185209047	SELENBP1
Hs_Selenium_metabolism-Selenoproteins_WP28_28969	0.1923686185209047	SELENBP1
Hs_selenium_WP15_29615	0.19832795057048402	TBXAS1
Hs_selenium_WP15_28780	0.19832795057048402	TBXAS1
Hs_Adipogenesis_WP236_28133	0.2014264254325821	AHR,KLF6
Hs_Id_Signaling_Pathway_WP53_20789	0.2934499577391187	ID2
Hs_Senescence_and_Autophagy_WP615_28686	0.3393543943855861	GSN
Hs_Senescence_and_Autophagy_WP615_29531	0.3393543943855861	GSN
Hs_Senescence_and_Autophagy_WP615_29697	0.3393543943855861	GSN
Hs_Kit_Receptor_Signaling_Pathway_WP304_21319	0.3636146887989321	MITF
Hs_IL-6_Signaling_Pathway_WP364_28142	0.49611812739190525	SGK1
Hs_Toll-like_receptor_signaling_pathway_WP245_26599	0.5074429077676974	CCL3
Hs_Toll-like_receptor_signaling_pathway_(for_GenMAPP)_WP75_26601	0.5074429077676974	CCL3
Hs_Androgen_Receptor_Signaling_Pathway_WP138_20973	0.5257807318112347	PLAGL1
Hs_T_Cell_Receptor_Signaling_Pathway_WP69_20823	0.5897087692847731	DUSP3
Hs_mRNA_processing_WP411_26223	0.5897087692847731	PRMT2
Hs_Regulation_of_Actin_Cytoskeleton_WP51_20783	0.6228754463493502	GSN
Hs_TGF-beta_Receptor_Signaling_Pathway_WP366_21445	0.656140414126995	HOXA9
Hs_GPCRs,_Class_A_Rhodopsin-like_WP455_21638	0.6587825843802374	FFAR2
Hs_B_Cell_Receptor_Signaling_Pathway_WP23_20725	0.6717059779106234	IGHM
Hs_MAPK_signaling_pathway_WP382_28779	0.6742340946938	DUSP1
Hs_EGFR1_Signaling_Pathway_WP437_21600	0.7122473517819384	DUSP1
