Kinase,Substrates in Input,Substrates in Database,Input Fraction,Database Fraction,Difference,P-value,Z-score,Combined Score,Substrates
MAPK1,30,312,0.4225352112676056,0.06882859033752482,0.3537066209300808,2.296533973784991E-16,-2.25920312084903,81.35381507436131,RARA;MAPK1;JUN;MAPK8;CREBBP;SMAD4;SMAD3;SMAD2;ETS1;PARP1;TP53;PML;BCL6;GSK3B;CSNK2A1;RBL1;EP300;ATF2;JUND;RUNX1;E2F1;FOS;ESR1;RB1;CDK2;NCOA3;NCOA6;CEBPA;CEBPB;SP1
HIPK2,12,43,0.16901408450704225,0.009485991617030664,0.15952809289001157,1.7989916733427756E-11,-1.8469011048820607,45.69456752452713,PML;RUNX1;CUL1;KAT2B;CREBBP;TP53;SMAD2;SKI;HMGA1;EP300;HIPK2;MDM2
MAPK3,20,251,0.28169014084507044,0.05537171850871388,0.22631842233635657,1.849469461137937E-9,-2.1817020661889086,43.87046586812415,RARG;JUN;MAPK8;SMAD4;SMAD2;ETS1;SPIB;TP53;PML;BCL6;GSK3B;ATF2;JUND;RUNX1;FOS;ESR1;CDK2;CEBPA;CEBPB;SP1
MAPK8,20,275,0.28169014084507044,0.06066622545775425,0.2210239153873162,8.194906585778861E-9,-2.1443415790333273,39.92711060014651,XRCC6;RARA;MAPK1;JUN;SMAD4;SMAD3;SMAD2;SPIB;TP53;ATF2;JUND;ESR1;LEF1;NCOA3;BPTF;CEBPB;CEBPE;NF1;SIRT1;SP1
GSK3B,29,600,0.4084507042253521,0.13236267372600927,0.27608803049934283,1.1091995575018624E-8,-2.09305691552404,38.338611656361195,JUN;MAPK8;SPIB;TP53;GSK3B;CSNK2A1;RBL1;JUND;E2F1;ESR1;RB1;HMGA1;NCOA3;CEBPA;CEBPB;CEBPE;SIN3A;RARA;SMAD4;SMAD2;ETS1;NFKB1;GTF2IRD1;RUNX1;BRCA1;LEF1;BPTF;MDM2;SIRT1
MAPK14,23,461,0.323943661971831,0.10169865431281712,0.2222450076590139,4.000298980841733E-7,-2.093189301119193,30.83629239607581,MAPK1;JUN;USF1;SPIB;TP53;PML;CSNK2A1;RBL1;ATF2;JUND;E2F1;ESR1;RB1;NCOA3;SIN3A;RARA;RARG;SMAD3;ETS1;GTF2IRD1;RUNX1;FOS;SIRT1
CSNK2A1,25,521,0.352112676056338,0.11493492168541805,0.23717775437091995,2.095711886737768E-7,-1.9555860081064709,30.07339735050672,XRCC6;MAPK1;JUN;MAPK9;SPI1;SPIB;TP53;PML;CSNK2A1;SMARCA4;ATF2;HDAC1;CDK1;ESR1;HMGA1;CREBBP;NFKB1;SRF;BRCA1;FOS;LEF1;MDM2;SIRT1;SP1;IRF1
CDK7,8,31,0.11267605633802817,0.006838738142510479,0.1058373181955177,8.99263134498016E-8,-1.5359624388372293,24.91987736816717,E2F1;RARA;CDK1;RARG;ESR1;TP53;CDK2;BRCA1
CHEK1,8,35,0.11267605633802817,0.00772115596735054,0.10495490037067763,2.0179781981986473E-7,-1.5838388277188569,24.416458628069844,E2F1;E2F4;XRCC6;CUL1;TP53;SMAD4;RB1;MDM4
CDK2,24,606,0.3380281690140845,0.13368630046326935,0.20434186855081515,1.1446237960404663E-5,-1.7389091102058025,19.785046053352072,XRCC6;JUN;TP53;CSNK2A1;RBL1;EP300;ATF2;E2F1;ESR1;RB1;HMGA1;CDK2;NFYA;CEBPA;CEBPB;SIN3A;CREBBP;SMAD4;SMAD3;SMAD2;RUNX1;BRCA1;FOS;MDM2
