Term	P-value	Genes
ETSPATHWAY	0.011575769682156702	FOS,JUN,CSF1R
TSP1PATHWAY	0.017198224149114646	FOS,JUN
PEPIPATHWAY	0.021186763286033812	GRN,SLPI
NKTPATHWAY	0.03628367837891511	CCL3,CCR1,CD28
IL22BPPATHWAY	0.04597573856196124	SOCS3,IL10RA
D4GDIPATHWAY	0.04597573856196124	JUN,GZMB
ARENRF2PATHWAY	0.05178989477076746	FOS,JUN
DREAMPATHWAY	0.05178989477076746	FOS,JUN
TCYTOTOXICPATHWAY	0.05178989477076746	ITGB2,CD28
RANKLPATHWAY	0.05178989477076746	FOS,TNFSF11
THELPERPATHWAY	0.05178989477076746	ITGB2,CD28
IL3PATHWAY	0.05785437037675617	FOS,CSF2RB
ERYTHPATHWAY	0.05785437037675617	CCL3,FLT3
CTLPATHWAY	0.05785437037675617	GZMB,ITGB2
CDMACPATHWAY	0.06415512425308417	FOS,JUN
FCER1PATHWAY	0.06771011406742816	FOS,FCER1G,JUN
CARDIACEGFPATHWAY	0.07741170076106733	FOS,JUN
CCR5PATHWAY	0.07741170076106733	FOS,JUN
NGFPATHWAY	0.0843417987693076	FOS,JUN
EPOPATHWAY	0.0843417987693076	FOS,JUN
IGF1PATHWAY	0.09145669939132042	FOS,JUN
INSULINPATHWAY	0.09874463988376396	FOS,JUN
IL6PATHWAY	0.09874463988376396	FOS,JUN
KERATINOCYTEPATHWAY	0.10330134702576706	FOS,HOXA7,JUN
GLEEVECPATHWAY	0.10619427472301754	FOS,JUN
IL2PATHWAY	0.10619427472301754	FOS,JUN
TPOPATHWAY	0.11379466354365944	FOS,JUN
PLCDPATHWAY	0.1325598268433352	TGM2
PDGFPATHWAY	0.1454984820418149	FOS,JUN
EGFPATHWAY	0.1454984820418149	FOS,JUN
ACETAMINOPHENPATHWAY	0.15293152787995357	PTGS1
PPARAPATHWAY	0.16184196962251796	NCOA1,JUN,DUSP1
REELINPATHWAY	0.1728398846920569	VLDLR
BBCELLPATHWAY	0.19229509226026748	CD28
NEUTROPHILPATHWAY	0.19229509226026748	ITGB2
LYMPHOCYTEPATHWAY	0.21130712881251784	ITGB2
PPARGPATHWAY	0.21130712881251784	NCOA1
BCRPATHWAY	0.2132798876500507	FOS,JUN
GPCRPATHWAY	0.2132798876500507	FOS,JUN
METPATHWAY	0.22200872468117439	FOS,JUN
DNAFRAGMENTPATHWAY	0.22988576027687735	GZMB
TOLLPATHWAY	0.23077163011295762	FOS,JUN
IL2RBPATHWAY	0.23077163011295762	FOS,SOCS3
BLYMPHOCYTEPATHWAY	0.2480405446351774	ITGB2
VITCBPATHWAY	0.2480405446351774	COL4A1
MONOCYTEPATHWAY	0.2480405446351774	ITGB2
SETPATHWAY	0.2480405446351774	GZMB
TCAPOPTOSISPATHWAY	0.2480405446351774	CD28
ASBCELLPATHWAY	0.26578083620028053	CD28
RABPATHWAY	0.26578083620028053	RAB4A
ACE2PATHWAY	0.26578083620028053	COL4A1
CDK5PATHWAY	0.2831157898013679	EGR1
CBLPATHWAY	0.2831157898013679	CSF1R
IL10PATHWAY	0.2831157898013679	IL10RA
TCRPATHWAY	0.3102405457746995	FOS,JUN
CD40PATHWAY	0.3166053295639948	DUSP1
HIFPATHWAY	0.3166053295639948	JUN
RARRXRPATHWAY	0.3166053295639948	NCOA1
LAIRPATHWAY	0.3485785668815071	ITGB2
MAPKPATHWAY	0.35247709694811197	FOS,MAP3K8,JUN
41BBPATHWAY	0.3640174540587143	JUN
TNFR2PATHWAY	0.3640174540587143	DUSP1
GCRPATHWAY	0.37910196738923435	ANXA1
TGFBPATHWAY	0.37910196738923435	CDH1
TH1TH2PATHWAY	0.37910196738923435	CD28
ATMPATHWAY	0.3938399758203169	JUN
CTLA4PATHWAY	0.40823917946003974	CD28
TOB1PATHWAY	0.40823917946003974	CD28
CYTOKINEPATHWAY	0.42230711307732577	IL15
BADPATHWAY	0.42230711307732577	CSF2RB
DCPATHWAY	0.42230711307732577	CD33
SPPAPATHWAY	0.42230711307732577	PTGS1
ECMPATHWAY	0.4360511495270972	GSN
CASPASEPATHWAY	0.4360511495270972	GZMB
IL12PATHWAY	0.4360511495270972	JUN
INTRINSICPATHWAY	0.4360511495270972	COL4A1
NTHIPATHWAY	0.44947850311058263	DUSP1
STRESSPATHWAY	0.46259623285895785	JUN
PYK2PATHWAY	0.5121068386961216	JUN
INFLAMPATHWAY	0.5121068386961216	IL15
TNFR1PATHWAY	0.5121068386961216	JUN
FASPATHWAY	0.52377712264655	JUN
RHOPATHWAY	0.5351770525288163	GSN
IL1RPATHWAY	0.5571899546420422	JUN
AT1RPATHWAY	0.5678146538724169	JUN
INTEGRINPATHWAY	0.6078994075642347	JUN
HIVNEFPATHWAY	0.7601053717853703	GSN
