Term	P-value	Genes
chr9p24	3.3482688918380155E-4	INSL6,PDCD1LG2,CD274,VLDLR
chr7p15	0.01956275254829972	AHR,HOXA5,HOXA7
chr20q12	0.026850474485715488	TGM2,SLPI
chr13q14	0.029911956194816545	TNFSF11,TSC22D1,WDFY2
chr1q31	0.038573159435875706	RGS1,RGS2
chr11q22	0.04727662824379535	MMP13,MMP12
chr14q	0.058447951128273286	MEG3
chr12p12	0.06151227655391375	EMP1,MGST1
chr5q23	0.06275743284437381	EGR1,HBEGF
chr9q33	0.06401114219812201	GSN,PBX3
chr6q26	0.07573959216076692	SLC22A3
chr12q	0.08850095450944363	SOCS2
chr11q12	0.09386797542593701	MPEG1,FADS3,AHNAK
chr17q25	0.0975409771514718	SOCS3,CD300LF,METRNL
chr1p32	0.09928292410887786	JUN,OSBPL9
chr5q31	0.1167475704620388	CD74,SEPP1,TGFBI
chr3p21	0.14576153783506302	CCR1,CISH,NT5DC2
chr5q34	0.14577757949881948	DUSP1
chr5p14	0.14577757949881948	ERBB2IP
chr2q23	0.15366262746166146	BAZ2B
chr5q32	0.16147536552840597	CSF1R
chr3p12	0.17306033110710714	NFKBIZ
chr17q22	0.17688654127886466	HLF
chr12q22	0.18448627863162362	BTG1
chr11q23	0.19399072356014196	SORL1,IL10RA
chr17p13	0.19773152414693684	CD68,CLEC10A,P2RX5
chr5q21	0.2031820272691637	ST8SIA4
chr9q32	0.2031820272691637	PTGS1
chr13q13	0.21054054503140776	NBEA
chr11q21	0.22505565972465605	TRPC6
chr2q13	0.22864281868345998	BCL2L11
chr2q37	0.23113337123789107	ARL4C,PDCD1
chr13q34	0.23221348176401607	COL4A1
chr18q11	0.23930562107059108	CABLES1
chr12p11	0.24982198329910602	PKP2
chr2q12	0.2601939034331473	IL1R2
chr1q32	0.2652682572210227	ATF3,BTG2
chr10p15	0.2738018453062646	KLF6
chr1p36	0.27768158983776386	ERRFI1,DHRS3,CD52,TMEM51
chr9p21	0.28051227450196686	PTPLAD2
chr2p24	0.28384435260110547	MYCN
chr3p14	0.29702005995101355	MITF
chr10p12	0.3002761835267384	BAMBI
chr8q24	0.30622748283848317	NOV,TMEM71
chr14q21	0.309954928498401	LGALS3
chr5p13	0.31315152884421016	NIPBL
chr6p21	0.31595024318205844	HIST1H1C,IER3,GABBR1,CRISP1
chr10p11	0.3163334180862498	MAP3K8
chr19q13	0.3305400883335954	PLD3,CD33,ZFP36,MYADM,NKG7,LILRB3
chr3q25	0.3443194177515484	TIPARP
chr2p13	0.3443194177515484	PLEK
chr14q22	0.3503822841009614	ZFP36L1
chr6p12	0.3563894545708818	CRISP3
chr14q32	0.3726936356629809	IGHM,DLK1,PLD4
chr2p25	0.3740818501937767	ID2
chr1p22	0.38274600532790815	CNN3
chr15q15	0.38274600532790815	SORD
chr9q21	0.38560749754868984	ANXA1
chr2p23	0.3884558112841528	NCOA1
chrxq26	0.3884558112841528	HS6ST2
chr12p13	0.3897618926440138	CLEC7A,C3AR1
chr12q23	0.3912910066619116	PLXNC1
chr4q31	0.39411314384361057	IL15
chr20p13	0.39411314384361057	PRNP
chr9q34	0.4059770584674355	FAM102A,OLFM1
chr2q21	0.40803003765272755	CALCRL
chrxq13	0.41077507055723345	CYSLTR1
chr21q22	0.4188008961868766	TIAM1,ITGB2
chr12q13	0.43933794650762475	ITGB7,NR4A1
chr4q21	0.4401484206306257	CXCL2
chr1q25	0.4453305463717377	IER5
chrxq22	0.453014519210312	TSPAN6
chr15q25	0.46806663907306656	CTSH
chr18q21	0.47053500737993803	PMAIP1
chr14q11	0.47618962071384635	GZMB,CCNB1IP1
chr3q21	0.4851080707773791	ITGB5
chr1p31	0.4851080707773791	PDE4B
chr17q21	0.4911105027448222	DUSP3,GRN
chr1q23	0.49224446446740067	FCER1G
chr2q33	0.49460135825722235	CD28
chr17q12	0.503920744227967	CCL3
chr5p15	0.5062237907374528	AHRR
chr13q12	0.5085162154177466	FLT3
chr22q12	0.5153302438018054	CSF2RB
chr17q11	0.5175806654216241	EVI2A
chr7q22	0.5264790191701679	TFR2
chr1q21	0.5342446602685	S100A11,CTSS
chr14q24	0.5395217187101283	FOS
chr1q42	0.5501175493282243	RAB4A
chr16q22	0.556358413726865	CDH1
chr20q11	0.5645459723262701	PROCR
chr10q26	0.5665692968645483	ZRANB1
chr4p16	0.5665692968645483	MXD4
chr17p11	0.5939343882210538	SPECC1
chrxq28	0.5977009459456472	DNASE1L1
chr1p34	0.6195824060251978	PTPRF
chr7q11	0.6452785095217362	PTPN12
chr8p23	0.6738470345429812	CTSB
chr22q13	0.7029156832519152	CSF2RB2
chrxp11	0.794649141056836	CFP
chr19p13	0.8235677854149008	EMR1,TPM4
chr22q11	0.8456917391908284	USP18
chr11p15	0.8904632321733961	LSP1
