Term	P-value	Genes
defense response (GO:0006952)	6.589553804858491E-5	CFP,CRISP3,LILRB3,CLEC7A,CCR1,CXCL2,FPR2,LSP1,C3AR1,CCL3,CYSLTR1,ITGB2,FOS,ANXA1
inflammatory response (GO:0006954)	9.078689922036013E-4	C3AR1,CCL3,ITGB2,FOS,CCR1,CXCL2,FPR2,ANXA1
cell adhesion (GO:0007155)	0.0011610065311850259	PTPRF,CD33,PKP2,CCR1,FPR2,PLEK,ERBB2IP,PLXNC1,ITGB2,ITGB7,EMR1,CDH1
cell surface receptor linked signal transduction (GO:0007166)	0.0016631266940060402	PTPRF,JUN,RGS1,FPR2,C3AR1,CCL3,GABBR1,FLT3,ANXA1,LILRB3,CCR1,CD28,PLEK,ERBB2IP,SOCS2,ITGB2,CD274,FOS,CALCRL
cellular cation homeostasis (GO:0030003)	0.0017182955190878121	CD52,C3AR1,CCL3,CYSLTR1,PRNP,CCR1,TFR2
immune system process (GO:0002376)	0.0024799812954561175	PDCD1LG2,RGS1,CLNK,IL15,TNFSF11,CFP,CRISP3,CD74,KLF6,CLEC7A,CCR1,CD28,ITGB2,CD274,PDCD1,CTSS
apoptosis (GO:0006915)	0.003246882567892927	PMAIP1,AHR,ITGB2,IER3,PDCD1,GZMB
response to wounding (GO:0009611)	0.0032718201088272397	C3AR1,CCL3,ITGB2,FOS,CCR1,CXCL2,FPR2,ANXA1
signal transduction (GO:0007165)	0.003588479962021669	JUN,RGS1,IL15,CCL3,GABBR1,CD33,CD74,CCR1,CD28,PLEK,CSF1R,FOS,PTPRF,CSF2RB,NCOA1,FLT3,LILRB3,CLEC7A,CISH,ERBB2IP,SOCS2,SOCS3,GRN,FPR2,C3AR1,NR4A1,P2RX5,VLDLR,ITGB2,CLNK,HBEGF,ANXA1,S100A11,CD274,CALCRL
programmed cell death (GO:0012501)	0.0038634191896483043	PMAIP1,AHR,ITGB2,IER3,PDCD1,GZMB
integrin-mediated signaling pathway (GO:0007229)	0.004438706036361565	PLEK,ITGB2,ERBB2IP
response to stress (GO:0006950)	0.0053825593323567535	ERRFI1,FPR2,LSP1,DUSP1,C3AR1,CCL3,CYSLTR1,ANXA1,CFP,CRISP3,LILRB3,CLEC7A,SEPP1,CCR1,CXCL2,AHR,ITGB2,FOS,BTG2
cellular ion homeostasis (GO:0006873)	0.0054897457197064375	CD52,C3AR1,CCL3,CYSLTR1,PRNP,TFR2,CCR1
cell motion (GO:0006928)	0.006836678538319989	SORD,FPR2,LSP1,CCL3,ITGB2,BTG1,TPM4,ANXA1
ion homeostasis (GO:0050801)	0.007984519997230557	CD52,C3AR1,CCL3,CYSLTR1,PRNP,TFR2,CCR1
cell death (GO:0008219)	0.008320078974895676	PMAIP1,AHR,ITGB2,IER3,PDCD1,GZMB
cellular calcium ion homeostasis (GO:0006874)	0.008729659066214633	CD52,C3AR1,CCL3,CYSLTR1,CCR1
calcium ion homeostasis (GO:0055074)	0.009101424927378417	CD52,C3AR1,CCL3,CYSLTR1,CCR1
multicellular organismal development (GO:0007275)	0.009780849106177613	DLK1,EMP1,CSF1R,HLF,PDCD1,HLX,ID2
elevation of cytosolic calcium ion concentration (GO:0007204)	0.009872803645075943	CD52,C3AR1,CYSLTR1,CCR1
immune response (GO:0006955)	0.009959131743108439	PDCD1LG2,RGS1,CLNK,IL15,TNFSF11,CFP,CRISP3,CCR1,CD28,CD274,PDCD1,CTSS
cellular homeostasis (GO:0019725)	0.010635100485952382	CD52,C3AR1,CCL3,CYSLTR1,PRNP,TFR2,CCR1
cellular metal ion homeostasis (GO:0006875)	0.0111253978249256	CD52,C3AR1,CCL3,CYSLTR1,CCR1
cytosolic calcium ion homeostasis (GO:0051480)	0.011531309170731885	CD52,C3AR1,CYSLTR1,CCR1
regulation of viral genome replication (GO:0045069)	0.011846151173783093	CCL3,CD28
metal ion homeostasis (GO:0055065)	0.012477071856511306	CD52,C3AR1,CCL3,CYSLTR1,CCR1
cell communication (GO:0007154)	0.01653972258434466	JUN,RGS1,IL15,CCL3,GABBR1,CD33,CD74,CCR1,CD28,PLEK,CSF1R,FOS,PTPRF,CSF2RB,NCOA1,FLT3,LILRB3,CLEC7A,CISH,ERBB2IP,SOCS2,SOCS3,GRN,FPR2,C3AR1,NR4A1,P2RX5,VLDLR,ITGB2,CLNK,HBEGF,ANXA1,S100A11,CD274,CALCRL
chemotaxis (GO:0006935)	0.01661673765620535	CCL3,ITGB2,CCR1,CXCL2,FPR2
humoral immune response (GO:0006959)	0.016881190303915664	PDCD1,CFP,CD28
respiratory gaseous exchange (GO:0007585)	0.01777046185963305	CYSLTR1,CSF2RB
cell structure disassembly during apoptosis (GO:0006921)	0.022280112193091808	GZMB,PMAIP1
regulation of actin polymerization or depolymerization (GO:0008064)	0.022280112193091808	PLEK,GSN
locomotory behavior (GO:0007626)	0.022962565167100716	CCL3,ITGB2,CCR1,CXCL2,FPR2
JAK-STAT cascade (GO:0007259)	0.024693457113167543	SOCS2,SOCS3
fatty acid biosynthetic process (GO:0006633)	0.02720839838125983	FADS3,CD74
regulation of actin filament length (GO:0030832)	0.02720839838125983	PLEK,GSN
enzyme linked receptor protein signaling pathway (GO:0007167)	0.027230089427772126	PTPRF,SOCS2,JUN,FOS,FLT3,ERBB2IP
behavior (GO:0007610)	0.035900434819438914	CCL3,ITGB2,CCR1,CXCL2,FPR2,VLDLR
cell recognition (GO:0008037)	0.0474140735894081	CSGALNACT1,CLEC7A
negative regulation of adenylate cyclase activity (GO:0007194)	0.05063908182408651	GABBR1,RGS1
cell-cell adhesion (GO:0016337)	0.05143864220969971	ITGB2,PKP2,CDH1,PLEK
cell differentiation (GO:0030154)	0.05786116595726136	KLF6,MITF,CD28,PLEK,ANXA1
response to chemical stimulus (GO:0042221)	0.07006256396618311	FPR2,DUSP1,CCL3,CLEC7A,SEPP1,CCR1,CXCL2,PMAIP1,SOCS2,AHR,ITGB2,FOS
transforming growth factor beta receptor signaling pathway (GO:0007179)	0.07151557193663947	FOS,JUN
regulation of G-protein coupled receptor protein signaling pathway (GO:0008277)	0.07151557193663947	PLEK,RGS2
