Term	P-value	Genes
signal transducer activity (GO:0004871)	2.0318655027805842E-4	TFR2,FPR2,IL15,C3AR1,CCL3,CYSLTR1,P2RX5,GABBR1,CD33,IL10RA,CD28,VLDLR,AHR,CSF1R,EMR1,SORL1,PDCD1,EVI2A,PTPRF,PROCR,CLNK,TSPAN6,CSF2RB,FLT3,LILRB3,CLEC7A,SOCS2
receptor activity (GO:0004872)	7.712631872697697E-4	PTPRF,PROCR,TFR2,FPR2,C3AR1,CYSLTR1,P2RX5,GABBR1,CSF2RB,FLT3,LILRB3,CD33,CLEC7A,IL10RA,CD28,VLDLR,AHR,CSF1R,EMR1,SORL1,EVI2A
transmembrane receptor activity (GO:0004888)	0.004547707942392571	PTPRF,TFR2,FPR2,C3AR1,CYSLTR1,P2RX5,GABBR1,CSF2RB,FLT3,LILRB3,IL10RA,VLDLR,CSF1R,EMR1,SORL1,EVI2A
sugar binding (GO:0005529)	0.005281367754571759	SORD,CLEC10A,LGALS3,CLEC7A
GTPase activator activity (GO:0005096)	0.00951077221629433	ERRFI1,JUN,RGS1,RGS2
R-SMAD binding (GO:0070412)	0.009887605223320647	FOS,JUN
protein tyrosine phosphatase activity (GO:0004725)	0.010026402241989581	PTPRF,PTPN12,DUSP3,DUSP1
receptor binding (GO:0005102)	0.011139682663957819	HBEGF,TGFBI,CCL3,TNFSF11,NCOA1,ANXA1,CD74,CLEC7A,CXCL2,ERBB2IP,SOCS2,PLXNC1,INSL6,GRN
carbohydrate binding (GO:0030246)	0.017048229046976823	LGALS3,CLEC7A,SORD,CLEC10A,HBEGF
low-density lipoprotein binding (GO:0030169)	0.021804360707957295	SORL1,VLDLR
Rho GTPase activator activity (GO:0005100)	0.02663196478371397	JUN,ERRFI1
MHC protein binding (GO:0042287)	0.03184740759709785	CD74,CLEC7A
phosphoprotein phosphatase activity (GO:0004721)	0.035728344926104175	PTPRF,PTPN12,DUSP3,DUSP1
lipoprotein binding (GO:0008034)	0.04034874507520552	SORL1,VLDLR
cysteine-type peptidase activity (GO:0008234)	0.04143216199232837	USP18,CTSS,CTSH
endopeptidase activity (GO:0004175)	0.042343417329197025	GZMB,CTSS,MMP13,MMP12,CTSH
promoter binding (GO:0010843)	0.046437166415655186	FOS,JUN
Ras GTPase activator activity (GO:0005099)	0.05953280501390241	ERRFI1,JUN
hydrolase activity, acting on ester bonds (GO:0016788)	0.06195668733976163	DNASE1L1,PLD3,PTPRF,PTPN12,DUSP3,DUSP1,PDE4B,C3AR1
calmodulin binding (GO:0005516)	0.07372686614550213	RGS1,RGS2
SMAD binding (GO:0046332)	0.07372686614550213	FOS,JUN
cytokine binding (GO:0019955)	0.07594999628878356	CSF2RB,CD74,IL10RA
small GTPase regulator activity (GO:0005083)	0.07594999628878356	TIAM1,ERRFI1,JUN
peptidase activity (GO:0008233)	0.07609448217222164	USP18,GZMB,MMP13,MMP12,CTSS,CTSH
metalloendopeptidase activity (GO:0004222)	0.08500769908715955	MMP13,MMP12
cytokine activity (GO:0005125)	0.08546166133216167	CCL3,CXCL2,TNFSF11
protein binding, bridging (GO:0030674)	0.08546166133216167	CLNK,SOCS2,ANXA1
cytokine receptor activity (GO:0004896)	0.0927996091039724	IL10RA,CSF2RB
chemokine activity (GO:0008009)	0.10079029652061171	CCL3,CXCL2
integrin binding (GO:0005178)	0.10079029652061171	TGFBI,ERBB2IP
cysteine-type endopeptidase activity (GO:0004197)	0.10896479648423127	CTSS,CTSH
mRNA binding (GO:0003729)	0.11311647009820461	ZFP36L1,ZFP36
kinase binding (GO:0019900)	0.11956184361804906	BTG1,ITGB2,PLEK
SH3/SH2 adaptor activity (GO:0005070)	0.12580845903273538	CLNK,SOCS2
phospholipase activity (GO:0004620)	0.13011256658096637	C3AR1,PLD3
transmembrane receptor protein tyrosine kinase activity (GO:0004714)	0.13011256658096637	CSF1R,FLT3
enzyme activator activity (GO:0008047)	0.1309045017999622	JUN,RGS1,RGS2,ERRFI1
protein kinase C binding (GO:0005080)	0.13241122944946093	PLEK
apolipoprotein binding (GO:0034185)	0.13241122944946093	VLDLR
insulin-like growth factor receptor binding (GO:0005159)	0.14354974073874338	SOCS2
hydrolase activity (GO:0016787)	0.14476464807531197	USP18,MMP13,MMP12,ARL4C,DUSP3,DUSP1,C3AR1,PLD3,RAB4A,GZMB,PTPRF,NAGA,PDE4B,DNASE1L1,PTPN12,CTSS,CTSH
acetylgalactosaminyltransferase activity (GO:0008376)	0.1545465340807417	CSGALNACT1
Rho guanyl-nucleotide exchange factor activity (GO:0005089)	0.1545465340807417	TIAM1
organic cation transmembrane transporter activity (GO:0015101)	0.1545465340807417	SLC22A3
sequence-specific DNA binding (GO:0043565)	0.15475383726837072	JUN,FOS,HLX
lipase activity (GO:0016298)	0.161109446964726	PLD3,C3AR1
pattern recognition receptor activity (GO:0008329)	0.16540339623424502	CLEC7A
heat shock protein binding (GO:0031072)	0.17612209167241646	AHR
3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)	0.17612209167241646	PDE4B
glycoprotein binding (GO:0001948)	0.17612209167241646	ITGB2
identical protein binding (GO:0042802)	0.1765963420792104	P2RX5,ATF3,CD74,S100A11,CD28,PLEK,ITGB7,PRNP
molecular adaptor activity (GO:0060090)	0.17937764056268796	CLNK,SOCS2
transcription regulator activity (GO:0030528)	0.18269345534913461	JUN,MYCN,ATF3,ID2,KLF6,ZFP36L1,AHR,FOS,MXD4,NCOA1,CDH1,MITF,HOXA7,EGR1,BTG1
peptide receptor activity, G-protein coupled (GO:0008528)	0.183994476790666	C3AR1,FPR2
phosphoinositide phospholipase C activity (GO:0004435)	0.1867043627943757	C3AR1
G-protein-coupled receptor binding (GO:0001664)	0.18862874764825846	CCL3,CXCL2
growth factor binding (GO:0019838)	0.1932792618387367	CSF2RB,IL10RA
single-stranded RNA binding (GO:0003727)	0.19715193024262376	ZFP36
glutathione transferase activity (GO:0004364)	0.19715193024262376	MGST1
coreceptor activity (GO:0015026)	0.19715193024262376	CD28
phospholipase C activity (GO:0004629)	0.19715193024262376	C3AR1
transmembrane receptor protein tyrosine phosphatase activity (GO:0005001)	0.20746649316252558	PTPRF
SH3 domain binding (GO:0017124)	0.21764972944225564	PTPN12
protein tyrosine kinase activity (GO:0004713)	0.230933917090334	CSF1R,FLT3
metallopeptidase activity (GO:0008237)	0.230933917090334	MMP13,MMP12
cell adhesion molecule binding (GO:0050839)	0.23762882905075725	CDH1
copper ion binding (GO:0005507)	0.24742794436385215	PRNP
calcium-dependent protein binding (GO:0048306)	0.24742794436385215	S100A11
ubiquitin-specific protease activity (GO:0004843)	0.24742794436385215	USP18
protein kinase binding (GO:0019901)	0.25471939265129523	ITGB2,PLEK
deoxyribonuclease activity (GO:0004536)	0.2571022374673199	DNASE1L1
Ras guanyl-nucleotide exchange factor activity (GO:0005088)	0.2571022374673199	TIAM1
