Term	P-value	Genes
15474998-tableS1b	2.4105582610870313E-32	CSF2RB2,HIST1H1C,MMP12,ARL4C,H2-AB1,TGFBI,C3AR1,CCL3,IFITM6,ATF3,ST8SIA4,IER5,AHNAK,DHRS3,ID2,CD52,PLD3,PLD4,CD74,CD68,MPEG1,ZFP36,ZFP36L1,CD28,EMP1,ITGB5,ITGB2,ITGB7,CSF1R,EMR1,H2-EB1,CYTIP,SLPI,PTGS1,IL1R2,PROCR,HLX,LSP1,DDIT4,NIPBL,ANXA1,DNASE1L1,CFP,LILRB3,FCER1G,LGALS3,GSN,CTSS,GRN,H2-AA,CTSB,CTSH
15474998-tableS1a	5.704806971469854E-25	PTGS1,BCL2L11,PKP2,HLX,HIST1H1C,MYADM,MMP12,H2-AB1,LSP1,HBEGF,TGFBI,CCL3,IFITM6,IER3,AHNAK,DHRS3,H2-DMA,DNASE1L1,NOV,LILRB3,CD74,CD68,MPEG1,CD28,CISH,NT5DC2,ITGB5,ITGB2,ITGB7,H2-EB1,CYTIP,GSN,GRN,H2-AA,SLPI,PRNP,CTSH,TPM4
20460173-ImmPortComprehensiveListofImmune-RelatedGenes	1.800261073121326E-24	IGHM,ZFP36,IL10RA,EMR1,FOS,SLPI,TIPARP,PTGS1,PTPRF,PROCR,HLF,MYADM,DDIT4,CSF2RB,FCER1G,SOCS2,SOCS3,GSN,GRN,NR4A1,ID2,KLF6,PLXNC1,SORL1,PRNP,PDCD1LG2,NIPBL,COL4A1,CD274,BTG2,BTG1,MGST1,JUN,RGS2,PKP2,NFKBIZ,MMP12,DUSP3,DUSP1,IL15,TGFBI,CCL3,CD52,CD33,CD74,CD68,CCR1,CXCL2,CD28,PLEK,AHR,CSF1R,CYTIP,PDCD1,BCL2L11,IL1R2,CCNB1IP1,LSP1,NKG7,CDH1,FLT3,CFP,LILRB3,CLEC7A,MITF,CISH,ERBB2IP,BAMBI,TIAM1,HOXA5,HOXA7,EGR1,FPR2,CLEC10A,C3AR1,CYSLTR1,IER3,MPEG1,RAB4A,GZMB,VLDLR,PMAIP1,ITGB5,ITGB2,ITGB7,TGM2,CLNK,TNFSF11,ANXA1,PBX3,CD300LF,CTSS,CTSB,CTSH
15897907-SuppTable2	3.4394456154062384E-23	IGHM,ATF3,IL10RA,EMP1,FOS,SLPI,CSGALNACT1,PTPRF,DDIT4,CSF2RB,CRISP3,FCER1G,SOCS2,GSN,CNN3,HIST1H1C,ARL4C,ID2,OLFM1,PLXNC1,SORL1,PRNP,SORD,DLK1,NIPBL,OSBPL9,BTG2,BTG1,JUN,RGS1,RGS2,PKP2,USP18,MMP13,MMP12,DUSP1,IL15,TGFBI,AHNAK,CD52,CD74,CCR1,CXCL2,PLEK,NT5DC2,CSF1R,CYTIP,PLBD1,CCNB1IP1,NKG7,CDH1,LGALS3,CLEC7A,ERBB2IP,BAMBI,TIAM1,EGR1,NBEA,MYCN,C3AR1,IER3,IER5,SEPP1,GZMB,VLDLR,PMAIP1,ITGB5,EVI2A,TGM2,TSPAN6,PDE4B,ANXA1,NOV,PBX3,CTSS,CTSB,CTSH
18160665-TableS5	2.2861871363950038E-21	IGHM,ATF3,ZFP36,ZFP36L1,IL10RA,FOS,SLPI,PTGS1,PTPRF,HLF,CSF2RB,CRISP3,FCER1G,SOCS2,SOCS3,GSN,HIST1H1C,ARL4C,NR4A1,ID2,OLFM1,KLF6,SORL1,PRNP,DLK1,DNASE1L1,FAM102A,PTPN12,BTG2,BTG1,MGST1,MAP3K8,JUN,RGS1,RGS2,MMP13,MMP12,DUSP3,DUSP1,IL15,CCL3,GABBR1,CD52,CD33,CD74,CD68,CCR1,CXCL2,CD28,PLEK,AHR,CSF1R,CYTIP,BCL2L11,IL1R2,LSP1,NKG7,NCOA1,CDH1,CISH,ERBB2IP,TIAM1,HOXA5,EGR1,MYCN,FPR2,C3AR1,CYSLTR1,IER3,IER5,MPEG1,GZMB,PMAIP1,ITGB5,ITGB2,ITGB7,EVI2A,CLNK,MXD4,PDE4B,TNFSF11,TSC22D1,PBX3,CTSS,CTSB
15474998-tableS1c	5.681630570658542E-18	CSF2RB2,PKP2,USP18,MMP12,H2-AB1,TGFBI,CCL3,IFITM6,ATF3,ST8SIA4,AHNAK,CD52,PLD3,PLD4,CD68,ZFP36,ZFP36L1,CD28,NT5DC2,EMP1,CSF1R,CYTIP,SLPI,IL1R2,MYADM,LSP1,DDIT4,CSF2RB,LILRB3,LGALS3,HOXA7,GRN,HIST1H1C,ARL4C,C3AR1,IER3,IER5,DHRS3,H2-DMA,KLF6,MPEG1,VLDLR,ITGB5,ITGB2,ITGB7,H2-EB1,EVI2A,NAGA,MXD4,NIPBL,RANGRF,ANXA1,DNASE1L1,CTSS,H2-AA,CTSB,CTSH,TPM4
19755675-TableS6	2.3173383787165348E-17	RGS1,HLX,HIST1H1C,ARL4C,SORD,FADS3,LSP1,PDE4B,DDIT4,P2RX5,NKG7,CSF2RB,AHNAK,FLT3,ANXA1,CD52,CD74,KLF6,S100A11,VLDLR,SOCS2,EMP1,ITGB2,HOXA5,FOS,GSN,PRNP
16166618-SuppTable3	8.228466878144063E-17	RGS2,PKP2,USP18,MMP13,MMP12,ARL4C,FPR2,H2-AB1,C3AR1,ST8SIA4,IER3,GABBR1,AHNAK,DHRS3,ID2,H2-DMA,CD52,PLD4,ZFP36L1,CYP4F16,AHR,H2-EB1,CYTIP,SORL1,INSL6,PRNP,PLBD1,TGM2,TMEM51,PTGS1,PDCD1LG2,IL1R2,PROCR,MFSD6,LSP1,HBEGF,DDIT4,NCOA1,COL4A1,CLEC4N,PTPN12,TIAM1,BTG2,H2-AA,CTSB,CNN3
17676974-TableS1	3.070998064985627E-16	NBEA,NFKBIZ,MYCN,FPR2,DUSP3,TGFBI,IFITM6,IER3,ID2,KLF6,MPEG1,ZFP36,CD28,PLEK,VLDLR,PMAIP1,PLXNC1,ITGB2,CSF1R,CYTIP,FOS,SLPI,TIPARP,PLBD1,CSGALNACT1,HLF,HBEGF,TSPAN6,PDE4B,DDIT4,MS4A6D,TSC22D1,PTPN12,CLEC7A,PBX3,TIAM1,SOCS3,EGR1,WLS,CTSS,CTSB,CNN3,TPM4
19549311-SuppTable2-MMLandPhenotype	4.820393282165797E-15	IGHM,BCL2L11,HIST1H1C,DUSP3,DUSP1,C3AR1,CYSLTR1,NKG7,AHNAK,DHRS3,CFP,CD33,FCER1G,LGALS3,S100A11,MPEG1,PLEK,PMAIP1,SOCS2,AHR,CD300LF,PLXNC1,ITGB2,CSF1R,CTSS,GRN,CTSB,CTSH,TPM4,MGST1
14684422-TableS1	7.97384307388833E-15	CD52,RGS1,RGS2,ARL4C,CXCL2,DUSP3,DUSP1,PBX3,PMAIP1,SOCS2,AHR,DDIT4,HOXA5,ATF3,FOS,AHNAK,CTSH,TIPARP,FLT3,ANXA1,ID2
16166618-SuppTable4	1.488875035504741E-14	CSF2RB2,PKP2,USP18,MMP13,MMP12,H2-AB1,IFITM6,ST8SIA4,CD33,CD28,CYP4F16,AHR,EMP1,PLBD1,IL1R2,NCOA1,CDH1,CFP,TIAM1,EGR1,WLS,GRN,CNN3,ARL4C,FPR2,C3AR1,ID2,PMAIP1,PLXNC1,ITGB5,ITGB7,SORL1,INSL6,EVI2A,PRNP,TGM2,TMEM51,MFSD6,HBEGF,NOV,PTPN12,CALCRL,H2-AA,CTSB,METRNL,MGST1
