Term	P-value	Genes
HMDB00097	0.01920891228479901	PLD3,PLD4
HMDB11390	0.02179990278969945	PLD3,PLD4
HMDB11395	0.02179990278969945	PLD3,PLD4
HMDB11396	0.02179990278969945	PLD3,PLD4
HMDB11393	0.02179990278969945	PLD3,PLD4
HMDB11394	0.02179990278969945	PLD3,PLD4
HMDB11391	0.02179990278969945	PLD3,PLD4
HMDB11392	0.02179990278969945	PLD3,PLD4
HMDB11337	0.02179990278969945	PLD3,PLD4
HMDB11339	0.02179990278969945	PLD3,PLD4
HMDB11336	0.02179990278969945	PLD3,PLD4
HMDB11335	0.02179990278969945	PLD3,PLD4
HMDB11342	0.02179990278969945	PLD3,PLD4
HMDB11343	0.02179990278969945	PLD3,PLD4
HMDB11340	0.02179990278969945	PLD3,PLD4
HMDB11341	0.02179990278969945	PLD3,PLD4
HMDB11349	0.02179990278969945	PLD3,PLD4
HMDB11348	0.02179990278969945	PLD3,PLD4
HMDB11347	0.02179990278969945	PLD3,PLD4
HMDB11346	0.02179990278969945	PLD3,PLD4
HMDB11345	0.02179990278969945	PLD3,PLD4
HMDB11344	0.02179990278969945	PLD3,PLD4
HMDB11350	0.02179990278969945	PLD3,PLD4
HMDB11352	0.02179990278969945	PLD3,PLD4
HMDB11351	0.02179990278969945	PLD3,PLD4
HMDB11354	0.02179990278969945	PLD3,PLD4
HMDB11353	0.02179990278969945	PLD3,PLD4
HMDB11355	0.02179990278969945	PLD3,PLD4
HMDB11356	0.02179990278969945	PLD3,PLD4
HMDB11357	0.02179990278969945	PLD3,PLD4
HMDB11358	0.02179990278969945	PLD3,PLD4
HMDB11359	0.02179990278969945	PLD3,PLD4
HMDB11360	0.02179990278969945	PLD3,PLD4
HMDB11363	0.02179990278969945	PLD3,PLD4
HMDB11362	0.02179990278969945	PLD3,PLD4
HMDB11368	0.02179990278969945	PLD3,PLD4
HMDB11369	0.02179990278969945	PLD3,PLD4
HMDB11374	0.02179990278969945	PLD3,PLD4
HMDB11373	0.02179990278969945	PLD3,PLD4
HMDB11376	0.02179990278969945	PLD3,PLD4
HMDB11375	0.02179990278969945	PLD3,PLD4
HMDB11370	0.02179990278969945	PLD3,PLD4
HMDB11372	0.02179990278969945	PLD3,PLD4
HMDB11371	0.02179990278969945	PLD3,PLD4
HMDB11377	0.02179990278969945	PLD3,PLD4
HMDB11378	0.02179990278969945	PLD3,PLD4
HMDB11379	0.02179990278969945	PLD3,PLD4
HMDB11387	0.02179990278969945	PLD3,PLD4
HMDB11386	0.02179990278969945	PLD3,PLD4
HMDB11384	0.02179990278969945	PLD3,PLD4
HMDB11383	0.02179990278969945	PLD3,PLD4
HMDB11382	0.02179990278969945	PLD3,PLD4
HMDB11381	0.02179990278969945	PLD3,PLD4
HMDB11380	0.02179990278969945	PLD3,PLD4
HMDB11388	0.02179990278969945	PLD3,PLD4
HMDB11389	0.02179990278969945	PLD3,PLD4
HMDB11450	0.02179990278969945	PLD3,PLD4
HMDB11451	0.02179990278969945	PLD3,PLD4
HMDB11452	0.02179990278969945	PLD3,PLD4
HMDB11453	0.02179990278969945	PLD3,PLD4
HMDB11459	0.02179990278969945	PLD3,PLD4
HMDB11458	0.02179990278969945	PLD3,PLD4
HMDB11455	0.02179990278969945	PLD3,PLD4
HMDB11454	0.02179990278969945	PLD3,PLD4
HMDB11457	0.02179990278969945	PLD3,PLD4
HMDB11456	0.02179990278969945	PLD3,PLD4
HMDB11461	0.02179990278969945	PLD3,PLD4
HMDB11462	0.02179990278969945	PLD3,PLD4
HMDB11460	0.02179990278969945	PLD3,PLD4
HMDB11435	0.02179990278969945	PLD3,PLD4
HMDB11434	0.02179990278969945	PLD3,PLD4
HMDB11437	0.02179990278969945	PLD3,PLD4
HMDB11436	0.02179990278969945	PLD3,PLD4
HMDB11439	0.02179990278969945	PLD3,PLD4
HMDB11438	0.02179990278969945	PLD3,PLD4
HMDB11441	0.02179990278969945	PLD3,PLD4
HMDB11442	0.02179990278969945	PLD3,PLD4
HMDB11440	0.02179990278969945	PLD3,PLD4
HMDB11446	0.02179990278969945	PLD3,PLD4
HMDB11445	0.02179990278969945	PLD3,PLD4
HMDB11444	0.02179990278969945	PLD3,PLD4
HMDB11443	0.02179990278969945	PLD3,PLD4
HMDB11449	0.02179990278969945	PLD3,PLD4
HMDB11448	0.02179990278969945	PLD3,PLD4
HMDB11447	0.02179990278969945	PLD3,PLD4
HMDB11416	0.02179990278969945	PLD3,PLD4
HMDB11417	0.02179990278969945	PLD3,PLD4
HMDB11414	0.02179990278969945	PLD3,PLD4
HMDB11415	0.02179990278969945	PLD3,PLD4
HMDB11412	0.02179990278969945	PLD3,PLD4
HMDB11413	0.02179990278969945	PLD3,PLD4
HMDB11410	0.02179990278969945	PLD3,PLD4
HMDB11411	0.02179990278969945	PLD3,PLD4
HMDB11418	0.02179990278969945	PLD3,PLD4
HMDB11419	0.02179990278969945	PLD3,PLD4
HMDB11425	0.02179990278969945	PLD3,PLD4
HMDB11426	0.02179990278969945	PLD3,PLD4
HMDB11427	0.02179990278969945	PLD3,PLD4
HMDB11428	0.02179990278969945	PLD3,PLD4
HMDB11421	0.02179990278969945	PLD3,PLD4
HMDB11422	0.02179990278969945	PLD3,PLD4
HMDB11423	0.02179990278969945	PLD3,PLD4
HMDB11424	0.02179990278969945	PLD3,PLD4
HMDB11429	0.02179990278969945	PLD3,PLD4
HMDB11420	0.02179990278969945	PLD3,PLD4
HMDB11401	0.02179990278969945	PLD3,PLD4
HMDB11402	0.02179990278969945	PLD3,PLD4
HMDB11403	0.02179990278969945	PLD3,PLD4
HMDB11404	0.02179990278969945	PLD3,PLD4
HMDB11405	0.02179990278969945	PLD3,PLD4
HMDB11406	0.02179990278969945	PLD3,PLD4
HMDB11407	0.02179990278969945	PLD3,PLD4
HMDB11408	0.02179990278969945	PLD3,PLD4
HMDB11409	0.02179990278969945	PLD3,PLD4
HMDB11152	0.02179990278969945	PLD3,PLD4
HMDB11157	0.02179990278969945	PLD3,PLD4
HMDB11158	0.04007820210462277	PLD3,PLD4
HMDB09764	0.041796057259866105	PLD3,PLD4
HMDB09763	0.041796057259866105	PLD3,PLD4
HMDB09766	0.041796057259866105	PLD3,PLD4
HMDB09765	0.041796057259866105	PLD3,PLD4
HMDB09768	0.041796057259866105	PLD3,PLD4
HMDB09767	0.041796057259866105	PLD3,PLD4
HMDB09769	0.041796057259866105	PLD3,PLD4
HMDB09760	0.041796057259866105	PLD3,PLD4
HMDB09762	0.041796057259866105	PLD3,PLD4
HMDB09761	0.041796057259866105	PLD3,PLD4
HMDB09755	0.041796057259866105	PLD3,PLD4
HMDB09754	0.041796057259866105	PLD3,PLD4
HMDB09753	0.041796057259866105	PLD3,PLD4
HMDB09752	0.041796057259866105	PLD3,PLD4
HMDB09759	0.041796057259866105	PLD3,PLD4
HMDB09758	0.041796057259866105	PLD3,PLD4
HMDB09757	0.041796057259866105	PLD3,PLD4
HMDB09756	0.041796057259866105	PLD3,PLD4
HMDB09751	0.041796057259866105	PLD3,PLD4
HMDB09750	0.041796057259866105	PLD3,PLD4
HMDB09777	0.041796057259866105	PLD3,PLD4
HMDB09776	0.041796057259866105	PLD3,PLD4
HMDB09775	0.041796057259866105	PLD3,PLD4
HMDB09774	0.041796057259866105	PLD3,PLD4
HMDB09773	0.041796057259866105	PLD3,PLD4
HMDB09772	0.041796057259866105	PLD3,PLD4
HMDB09771	0.041796057259866105	PLD3,PLD4
HMDB09770	0.041796057259866105	PLD3,PLD4
HMDB09661	0.041796057259866105	PLD3,PLD4
HMDB09660	0.041796057259866105	PLD3,PLD4
HMDB09663	0.041796057259866105	PLD3,PLD4
HMDB09662	0.041796057259866105	PLD3,PLD4
HMDB09669	0.041796057259866105	PLD3,PLD4
HMDB09668	0.041796057259866105	PLD3,PLD4
HMDB09665	0.041796057259866105	PLD3,PLD4
HMDB09664	0.041796057259866105	PLD3,PLD4
HMDB09667	0.041796057259866105	PLD3,PLD4
HMDB09666	0.041796057259866105	PLD3,PLD4
HMDB09652	0.041796057259866105	PLD3,PLD4
HMDB09651	0.041796057259866105	PLD3,PLD4
HMDB09650	0.041796057259866105	PLD3,PLD4
HMDB09659	0.041796057259866105	PLD3,PLD4
HMDB09658	0.041796057259866105	PLD3,PLD4
HMDB09657	0.041796057259866105	PLD3,PLD4
HMDB09656	0.041796057259866105	PLD3,PLD4
HMDB09655	0.041796057259866105	PLD3,PLD4
HMDB09654	0.041796057259866105	PLD3,PLD4
HMDB09653	0.041796057259866105	PLD3,PLD4
HMDB09641	0.041796057259866105	PLD3,PLD4
HMDB09640	0.041796057259866105	PLD3,PLD4
HMDB09643	0.041796057259866105	PLD3,PLD4
HMDB09642	0.041796057259866105	PLD3,PLD4
HMDB09645	0.041796057259866105	PLD3,PLD4
HMDB09644	0.041796057259866105	PLD3,PLD4
HMDB09647	0.041796057259866105	PLD3,PLD4
HMDB09646	0.041796057259866105	PLD3,PLD4
HMDB09649	0.041796057259866105	PLD3,PLD4
HMDB09648	0.041796057259866105	PLD3,PLD4
HMDB09630	0.041796057259866105	PLD3,PLD4
HMDB09634	0.041796057259866105	PLD3,PLD4
HMDB09633	0.041796057259866105	PLD3,PLD4
HMDB09632	0.041796057259866105	PLD3,PLD4
HMDB09631	0.041796057259866105	PLD3,PLD4
HMDB09638	0.041796057259866105	PLD3,PLD4
HMDB09637	0.041796057259866105	PLD3,PLD4
HMDB09636	0.041796057259866105	PLD3,PLD4
HMDB09635	0.041796057259866105	PLD3,PLD4
