Term	P-value	Genes
HLH_basic	2.082742239118001E-4	AHR,AHRR,MITF,MYCN,MXD4,NCOA1,ID2
bZIP_2	0.001854098038988773	HLF,FOS,ATF3
PAS_fold	0.003029682145239949	AHR,NCOA1,AHRR
SOCS_C	0.009580790909025935	SOCS2,SOCS3,CISH
Peptidase_C1A_C	0.012119033784074319	CTSS,CTSB
Znf_CCCH	0.01593341448027854	TIPARP,ZFP36L1,ZFP36
SCP-like_extracellular	0.017275352816017407	CRISP3,CRISP1
PGBD_1	0.027542684553740055	MMP13,MMP12
EGF_extracell	0.027750380976174136	ITGB5,ITGB2,ITGB7
Hemopexin	0.032187458677581764	MMP13,MMP12
Pept_M10A_M12B	0.03461727338891636	MMP13,MMP12
RGS	0.047766693155243664	RGS1,RGS2
CD80_C2-set	0.06551726396560516	PDCD1LG2,CD274
PDZ	0.06672547940460415	TIAM1,CYTIP,AHNAK,ERBB2IP
Tyr_Pase_rcpt/non-rcpt	0.06866178881118376	PTPRF,PTPN12
Tyr_Pase_dual_specific	0.06866178881118376	DUSP3,DUSP1
EGF_like	0.06964482623874152	PTGS1,ITGB5,HBEGF,VLDLR
Ig_V-set	0.10412909868762044	CD33,CSF1R,CD274,PDCD1
SH2	0.10656201374091857	SOCS2,SOCS3,CISH
Gelsoln	0.12794396041589018	GSN
Cys_knot	0.12794396041589018	NOV
OTU	0.13784463579426057	ZRANB1
Trnsglumase_like	0.13784463579426057	TGM2
Histone_H1/H5	0.13784463579426057	HIST1H1C
IGFBP_like	0.147634183782614	NOV
Olfac_like	0.15731383735632937	OLFM1
Cyt_B5	0.16688481596542196	FADS3
ADH_N	0.16688481596542196	SORD
Whey_acidic_protein_4-diS_core	0.17634832569244063	SLPI
EMI	0.17634832569244063	TGFBI
Calponin_act_bd	0.18398014692082795	SPECC1,CNN3
Thyroglobulin_1	0.18570555939266603	CD74
EGF_Ca_bd_2	0.18807594134205552	EMR1,VLDLR
Homeobox	0.19345231355551035	HLX,PBX3,HOXA5,HOXA7
Ig	0.19345231355551035	CD33,IL1R2,CSF1R,FLT3
ADH_Zn_bd	0.1949576968246938	SORD
DEP	0.1949576968246938	PLEK
PA	0.20410590481683738	TFR2
Cadherin_C_term	0.2131513373806949	CDH1
Znf_RanBP2	0.2131513373806949	ZRANB1
Rhodanese-like	0.2131513373806949	DUSP1
Lectin_C	0.22542594977796324	CLEC10A,CLEC7A
PDEase	0.23093842911188442	PDE4B
PAS_3	0.23968233353754873	AHR
Exo_endo_phos	0.24832795332291593	DNASE1L1
FN_III	0.25375473181307584	PTPRF,SORL1,CSF2RB
PKD_cys_rich	0.25687638052017686	EMR1
Marvel	0.26532869518968394	MYADM
Znf_FYVE	0.26532869518968394	WDFY2
bZIP_1	0.26532869518968394	JUN
hormone_rcpt	0.26532869518968394	CALCRL
S100_Ca_bd_sub	0.2736859655229484	S100A11
VWF_C	0.2736859655229484	NOV
Tyr_pkinase	0.29279855596643833	CSF1R,FLT3
ANF_lig_bd_rcpt	0.29819801724340833	GABBR1
IPT_TIG_rcpt	0.29819801724340833	PLXNC1
Hrmn_rcpt_DNA_bd	0.4090142868612742	NR4A1
Nucl_hrmn_rcpt_lig-bd_core	0.4224173331137422	NR4A1
Sushi_SCR_CCP	0.4419604515287179	GABBR1
Peptidase_C19	0.46084965368860564	USP18
PH	0.5094910486612726	OSBPL9,PLEK,TIAM1
RhoGEF	0.5193634502696063	TIAM1
Peptidase_S1_S6	0.6969020855872794	GZMB
Ion_trans	0.707232715167154	TRPC6
Cadherin	0.717215151431142	CDH1
Ig_I-set	0.7677444218726702	PTPRF
EF_hand_Ca_bd	0.8523926166657302	S100A11
Prot_kinase_core	0.9854140272439728	MAP3K8
Znf_C2H2	0.9928744280966286	KLF6,EGR1
