Term	P-value	Genes
Integrin cell surface interactions	4.1791182020207117E-4	ITGB5,CDH1,ITGB2,ITGB7,COL4A1
Apoptosis	0.0031069375120617317	PMAIP1,GSN,HIST1H1C,GZMB,CDH1
Signaling in Immune system	0.012716132114252134	LILRB3,JUN,FCER1G,ITGB2,ITGB7,CDH1
Axon guidance	0.03970661827948131	COL4A1,ST8SIA4
Hemostasis	0.26427806890330247	FCER1G,PLEK,ITGB2
Signaling by PDGF	0.37916263659289373	COL4A1
Signalling by NGF	0.4045149502686433	NR4A1,DUSP3
Signaling by GPCR	0.44246842692034843	FPR2,CYSLTR1,GABBR1,CCR1,CXCL2,CALCRL
Opioid Signalling	0.4774274955326784	PDE4B
Signaling by Rho GTPases	0.593757057570085	TIAM1
Biological oxidations	0.646809184095029	MGST1
HIV Infection	0.7750142357346151	CD28
Diabetes pathways	0.9132395682420386	ATF3
