TF,Target/Input,Targets/Database,Fraction/Input,Fraction/Database,Difference,P-value,Z-score,Combined Score,Genes
SPI1,23,1680,0.13450292397660818,0.08068001728857513,0.05382290668803305,0.01130953562476251,-1.7304605710796073,7.756112983735323,CD52;CD33;CYP4F16;EMP1;EMR1;CYTIP;PDCD1;IL1R2;MYADM;LSP1;NKG7;WLS;GRN;RAB4A;PLXNC1;PDE4B;RANGRF;TSC22D1;ANXA1;CD300LF;BTG2;CTSH;MGST1
STAT3,21,1762,0.12280701754385964,0.08461797051337464,0.03818904703048501,0.055422173342398136,-2.1029653718819166,6.08340675658036,MMP13;MMP12;DUSP1;CD33;AHRR;MYADM;APOBR;CSF2RB;CABLES1;CISH;SOCS2;SOCS3;GRN;FPR2;CLEC10A;IER5;ID2;TMEM71;TSPAN6;CALCRL;CTSS
JUN,22,1699,0.1286549707602339,0.08159246986505307,0.04706250089518084,0.023234520713011585,-1.478246590430065,5.561335363350394,MAP3K8;JUN;ERRFI1;DUSP1;CXCL2;PLBD1;HLF;MYADM;MITF;C3AR1;RAB4A;PMAIP1;ITGB2;SORL1;TSPAN6;MS4A6D;TSC22D1;DNASE1L1;FAM102A;OSBPL9;BTG2;H2-AA
HAND1::TCFE2A,3,110,0.017543859649122806,0.005282620179609086,0.01226123946951372,0.06501824837131455,-1.6706447807752123,4.566018040354679,BTG2;TIPARP;PBX3
JUND,20,1764,0.11695906432748537,0.08471401815300389,0.032245046174481484,0.08976163648407076,-1.7947917390056598,4.32652066859688,MAP3K8;JUN;RGS2;MMP12;CCL3;CD52;CD74;ZFP36L1;FOS;PROCR;CRISP3;CRISP1;NBEA;MPEG1;PRNP;FADS3;PDE4B;ANXA1;CALCRL;BTG1
IRF8,21,1770,0.12280701754385964,0.08500216107189165,0.03780485647196799,0.0575832318940327,-1.4913646973108465,4.257136122297456,PKP2;NFKBIZ;IFITM6;GABBR1;BCL2L11;CSF2RB;CLEC4N;LILRB3;HOXA7;MYCN;CYSLTR1;PMAIP1;TMEM51;MFSD6;TSPAN6;DLK1;CD300LF;CD274;CALCRL;CTSB;MGST1
TEAD2,20,1591,0.11695906432748537,0.07640589732507323,0.04055316700241214,0.03888556631973332,-1.155299418864346,3.751409877757597,JUN;GABBR1;PLD3;ZFP36L1;PDCD1;HS6ST2;MYADM;DDIT4;CSF2RB;4632428N05RIK;SOCS3;MYCN;DHRS3;SEPP1;PLXNC1;ITGB5;NIPBL;TSC22D1;PBX3;BTG2
NFKB1,36,3284,0.21052631578947367,0.15771022427123854,0.05281609151823513,0.04125576769484205,-1.1162429640475562,3.5585427787493606,ZFP36;IL10RA;EMR1;HS6ST2;MYADM;CSF2RB;SOCS2;SOCS3;GSN;HIST1H1C;ARL4C;NR4A1;SORL1;PDCD1LG2;MYL10;NFKBIZ;MMP12;H2-AB1;IL15;WDFY2;PLD3;CD74;PDCD1;BCL2L11;NKG7;4632428N05RIK;BAMBI;EGR1;CLEC10A;VLDLR;TMEM71;MFSD6;FADS3;TSPAN6;TSC22D1;TPM4
RUNX2,20,1750,0.11695906432748537,0.0840416846755991,0.03291737965188628,0.0845116681879194,-1.405554539995372,3.472936458904974,TGFBI;CCL3;IFITM6;CD33;CD74;CCR1;CD28;EMR1;IL1R2;LGALS3;CISH;TIAM1;P2RX5;ITGB2;ITGB7;EVI2A;PDE4B;ANXA1;OSBPL9;H2-AA
SP1,28,2360,0.16374269005847952,0.11333621476252222,0.050406475295957306,0.030320087790842387,-0.9823438685868551,3.4342199615324986,PKP2;DUSP1;ATF3;WDFY2;SPECC1;ZFP36L1;AHR;HLF;MYADM;DDIT4;NKG7;NCOA1;ERBB2IP;SOCS2;SOCS3;NR4A1;OLFM1;PLXNC1;ITGB5;INSL6;TMEM51;FADS3;HBEGF;TSC22D1;PTPN12;PBX3;TPM4;METRNL
MYOG,20,1675,0.11695906432748537,0.080439898189502,0.03651916613798338,0.05989248137364614,-1.1541548255162073,3.2491816292489535,CD52;PLD4;PTPLAD2;CYP4F16;PROCR;LILRB3;TRPC6;MITF;ERBB2IP;TIAM1;HOXA5;HOXA7;HIST1H1C;H2-DMA;RAB4A;TMEM51;NAGA;FADS3;COL4A1;H2-AA
HNF4A,7,461,0.04093567251461988,0.022138980934543532,0.01879669158007635,0.08884153757100668,-1.2551409721967761,3.0385720007340145,ST8SIA4;NCOA1;AHRR;ZFP36L1;MYL10;CALCRL;HS6ST2
FOXO3A,8,597,0.04678362573099415,0.02867022042933295,0.0181134053016612,0.12198783092252131,-1.1576899852119564,2.4355875358636094,BCL2L11;PROCR;SORD;C3AR1;CD28;TIAM1;SOCS2;SOCS3
SMAD3,2,72,0.011695906432748537,0.00345771502665322,0.008238191406095318,0.12202871282768323,-1.0667376804134894,2.2438815489583104,TGM2;LSP1
ELF5,7,556,0.04093567251461988,0.026701243816933198,0.014234428697686683,0.17675473782641662,-1.2221318891984887,2.1179449938612884,DHRS3;CD33;LILRB3;MYL10;CD300LF;EMR1;TMEM71
RORB,11,1020,0.06432748538011696,0.04898429621092062,0.015343189169196338,0.2202658537915086,-1.1370222220386237,1.720223700945,CLEC10A;DUSP1;IL10RA;SORL1;INSL6;TIPARP;PTPRF;NCOA1;TIAM1;CD274;BTG1
GABPA,1,12,0.005847953216374269,5.762858377755367E-4,0.005271667378598732,0.10089145448468562,-0.7128163791301823,1.634994091279772,FAM102A
NR2F1,11,1021,0.06432748538011696,0.049032320030735245,0.01529516534938171,0.22116229438261878,-1.0574079430634744,1.5954789451527829,CLEC10A;DUSP1;IL10RA;SORL1;INSL6;TIPARP;PTPRF;NCOA1;TIAM1;CD274;BTG1
FOS,17,1708,0.09941520467836257,0.08202468424338472,0.017390520434977852,0.2402525793587686,-1.02287227634334,1.4586818362587357,RGS2;TGFBI;IFITM6;GABBR1;WDFY2;PLD4;CD68;SPECC1;CYP4F16;NT5DC2;CSF1R;CYTIP;LSP1;APOBR;ZRANB1;GZMB;S100A11
PRDM1,3,196,0.017543859649122806,0.0094126686836671,0.008131190965455707,0.22116522613737782,-0.8717353734965231,1.3153137576984335,CSF2RB2;IL15;CD274
NR5A1,11,1020,0.06432748538011696,0.04898429621092062,0.015343189169196338,0.2202658537915086,-0.8232111042405943,1.2454525733514392,DUSP3;DUSP1;C3AR1;NR4A1;GABBR1;CD74;OLFM1;IL1R2;CLEC4A2;4632428N05RIK;CD300LF
RELA,18,1656,0.10526315789473684,0.07952744561302406,0.025735712281712772,0.13765244969105217,-0.587287203683307,1.1646041799371751,GABBR1;CD52;CD68;SPECC1;CXCL2;CSF1R;PDCD1;HS6ST2;PROCR;CSF2RB;CABLES1;EGR1;IER3;PMAIP1;ITGB2;ITGB7;CD274;TPM4
RXRA,6,507,0.03508771929824561,0.024348076646016424,0.010739642652229188,0.24110874365079715,-0.8101361888403806,1.152424584931349,PKP2;NFKBIZ;MYADM;PDE4B;SEPP1;CALCRL
FOXF1,3,206,0.017543859649122806,0.00989290688181338,0.007650952767309427,0.242662881663548,-0.8002578385325614,1.1332308142274856,MMP13;APOBR;CTSB
EN1,10,957,0.05847953216374269,0.04595879556259905,0.01252073660114364,0.26427432475333396,-0.7440554082915171,0.9901648347371814,ATF3;CD33;PLEK;EMP1;CSF1R;CCNB1IP1;PDE4B;TSC22D1;PTPN12;H2-AA
