logFC	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols2
-6.100191853	1449989_at	-6.100191853	8.141394079	-6.929249378	0.000107311	0.014987827	1.743970479	Mcpt2
-5.804660254	1422352_at	-5.804660254	5.447559151	-12.69239167	1.12E-06	0.000744007	6.1357127	Mcpt1
-5.321885083	1427482_a_at	-5.321885083	7.484603365	-11.6830642	2.14E-06	0.001210923	5.552982768	Car8
-5.035674349	1426215_at	-5.035674349	6.217912266	-9.799471597	8.28E-06	0.00334499	4.283286138	Ddc
-4.423526814	1427755_at	-4.423526814	5.698380979	-10.17252781	6.22E-06	0.002816163	4.555903273	Mcpt-ps1
-4.226790511	1425967_a_at	-4.226790511	7.968659155	-9.364277603	1.17E-05	0.003778424	3.950532071	Mcpt4
-3.420150526	1426175_a_at	-3.420150526	11.36092209	-16.54117385	1.37E-07	0.000141095	7.890186722	Tpsab1
-2.981946905	1418095_at	-2.981946905	3.09565104	-5.505476247	0.000522606	0.042230269	0.119995202	Smpx
-2.910142021	1454959_s_at	-2.910142021	6.628958905	-6.746307812	0.000129745	0.016954692	1.550769128	Gnai1
-2.874123327	1420938_at	-2.874123327	3.462418884	-8.708331122	2.02E-05	0.005710142	3.416784486	Hs6st2
-2.796700876	1434440_at	-2.796700876	4.286720519	-5.568780923	0.00048443	0.04089821	0.198335381	Gnai1
-2.767485803	1450753_at	-2.767485803	7.483408903	-6.366880801	0.000194705	0.021808932	1.13603581	Nkg7
-2.712673705	1450047_at	-2.712673705	7.430596193	-11.2619309	2.84E-06	0.001461008	5.29106002	Hs6st2
-2.592192576	1417074_at	-2.592192576	5.490341455	-1.630035671	0.140808256	0.541272105	-5.517111626	Ceacam10
-2.575270951	1422180_a_at	-2.575270951	9.553219857	-8.669476414	2.09E-05	0.005760263	3.383884216	Tpsb2
-2.492433613	1450297_at	-2.492433613	10.71067139	-4.53546248	0.001792681	0.080822511	-1.156235598	Il6
-2.403588056	1448954_at	-2.403588056	5.179944771	-7.145507095	8.61E-05	0.012994377	1.966876454	Nrip3
-2.372081848	1460291_at	-2.372081848	5.263580613	-2.853638413	0.02082136	0.272629688	-3.673419979	Cdk6
-2.347103629	1448566_at	-2.347103629	5.225762396	-2.213045424	0.05699645	0.387417469	-4.669536361	Slc40a1
-2.303307548	1416805_at	-2.303307548	5.229164961	-5.907558822	0.000325744	0.030455672	0.607532908	Fam198b
-2.232006506	1453474_at	-2.232006506	5.966954393	-3.762782059	0.005277533	0.146299874	-2.272788818	Abhd15
-2.197222152	1420463_at	-2.197222152	6.083067515	-5.747659874	0.000392109	0.035205816	0.416491066	Clnk
-2.182344549	1419524_at	-2.182344549	11.750373	-13.66326374	6.26E-07	0.000505872	6.64232174	Tph1
-2.150999009	1418743_a_at	-2.150999009	5.682674822	-2.106978725	0.067345345	0.414289225	-4.830192487	Tesc
-2.128386829	1432273_a_at	-2.128386829	6.453347379	-4.9980653	0.000979301	0.061071052	-0.52973885	Darc
-2.11075993	1416168_at	-2.11075993	5.48724286	-4.290567181	0.002500509	0.09754571	-1.500943582	Serpinf1
-2.105387702	1448919_at	-2.105387702	6.336050616	-3.144701505	0.013282461	0.22122226	-3.218464114	Cd302
-2.091925706	1420563_at	-2.091925706	4.66261612	-4.072309259	0.003388906	0.116530975	-1.815507604	Gria3
-2.088077252	1448573_a_at	-2.088077252	4.455013411	-1.23030583	0.252696901	0.661446879	-6.021076266	Ceacam10
-2.06357614	1419148_at	-2.06357614	4.438640374	-4.689528784	0.001460644	0.07430934	-0.94397328	Avil
-2.04707795	1417061_at	-2.04707795	5.652022572	-1.706322309	0.125405387	0.523896288	-5.412278636	Slc40a1
-2.044819241	1418744_s_at	-2.044819241	7.026409421	-2.098173592	0.068282893	0.416705519	-4.843432898	Tesc
-2.008880899	1424598_at	-2.008880899	6.797129056	-2.212128403	0.057078838	0.387594776	-4.67093386	Ddx6
-2.007996392	1418104_at	-2.007996392	3.835924646	-5.494424811	0.000529602	0.042492077	0.10625767	Nrip3
-1.987522523	1449877_s_at	-1.987522523	6.35633524	-3.299619114	0.01049283	0.201195562	-2.978156543	Kifc5b
-1.976242212	1423228_at	-1.976242212	4.661053924	-1.873338593	0.096991632	0.476450859	-5.175331279	B4galt6
-1.936211792	1431597_a_at	-1.936211792	4.264909193	-4.679396526	0.001480295	0.07430934	-0.957822509	Nrip3
-1.930227205	1420249_s_at	-1.930227205	10.9280791	-6.437388471	0.000180328	0.021250586	1.214567043	Ccl6
-1.908532271	1419748_at	-1.908532271	5.184510382	-2.374199844	0.04420669	0.359217893	-4.422048684	Abcd2
-1.899576354	1425216_at	-1.899576354	4.021689534	-3.045751067	0.01546184	0.239944844	-3.37274893	Ffar2
-1.88546743	1420893_a_at	-1.88546743	4.318020287	-4.818983294	0.001233001	0.068881304	-0.768402806	Tgfbr1
-1.853757356	1419219_at	-1.853757356	6.583067514	-3.52408648	0.007494376	0.17267592	-2.63351273	Cyp4f18
-1.8515969	1449859_at	-1.8515969	5.762556891	-2.116361342	0.066360144	0.412263764	-4.816066388	Golt1b
-1.825355467	1416832_at	-1.825355467	4.777709106	-5.2440126	0.000719054	0.050841589	-0.209935335	Slc39a8
