ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols2
11227	1460480_at	5.75855578090629	4.02104906799476	32.6911873632087	5.56773323226862e-10	4.78942190911447e-06	11.2262408337789	Erv3
5748	1427242_at	6.79099738874216	4.37545820999099	31.0508633584759	8.46711201116321e-10	4.78942190911447e-06	11.0432022984398	Ddx4
8984	1449838_at	7.44506478923223	4.58321873743674	28.5373706659376	1.68246465721902e-09	5.61256885291446e-06	10.7184148325528	Crisp3
435	1416325_at	7.42945690555721	7.15288479902687	27.9635302518837	1.98446702127268e-09	5.61256885291446e-06	10.6356267607867	Crisp1
2449	1420369_a_at	6.75038495620201	4.35165879309333	25.4517234313778	4.26057791208328e-09	9.63998358387963e-06	10.2284389876046	Csn2
2809	1421193_a_at	3.66720333835208	6.65405578028494	23.6807741836631	7.64305520327729e-09	1.44109805857793e-05	9.89021718380184	Pbx3
2911	1421579_at	4.19598707143242	5.54777651068303	22.0816313178281	1.3454290406513e-08	2.0363070297791e-05	9.54094578780414	Hoxa9
10817	1455626_at	3.00045551451094	10.7652714245264	21.8967871591241	1.43997668507317e-08	2.0363070297791e-05	9.49755927636242	Hoxa9
8626	1448926_at	5.01954002971541	6.70231047139041	20.6449690137956	2.31573168002159e-08	2.91087472178714e-05	9.18551872806052	Hoxa5
7545	1437025_at	3.76434379690029	4.32308538827932	20.1069534590145	2.86490012725408e-08	3.24106151396254e-05	9.04096588314636	Cd28
5106	1426175_a_at	-3.4201505261339	11.3609220931677	-16.5411738500202	1.37190826186083e-07	0.000141094528785742	7.89018672189963	Tpsab1
2052	1419103_a_at	2.57046971725073	4.12282375222071	15.4345007354822	2.38270576499772e-07	0.00022462958599516	7.45038695720535	Abhd6
1639	1418221_at	5.04894827067217	3.7861124673469	14.5499181904635	3.80739015895867e-07	0.000331330806679227	7.06416603063056	Csn1s2b
2244	1419524_at	-2.18234454943311	11.750373004285	-13.6632637416995	6.26023419714188e-07	0.000505871639087615	6.64232174032471	Tph1
2950	1421775_at	-1.48482682866739	12.6580934795625	-13.4726030420108	6.99394773198376e-07	0.000527483537946215	6.54668921400632	Fcer1a
2283	1419605_at	2.97870534618885	7.68658785080064	13.106239569715	8.68957616941637e-07	0.000614407345028796	6.35773157825802	Clec10a
3135	1422352_at	-5.80466025426366	5.44755915096601	-12.6923916742322	1.11801688586895e-06	0.000744007354696202	6.13571270024025	Mcpt1
6160	1428374_at	1.67436830486227	7.44024329922355	12.1290766557574	1.59506889285582e-06	0.00100250079915989	5.81801653150927	Glce
5846	1427482_a_at	-5.32188508325483	7.48460336497453	-11.6830641986141	2.13622980008755e-06	0.00121092343943426	5.55298276752375	Car8
355	1416193_at	3.49983069429418	6.76423413265105	11.6798813698624	2.14076450001637e-06	0.00121092343943426	5.55104660509777	Car1
6101	1428229_at	1.34060127041111	8.88485634355027	11.4867296099729	2.43714600926076e-06	0.00131292537156033	5.43232531033224	Prkd3
9063	1450047_at	-2.71267370471254	7.43059619334509	-11.2619308974506	2.84117174092261e-06	0.00146100799568443	5.29106002035093	Hs6st2
5013	1425923_at	-1.58903612335172	13.4461132094957	-11.0677228495251	3.25094190964863e-06	0.00159903938364587	5.16626359620707	Mycn
1974	1418929_at	1.40846775748898	9.99930969319115	10.3216963576714	5.56616104687436e-06	0.0026237491634704	4.66179700209352	Ift57
5905	1427755_at	-4.42352681386094	5.69838097912907	-10.1725278092665	6.22328974483115e-06	0.00281616307533099	4.55590327253528	Mcpt-ps1
151	1415900_a_at	-1.73242379009332	8.10847999218575	-9.93693161261336	7.44448863941326e-06	0.00320395335657376	4.38505596445241	Kit
7556	1437067_at	1.85633593152038	9.79288961518551	9.90210646628509	7.64666672213308e-06	0.00320395335657376	4.35942027505286	Phtf2
5119	1426215_at	-5.03567434929573	6.21791226614582	-9.79947159659752	8.27894716531141e-06	0.00334499033147029	4.28328613845979	Ddc
1270	1417597_at	3.07915204811414	6.31912726783687	9.69983421390667	8.9488776077141e-06	0.00349098801296792	4.20853455874084	Cd28
2325	1419711_at	1.18745498334212	2.71193288315492	9.61355523995833	9.57794448005986e-06	0.00350704839780297	4.1431261521117	Cd7
1273	1417604_at	-1.01944776659855	6.48641719187412	-9.57664531540471	9.86195617645154e-06	0.00350704839780297	4.11495009367513	Camk1
8899	1449499_at	3.81468692471955	4.7617103902456	9.51514632722511	1.03562186023499e-05	0.00350704839780297	4.0677421533712	Hoxa7
2011	1419014_at	4.00322406847824	3.85052566024336	9.49656723762227	1.05109101220585e-05	0.00350704839780297	4.05341585671667	Rhag
4985	1425814_a_at	2.2077559642764	10.1137692363225	9.49310083496779	1.05400552926104e-05	0.00350704839780297	4.05073958979344	Calcrl
5031	1425967_a_at	-4.22679051131875	7.96865915455773	-9.3642776030741	1.16896355160863e-05	0.00377842418838527	3.95053207123903	Mcpt4
