ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols3
435	1416325_at	8.81028783487512	7.15288479902687	33.1608021326635	4.95693915218866e-10	3.14938830283275e-06	10.4018158197424	Crisp1
11227	1460480_at	5.75855578090629	4.02104906799476	32.6911873632087	5.56773323226862e-10	3.14938830283275e-06	10.3631349384404	Erv3
5748	1427242_at	6.79099738874216	4.37545820999099	31.0508633584759	8.46711201116321e-10	3.19294793940965e-06	10.2170995230312	Ddx4
8984	1449838_at	7.44506478923223	4.58321873743674	28.5373706659376	1.68246465721902e-09	4.75843066677969e-06	9.95513228280477	Crisp3
2449	1420369_a_at	6.75038495620201	4.35165879309333	25.4517234313778	4.26057791208328e-09	9.63998358387963e-06	9.55335520435847	Csn2
2911	1421579_at	3.14083631617088	5.54777651068303	16.5288377639482	1.38010745412419e-07	0.000260219260475115	7.5380626102595	Hoxa9
1639	1418221_at	5.04894827067217	3.7861124673469	14.5499181904635	3.80739015895867e-07	0.000577671863852213	6.80107837971777	Csn1s2b
8626	1448926_at	3.50633037168886	6.70231047139041	14.4212580131075	4.08501273828136e-07	0.000577671863852213	6.74766341255069	Hoxa5
10817	1455626_at	1.85734695693879	10.7652714245264	13.5545855621073	6.66729289277293e-07	0.000838078716621557	6.36798135723289	Hoxa9
2052	1419103_a_at	2.2230770806285	4.12282375222071	13.3485660639072	7.52269917829222e-07	0.000851042958040199	6.27235701254168	Abhd6
2244	1419524_at	-1.989038607004	11.750373004285	-12.4530102668608	1.29794093732411e-06	0.00130877482238615	5.83050190138061	Tph1
2809	1421193_a_at	1.90130799763912	6.65405578028494	12.2775971746135	1.45033171552309e-06	0.00130877482238615	5.73867123510185	Pbx3
2283	1419605_at	2.77745308690218	7.68658785080064	12.2207339497878	1.5039399532414e-06	0.00130877482238615	5.70851160861183	Clec10a
5106	1426175_a_at	-2.45408399155471	11.3609220931677	-11.8689015692956	1.88914234447499e-06	0.00152656195307468	5.51752820297998	Tpsab1
6160	1428374_at	1.60976674373307	7.44024329922355	11.66110477362	2.16773573948385e-06	0.00163490629471872	5.40108868887206	Glce
6101	1428229_at	1.31313494882814	8.88485634355027	11.2513887846525	2.86187410413943e-06	0.00202352385875808	5.16320828560197	Prkd3
7545	1437025_at	1.91193072581056	4.32308538827932	10.2124312217148	6.03942129480568e-06	0.0040190572416551	4.50653415308901	Cd28
5846	1427482_a_at	-4.514603527456	7.48460336497453	-9.91084963644125	7.59533969378929e-06	0.00477367099754657	4.30029017720915	Car8
3059	1422000_at	-1.62450950341026	9.33308487702627	-9.62220728271203	9.51269337059742e-06	0.00566405790008256	4.09576517992195	Akr1c12
2950	1421775_at	-1.03566571007526	12.6580934795625	-9.39713152178757	1.13837583709311e-05	0.0064392229225172	3.93124313286551	Fcer1a
5653	1427050_at	1.06887329486504	4.85816187568102	9.15373714373301	1.38808620308924e-05	0.00747781867407074	3.74817057857641	Txndc16
8049	1441350_at	-2.39798899123364	6.65141792139109	-9.03095012290957	1.53674227767778e-05	0.00790234790334942	3.65371863329093	Fgf3
2725	1420994_at	-1.34212944525317	8.23599157739447	-8.81555803174826	1.84219693298662e-05	0.00906120604472942	3.48453559498915	B3gnt5
3110	1422180_a_at	-2.54075832562535	9.55321985697658	-8.55329198286365	2.30879941758604e-05	0.0108831032546462	3.27233723565909	Tpsb2
7556	1437067_at	1.57641517212917	9.79288961518551	8.40894721932438	2.62064390706967e-05	0.0118589378082717	3.15255264470923	Phtf2
2881	1421441_at	-1.47188859852184	7.83765777463265	-8.2451505327752	3.03237699182756e-05	0.0131528682873124	3.01397465134372	Angpt1
5119	1426215_at	-4.21719518196341	6.21791226614582	-8.20670312184467	3.13910937644686e-05	0.0131528682873124	2.98103112343049	Ddc
321	1416148_at	2.81310544199971	6.4157678117941	8.09124594264312	3.48549186267503e-05	0.0140251138135315	2.88113703048879	Laptm4b
535	1416468_at	-1.99091627616788	6.86490602579959	-8.05730385184668	3.59522938736334e-05	0.0140251138135315	2.85149217957867	Aldh1a1
5905	1427755_at	-3.48049326189594	5.69838097912907	-8.00388829692627	3.77576533415292e-05	0.0142384110750906	2.80458088600059	Mcpt-ps1
2011	1419014_at	3.29405607281297	3.85052566024336	7.81425781941249	4.50265702045426e-05	0.0159182996476247	2.6354531773024	Rhag
6609	1431890_a_at	1.88050942821076	5.41287012528353	7.70854529401325	4.97431011911222e-05	0.0170528395083383	2.53938638811587	Mllt3
2450	1420370_s_at	3.62857031262183	3.31105391189994	7.64148326885672	5.30176344721657e-05	0.017640838199518	2.47776944964508	Csn2
1064	1417266_at	-1.57964632291596	12.8897466386909	-7.56916692779339	5.68185659745369e-05	0.0179162875209212	2.41073138383748	Ccl6
9662	1451339_at	-1.5727871299563	6.87932036646671	-7.54222577405399	5.83109027956246e-05	0.0179162875209212	2.38559789638933	Suox
3101	1422136_at	-1.16232763581719	5.22932356826953	-7.5371562293922	5.85965383429759e-05	0.0179162875209212	2.38085882000283	Uhmk1
2521	1420569_at	-1.58516547074514	4.54908917451654	-7.50640144699341	6.03629081692096e-05	0.0179706731610071	2.35204291134273	Chad
5019	1425934_a_at	1.71959712089319	5.57817364709847	7.38350195887185	6.80335663352948e-05	0.0189240493265191	2.23575242898117	B4galt4
8278	1448377_at	1.21700036657412	11.400426221459	7.36879304588492	6.90216797894172e-05	0.0189240493265191	2.22171141748157	Slpi
6102	1428230_at	1.44977112509574	8.52279289373383	7.31059286771927	7.30900502785605e-05	0.0189240493265191	2.16589350304479	Prkd3
925	1417073_a_at	1.19436893512144	9.5800604589223	7.30722089327954	7.33337597249275e-05	0.0189240493265191	2.16264675884637	Qk
