ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols1
9318	1450826_a_at	10.9217289218981	8.69123934899886	55.4283444150304	7.2959474204346e-17	8.25390531673766e-13	26.9059355439512	Saa3
2937	1421811_at	9.76745698880672	7.18814033230036	19.5273013853529	4.91428445846427e-11	1.50257567780017e-08	15.8295803179855	Thbs1
8855	1449254_at	9.47173580350086	8.24995583556423	17.2066888677215	2.41341143201983e-10	5.42886144216835e-08	14.258272012128	Spp1
4889	1425923_at	9.18258459337319	6.83863624000205	43.1984140507959	1.84968059071201e-15	5.23135913068125e-12	24.7384431158799	Mycn
3065	1422411_s_at	-8.58049393062519	7.09369648696068	-20.0350763963675	3.55231826900903e-11	1.18198166403821e-08	16.1461562392357	NA
10843	1455899_x_at	8.55543161861316	8.26333065556353	18.1639173958882	1.22352553771136e-10	3.00907487133232e-08	14.9325947672402	Socs3
7549	1437277_x_at	8.36072420399532	8.13842022076284	12.2332307611932	1.61051040072578e-08	1.12458231422564e-06	9.99737244222352	Tgm2
2391	1419627_s_at	8.27039606590619	6.19476439725859	20.7027389699503	2.34539334310993e-11	8.55917254535569e-09	16.5489967233713	Clec4n
9036	1449846_at	-8.19739917716656	7.4312098344716	-19.5580970583608	4.81741962582889e-11	1.50257567780017e-08	15.8490395711932	Ear2
8900	1449366_at	8.17167256759261	7.76963550667315	9.00890948929829	5.83269153747609e-07	1.97560596896608e-05	6.27939760296218	Mmp8
2361	1419549_at	8.09969609261281	5.59891303322303	21.5792933395709	1.38573094955997e-11	5.72915704331323e-09	17.0560218830083	Arg1
2382	1419599_s_at	8.06190776586715	7.36565243003716	29.9900499597273	2.05774300037564e-13	2.66875187321124e-10	20.9322137768428	Ms4a6d
6499	1433428_x_at	7.95757013918361	7.94801623493099	12.6566874137347	1.06732318933995e-08	8.27029263082384e-07	10.4200873707634	Tgm2
10844	1455900_x_at	7.89799639061819	7.2282770796429	12.0795376303673	1.87550044359352e-08	1.25547553363157e-06	9.8406309791828	Tgm2
2381	1419598_at	7.78095318460562	5.96376679525945	45.0996551952074	1.05872982055644e-15	3.99247015331835e-12	25.140936555347	Ms4a6d
171	1415871_at	7.55346728465634	7.59097811433828	21.8107476978939	1.21004951291385e-11	5.72915704331323e-09	17.1859592619152	Tgfbi
8278	1448303_at	7.47623362582311	5.08371619069731	13.9419618002915	3.280942201547e-09	3.38288143879126e-07	11.6266000603162	Gpnmb
4204	1424302_at	7.40384215765638	7.2576443828466	20.0854779454953	3.44116268363419e-11	1.17969313454405e-08	16.1770899702898	Lilrb3
11139	1460302_at	7.38274709963467	5.8306176069166	16.2078297321408	5.09398354584736e-10	8.73155088699563e-08	13.5111501488348	Thbs1
742	1416627_at	7.36486242010371	5.63843613907459	38.8349302590586	7.33763922711193e-15	1.66021425152634e-11	23.6972737027234	Spint1
5616	1427256_at	7.30253842437926	5.64263979746565	33.7819272749827	4.44016715138323e-14	7.66741639517165e-11	22.2439099690534	Vcan
5548	1427126_at	-7.12166081181841	5.89990412040529	-11.2999225403398	4.16898686465812e-08	2.39409890354707e-06	9.01684373120045	Hspa1b
10174	1452388_at	-6.97854566378634	5.86970536106497	-10.3826656951863	1.13363026670803e-07	5.34364966969497e-06	7.98146825837158	Hspa1a
5549	1427127_x_at	-6.83942835027982	6.47902427853146	-9.8364926913253	2.12823709824299e-07	8.85174496044962e-06	7.32779990132697	Hspa1b
10144	1452318_a_at	-6.788777111324	7.98760954772352	-12.2270713946538	1.62032102199928e-08	1.12458231422564e-06	9.99112546935904	Hspa1b
4972	1426243_at	6.69729465494737	5.2721779972426	22.1226364727112	1.01018117243325e-11	5.441990287494e-09	17.3585447726568	Cth
4896	1425951_a_at	6.65024262350128	4.82336921709008	12.8420552833984	8.94735866105729e-09	7.14480830620451e-07	10.6010329286339	Clec4n
10932	1456212_x_at	6.63601335793788	6.29637339477092	14.497405542192	2.0293546519602e-09	2.41664096606587e-07	12.1152989271597	Socs3
5358	1426808_at	6.45871368885567	10.5561443834014	17.1244465968891	2.56260148638984e-10	5.42886144216835e-08	14.1984902221043	Lgals3
2386	1419609_at	6.38916901273319	5.86229530025444	50.6160322596805	2.37141991635763e-16	1.34139367568769e-12	26.1626577135704	Ccr1
8153	1448123_s_at	6.23630098575227	10.7840626778611	26.4962867129141	1.00920741392857e-12	9.51430289481157e-10	19.5104313592199	Tgfbi
2935	1421802_at	-6.18285125844038	6.01301285393044	-13.7913243073703	3.74843418497412e-09	3.68748138561845e-07	11.4908043987017	Ear1
2411	1419665_a_at	6.15067311287967	6.45215724873924	29.917212188051	2.12311207097155e-13	2.66875187321124e-10	20.9048257664319	Nupr1
2130	1418993_s_at	6.07984558241824	5.34727701922437	24.9974473774915	2.12658894190814e-12	1.71843576427191e-09	18.8250714715521	F10
9236	1450644_at	6.06652497291636	7.59868012332591	18.936303114852	7.24279656495176e-11	2.04844393848248e-08	15.4494360175894	Zfp36l1
5982	1428306_at	6.03225848816451	7.94759030368793	27.2551362958811	7.02707046837943e-13	7.22702256443423e-10	19.839110490327	Ddit4
2387	1419610_at	5.94598871343164	5.19904170038981	22.9209296740491	6.43306475903948e-12	3.73218907231202e-09	17.787625591908	Ccr1
8239	1448239_at	5.87215264727387	4.94584025334601	27.6886098401935	5.73937128830873e-13	6.49295073846366e-10	20.021663738106	Hmox1
904	1416871_at	5.85302606518988	5.07153368141945	21.7529553597433	1.25154990164766e-11	5.72915704331323e-09	17.1536648785469	Adam8
1325	1417500_a_at	5.81422643026034	5.9783773524375	7.21027668279107	6.74089779197772e-06	0.00014443139530425	3.72884168946537	Tgm2
2915	1421694_a_at	5.80053378038637	4.94517743424836	33.6088496870885	4.74426896192005e-14	7.66741639517165e-11	22.1885735792551	Vcan
6153	1428942_at	5.80013459695011	9.43687847828419	15.8673843384828	6.6346758667573e-10	1.02819298740583e-07	13.245576297235	Mt2
6323	1430700_a_at	5.72728008246914	4.84741540600322	15.2180633964788	1.11438622954664e-09	1.55642610060014e-07	12.7225886863921	Pla2g7
1388	1417607_at	5.69505091946692	5.49763051796084	14.1899611320032	2.64209416702738e-09	2.93039326584125e-07	11.8471011740273	Cox6a2
2565	1420394_s_at	5.67528358426588	9.72281723931672	10.3064362890115	1.23582067390105e-07	5.77720631563741e-06	7.8919683183006	NA
5235	1426642_at	5.67319261344671	8.1542637316595	12.5137722329248	1.22466056007965e-08	8.93844188140717e-07	10.2788967942588	Fn1
1122	1417185_at	5.63947523821462	10.1404499719386	12.9234496101029	8.28630197482712e-09	6.79296624936371e-07	10.6797178742071	Ly6a
6061	1428572_at	5.63067475357065	8.45760948812956	12.8292429495959	9.05646286873528e-09	7.16473877160855e-07	10.5886046947319	Basp1
8897	1449360_at	5.62837057432078	5.31323325091256	20.1421268351837	3.32067270905848e-11	1.17396157367433e-08	16.2117543165827	Csf2rb2
2129	1418992_at	5.55977962220976	6.23207371259781	18.38345002392	1.05193515196221e-10	2.70466872139739e-08	15.0818829591604	F10
