logFC	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols1
-8.580493931	1422411_s_at	-8.580493931	7.093696487	-20.0350764	3.55E-11	1.18E-08	16.14615624	NA
-8.197399177	1449846_at	-8.197399177	7.431209834	-19.55809706	4.82E-11	1.50E-08	15.84903957	Ear2
-7.121660812	1427126_at	-7.121660812	5.89990412	-11.29992254	4.17E-08	2.39E-06	9.016843731	Hspa1b
-6.978545664	1452388_at	-6.978545664	5.869705361	-10.3826657	1.13E-07	5.34E-06	7.981468258	Hspa1a
-6.83942835	1427127_x_at	-6.83942835	6.479024279	-9.836492691	2.13E-07	8.85E-06	7.327799901	Hspa1b
-6.788777111	1452318_a_at	-6.788777111	7.987609548	-12.22707139	1.62E-08	1.12E-06	9.991125469	Hspa1b
-6.182851258	1421802_at	-6.182851258	6.013012854	-13.79132431	3.75E-09	3.69E-07	11.4908044	Ear1
-5.170134188	1427660_x_at	-5.170134188	5.305061697	-6.441917623	2.17E-05	0.00036308	2.512435545	NA
-5.118342751	1452417_x_at	-5.118342751	5.183453073	-5.613786827	8.34E-05	0.000975042	1.110793682	NA
-4.897360642	1448730_at	-4.897360642	7.013990186	-12.53240663	1.20E-08	8.89E-07	10.2973905	Cpa3
-4.802646218	1452389_at	-4.802646218	6.195470015	-14.01218423	3.08E-09	3.25E-07	11.68941994	Cd27
-4.461870133	1422873_at	-4.461870133	7.675821065	-5.581563048	8.81E-05	0.001019025	1.054363534	Prg2
-4.461707581	1449434_at	-4.461707581	5.08512529	-12.64731485	1.08E-08	8.29E-07	10.4108732	Car3
-4.44528692	1416193_at	-4.44528692	5.812739333	-7.026984821	8.84E-06	0.000178004	3.445921213	Car1
-4.406889006	1451796_s_at	-4.406889006	4.646676552	-12.96439386	7.97E-09	6.58E-07	10.71912422	Hdc
-4.369228244	1454713_s_at	-4.369228244	8.170344923	-12.00353777	2.02E-08	1.32E-06	9.762454025	Hdc
-4.330960183	1427455_x_at	-4.330960183	4.904356662	-4.855968888	0.000311401	0.002650774	-0.251749257	NA
-4.180801405	1420444_at	-4.180801405	6.079694314	-7.574010184	3.98E-06	9.65E-05	4.277144646	Slc22a3
-4.066783255	1423100_at	-4.066783255	11.07040898	-6.802206515	1.24E-05	0.000229385	3.092799672	Fos
-3.88708263	1420678_a_at	-3.88708263	4.502404971	-18.57474733	9.23E-11	2.43E-08	15.21040703	Il17rb
-3.72170332	1449009_at	-3.72170332	7.864423929	-13.01379067	7.61E-09	6.46E-07	10.76651076	NA
-3.514495323	1418199_at	-3.514495323	4.956507321	-7.911049684	2.48E-06	6.58E-05	4.769979103	Hemgn
-3.428266774	1421653_a_at	-3.428266774	4.164647884	-3.575901751	0.003371069	0.01642416	-2.683693653	NA
-3.197294531	1459923_at	-3.197294531	9.216934597	-10.82547207	6.93E-08	3.61E-06	8.490679475	Bex6
-3.161345485	1449136_at	-3.161345485	3.578691883	-7.20022226	6.84E-06	0.000146304	3.713438239	Epx
-3.098118149	1449077_at	-3.098118149	5.864147513	-5.067771336	0.000213821	0.001987638	0.136280889	Ahsp
-3.064506547	1425763_x_at	-3.064506547	4.156401095	-2.622249833	0.021057603	0.065735283	-4.497532229	NA
-3.057050598	1448830_at	-3.057050598	7.346839451	-4.002338794	0.001497796	0.008793236	-1.861861906	Dusp1
-2.931593963	1433575_at	-2.931593963	7.601454938	-6.745254871	1.35E-05	0.000243841	3.002241973	Sox4
-2.885943784	1436419_a_at	-2.885943784	7.812710255	-12.51992729	1.22E-08	8.94E-07	10.28500819	1700097N02Rik
