ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols2
8695	1448926_at	3.32033432068162	4.84242490593627	16.6509285898142	3.6386579578845e-10	4.11641374775474e-06	11.3978036174788	Hoxa5
7482	1437025_at	3.99587229556255	3.43992125928439	15.5192843794258	8.73973555439137e-10	4.94363141634148e-06	10.8811725478768	Cd28
10676	1455106_a_at	2.58870933761685	2.96932229326303	13.1873677692271	6.47907796961733e-09	2.4432603023427e-05	9.58620110086901	Ckb
4544	1424852_at	2.15665311250966	8.20581154898624	10.8730125261453	6.58427921268046e-08	0.000160009903631067	7.90268619285051	Mef2c
2754	1420959_at	1.87591444619377	3.56921257670155	10.8074784273118	7.07194836166656e-08	0.000160009903631067	7.84791141027238	Asph
2331	1419482_at	2.59257191659351	2.94748356697133	9.69310804464832	2.52234452718568e-07	0.000475588060600859	6.84660088126055	C3ar1
4866	1425784_a_at	2.755099929267	4.05615538244449	9.01011451378325	5.82384438505147e-07	0.000941216450401247	6.16205494886076	Olfm1
2222	1419240_at	2.15439841431184	3.49155583098471	8.67952005824443	8.8831255864252e-07	0.00125618499699035	5.80954725458557	Tex14
5190	1426562_a_at	2.3230075521121	2.76582093133179	7.72281820131835	3.2281004295527e-06	0.00405772223994774	4.70524344114585	Olfm1
4889	1425923_at	-1.72263223278744	6.83863624000205	-7.58052807608552	3.9472597455288e-06	0.0044428114378548	4.52972751606017	Mycn
10774	1455626_at	1.84083279791469	10.5011244895791	7.49470366957444	4.46175343786981e-06	0.0044428114378548	4.42239280355465	Hoxa9
4597	1424965_at	1.83991437996938	3.5304267481684	7.45659294674796	4.71260826078472e-06	0.0044428114378548	4.37437276930911	Lpxn
1588	1417932_at	1.5346341937809	6.13135168993787	7.29265510816203	5.97522440212028e-06	0.00519982412778359	4.16527927999614	Il18
6065	1428578_s_at	1.09296402775677	2.6239092628121	6.64723127285476	1.57361695715491e-05	0.0107496621269853	3.30124978224189	Ppfia4
4260	1424383_at	1.33350147117193	2.83899610748826	6.64251052519997	1.58512409941311e-05	0.0107496621269853	3.294685536789	Tmem51
7951	1438975_x_at	1.85832437057001	5.72511980844924	6.60628818311433	1.67643216225913e-05	0.0107496621269853	3.24419820764259	Zdhhc14
9096	1450027_at	1.6776229375666	2.64927949707832	6.59335429759397	1.71036788018859e-05	0.0107496621269853	3.22611932564581	Sdc3
3465	1423195_at	-1.04944124697864	7.48528280844511	-6.4849571915657	2.02497674346701e-05	0.0118312074617155	3.07353669311801	Hiat1
7642	1437614_x_at	2.28432706169703	5.56924307787132	6.44238608050824	2.16475761412436e-05	0.0118312074617155	3.01309033129519	Zdhhc14
717	1416591_at	1.19222828689354	3.54451410930166	6.43321194075449	2.19619337661121e-05	0.0118312074617155	3.00002539912498	Rab34
8667	1448883_at	1.90637122435996	3.57647982709475	6.32794272194822	2.59343042224094e-05	0.013336126530369	2.84912848778544	Lgmn
1036	1417061_at	-1.14695003658669	8.75736646378646	-6.09679078409403	3.75619699215737e-05	0.0184755898140332	2.51142555814702	Slc40a1
6604	1433645_at	1.60063411546069	5.2466876513391	6.04212759045406	4.10451879082192e-05	0.0186739362533189	2.43028438433269	NA
10270	1452661_at	-1.77229440075776	10.0080138312132	-6.03291572194002	4.16649052011763e-05	0.0186739362533189	2.41656217592607	Tfrc
4582	1424923_at	2.52412764580857	6.7549454436602	5.97638639350632	4.56899319068988e-05	0.0186910387436155	2.3320500667759	Serpina3g
5912	1428133_at	-1.11098028026181	6.60328001615008	-5.96879490684846	4.62608578468341e-05	0.0186910387436155	2.32066078383598	Snip1
1185	1417277_at	1.14888592560587	5.9816315346616	5.94323698568393	4.82387759383021e-05	0.0188181128341383	2.28224755305265	Cyp4f16
4149	1424226_at	1.32853826320119	4.84563331573048	5.84944337749454	5.62940783905501e-05	0.0201528060513749	2.14036012306569	9030617O03Rik
5653	1427329_a_at	1.39482315549908	8.6866707706997	5.84560837138108	5.66521315855994e-05	0.0201528060513749	2.13452803281471	Ighm
9114	1450058_at	1.27679907623884	2.53899040659652	5.82656076879014	5.84663101689436e-05	0.0201528060513749	2.10552573703356	Asph
4627	1425025_at	1.27811266251927	3.73738952955647	5.82327180522268	5.87856978427801e-05	0.0201528060513749	2.10051188524754	Tmem106a
7280	1436172_at	1.57635049253494	5.13781678291693	5.80206612582701	6.08894743654655e-05	0.0202600771616621	2.06814251183558	Gm20559
9775	1451536_at	-1.09005114622464	7.74626893574175	-5.7505262915095	6.63392543301402e-05	0.0208713394086543	1.98916361234038	Mtfr1
5663	1427351_s_at	1.66834534714354	9.53175031304109	5.74982944906516	6.64163545223684e-05	0.0208713394086543	1.98809281284745	Ighm
8278	1448303_at	3.1583408212878	5.08371619069731	5.50939669695969	9.95593917451959e-05	0.0304409567246865	1.61392872531225	Gpnmb
219	1415943_at	1.92107759005116	3.69199123169485	5.48009800967697	0.000104651323720073	0.0309950853435254	1.56769621955254	Sdc1
9948	1452035_at	1.66007758459319	4.59091192930242	5.46789883658531	0.000106851262122999	0.0309950853435254	1.54840571974519	Col4a1
10632	1454971_x_at	1.84592459327239	9.28993395762653	5.42899197603379	0.00011419698959804	0.0322977635830658	1.48672360440707	Tsc22d1
2391	1419627_s_at	2.26987305447867	6.19476439725859	5.31504681375554	0.000138912944172871	0.0374171937482784	1.30469365997344	Clec4n
5951	1428229_at	1.0589905371095	8.32459242158609	5.29098012334379	0.000144815071479206	0.0380998349684712	1.26598446662936	Prkd3
8605	1448775_at	1.75603293257194	7.6824130709818	5.23089174815011	0.000160724865388249	0.0413245545940286	1.16894180000813	Ifi203
7185	1435680_a_at	1.17877324233249	3.00816845476546	5.21405457471629	0.000165503157981018	0.0416074939164279	1.14164890877331	Dpp7
2785	1421027_a_at	2.79051424569876	4.83035260593805	5.17806111743799	0.000176222527619519	0.0430720289671157	1.08315661171473	Mef2c
1627	1418004_a_at	1.47506819685919	10.2363711922631	5.16928910949178	0.000178943283077383	0.0430720289671157	1.06887107404085	Tmem176b
1671	1418069_at	1.34395027721083	5.33566004801737	5.09006438438144	0.000205596601825619	0.0460927262928304	0.939316313962551	Apoc2
8337	1448383_at	1.81656678933013	2.90726777148532	5.05901809260623	0.000217143304164346	0.0472411961540624	0.888286332552925	Mmp14
2689	1420821_at	-1.7323991669882	4.65271214274165	-5.03994517872881	0.000224570554522116	0.0479352204397867	0.856864531443153	Sgpp1
10915	1456133_x_at	1.39258539409689	8.19380983032168	4.95360633949508	0.000261659063539438	0.0527893200878096	0.713944632175536	Itgb5
3810	1423753_at	1.79480965911659	5.5352372168751	4.82944193918503	0.000326548988118027	0.0605614541406433	0.506491289989063	Bambi
8425	1448511_at	1.27585174650029	7.79431077500785	4.78755897808295	0.000352045166579529	0.0631064223384032	0.436013815744757	Ptprcap
4295	1424431_at	-1.03765171946153	10.5292884865642	-4.77017653468244	0.000363226552845156	0.0631064223384032	0.406691256334904	Csgalnact2
2871	1421352_at	-1.1106217991005	2.58364651712716	-4.7626791704942	0.000368162633636932	0.0631064223384032	0.394030830472444	Tlr6
7108	1435290_x_at	3.20854512577833	6.55831837969774	4.7522658705158	0.000375134422581512	0.0633417272039499	0.376433387776804	H2-Aa
4686	1425191_at	1.00937193686095	5.07766127024489	4.70995396394502	0.000404904308118968	0.0663867019963752	0.304775752750233	Ocel1
6038	1428492_at	-1.3905896090708	3.44485671317174	-4.6490019056971	0.000452168137573473	0.0719986079654293	0.20111917273899	Glipr2
7560	1437308_s_at	2.54292051119341	8.04788634801987	4.61723017657601	0.000479040508108842	0.0732349360572341	0.146889081102756	F2r
