logFC	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols3
-9.010669058	1416193_at	-9.010669058	5.812739333	-13.32386684	5.71E-09	3.32E-07	11.06533539	Car1
-8.613820167	1449757_x_at	-8.613820167	4.418015155	-16.93903823	2.94E-10	3.86E-08	14.06324634	Dntt
-8.233293905	1422411_s_at	-8.233293905	7.093696487	-17.98276047	1.39E-10	2.31E-08	14.80711684	NA
-7.927378983	1449846_at	-7.927378983	7.431209834	-17.69229453	1.70E-10	2.68E-08	14.60481176	Ear2
-7.800117479	1450545_a_at	-7.800117479	4.149559693	-30.80935347	1.45E-13	1.23E-10	21.21177142	Dntt
-7.409881479	1448752_at	-7.409881479	7.146721478	-13.79680817	3.73E-09	2.45E-07	11.5004065	Car2
-7.025557052	1449009_at	-7.025557052	7.864423929	-22.97983247	6.23E-12	3.52E-09	17.81001767	NA
-7.005693683	1420444_at	-7.005693683	6.079694314	-11.87193519	2.31E-08	9.30E-07	9.632766235	Slc22a3
-6.915649398	1418199_at	-6.915649398	4.956507321	-14.5615678	1.92E-09	1.51E-07	12.17428791	Hemgn
-6.806715531	1448471_a_at	-6.806715531	8.730803332	-10.61512951	8.74E-08	2.39E-06	8.259017954	Ctla2a
-6.765749095	1449988_at	-6.765749095	4.388516207	-16.07128323	5.66E-10	6.05E-08	13.40713365	Gimap1
-6.651235711	1434735_at	-6.651235711	4.796355657	-21.89132749	1.15E-11	5.17E-09	17.22403838	Hlf
-6.625608552	1427891_at	-6.625608552	3.898840415	-30.70401468	1.52E-13	1.23E-10	21.17374462	Gimap6
-6.567173338	1417601_at	-6.567173338	6.655525709	-7.118864543	7.71E-06	8.00E-05	3.599048396	Rgs1
-6.556005666	1452389_at	-6.556005666	6.195470015	-17.89239962	1.48E-10	2.42E-08	14.74455976	Cd27
-6.31402128	1416811_s_at	-6.31402128	8.214326304	-13.94105973	3.28E-09	2.27E-07	11.6302556	NA
-6.291818036	1449077_at	-6.291818036	5.864147513	-9.627182739	2.73E-07	5.67E-06	7.078297603	Ahsp
-6.272122264	1423100_at	-6.272122264	11.07040898	-9.813350902	2.19E-07	4.79E-06	7.308156022	Fos
-6.188658506	1420664_s_at	-6.188658506	4.427567098	-13.76626689	3.83E-09	2.49E-07	11.47274636	Procr
-6.17696717	1419043_a_at	-6.17696717	4.262242046	-15.01363267	1.32E-09	1.18E-07	12.55643681	Iigp1
-6.086554356	1448830_at	-6.086554356	7.346839451	-7.453954766	4.73E-06	5.38E-05	4.108604767	Dusp1
-6.050898554	1452417_x_at	-6.050898554	5.183453073	-6.207982018	3.14E-05	0.000248083	2.13734388	NA
-6.01418476	1427660_x_at	-6.01418476	5.305061697	-7.009614659	9.08E-06	9.04E-05	3.429691489	NA
-5.977272303	1419538_at	-5.977272303	6.959821221	-17.43103215	2.05E-10	3.01E-08	14.41979021	Flt3
-5.961484164	1434736_at	-5.961484164	4.469453691	-14.60898505	1.85E-09	1.47E-07	12.21492013	Hlf
-5.948741105	1425742_a_at	-5.948741105	6.827444021	-15.93662514	6.28E-10	6.52E-08	13.30204307	Tsc22d1
-5.932362961	1454758_a_at	-5.932362961	5.354844172	-14.0193933	3.07E-09	2.19E-07	11.70022392	Tsc22d1
-5.864454441	1421802_at	-5.864454441	6.013012854	-12.23626336	1.61E-08	7.12E-07	10.00681537	Ear1
-5.828819423	1419042_at	-5.828819423	3.819495387	-9.760523081	2.33E-07	5.01E-06	7.243289979	Iigp1
-5.612749177	1427242_at	-5.612749177	3.602017251	-33.71612938	4.55E-14	8.59E-11	22.19498567	Ddx4
-5.58938705	1452072_at	-5.58938705	4.314682625	-16.25380422	4.92E-10	5.56E-08	13.54814088	Myct1
-5.410488446	1427126_at	-5.410488446	5.89990412	-8.030353832	2.11E-06	2.80E-05	4.951128092	Hspa1b
-5.395158862	1417065_at	-5.395158862	4.551881392	-5.813448828	5.98E-05	0.000420388	1.46883387	Egr1
-5.330213706	1417155_at	-5.330213706	3.783945945	-31.06411536	1.31E-13	1.23E-10	21.30300971	Mycn
-5.315307005	1452318_a_at	-5.315307005	7.987609548	-8.954952329	6.24E-07	1.08E-05	6.217898136	Hspa1b
-5.306695125	1452731_x_at	-5.306695125	3.864131195	-20.22627465	3.15E-11	8.29E-09	16.25889307	NA
-5.246440272	1448595_a_at	-5.246440272	8.436535135	-16.64454791	3.66E-10	4.50E-08	13.84458178	Bex1
-5.216130692	1427127_x_at	-5.216130692	6.479024279	-7.017347124	8.97E-06	8.96E-05	3.441730878	Hspa1b
-5.211473338	1449389_at	-5.211473338	6.07281989	-9.645107617	2.67E-07	5.57E-06	7.100583741	Tal1
-5.133058055	1450992_a_at	-5.133058055	6.259467986	-12.695226	1.03E-08	4.91E-07	10.46378452	Meis1
-5.086762243	1419135_at	-5.086762243	4.635738734	-22.28710469	9.19E-12	4.33E-09	17.44098947	Ltb
-5.078492217	1451063_at	-5.078492217	5.162719907	-11.1212934	5.04E-08	1.58E-06	8.828533562	Stxbp4
-5.03443095	1428301_at	-5.03443095	3.543764133	-22.71568151	7.21E-12	3.71E-09	17.67087222	NA
-5.015277215	1421441_at	-5.015277215	3.533403969	-10.91998801	6.26E-08	1.85E-06	8.604759127	Angpt1
-4.9663372	1419722_at	-4.9663372	5.073208874	-10.30214153	1.24E-07	3.11E-06	7.895177797	Klk8
-4.96571701	1417184_s_at	-4.96571701	4.980561526	-6.944378818	1.00E-05	9.80E-05	3.327799161	NA
-4.957351219	1429159_at	-4.957351219	7.046234383	-12.0126286	2.01E-08	8.34E-07	9.778431225	Itih5
-4.927674474	1452388_at	-4.927674474	5.869705361	-6.8578816	1.14E-05	0.000108633	3.19181179	Hspa1a
-4.906264415	1451601_a_at	-4.906264415	6.451193985	-9.965696892	1.83E-07	4.14E-06	7.493644242	Spns2
-4.90012146	1433575_at	-4.90012146	7.601454938	-10.54642861	9.43E-08	2.54E-06	8.17993721	Sox4
-4.863387391	1418294_at	-4.863387391	4.023624085	-14.29741954	2.41E-09	1.78E-07	11.94552353	Epb4.1l4b
-4.802944991	1449434_at	-4.802944991	5.08512529	-12.7352908	9.90E-09	4.77E-07	10.50294683	Car3
-4.801653897	1454971_x_at	-4.801653897	9.289933958	-14.12199641	2.80E-09	2.05E-07	11.79129748	Tsc22d1
-4.768025007	1455021_at	-4.768025007	3.418457814	-21.6280264	1.35E-11	5.25E-09	17.07715463	Gabbr1
-4.760328885	1418580_at	-4.760328885	4.339002471	-8.16107394	1.76E-06	2.44E-05	5.136407496	Rtp4
-4.753701716	1418058_at	-4.753701716	7.350104165	-12.0254138	1.98E-08	8.34E-07	9.791591648	Eltd1
-4.712892086	1425396_a_at	-4.712892086	3.935350688	-33.10639987	5.76E-14	9.31E-11	21.99883437	Lck
-4.697737937	1419470_at	-4.697737937	3.703852805	-8.769709005	7.91E-07	1.31E-05	5.97208368	Gnb4
-4.679121303	1418059_at	-4.679121303	7.389355307	-19.62293348	4.62E-11	9.68E-09	15.8866687	Eltd1
-4.664199543	1455477_s_at	-4.664199543	5.557821479	-13.82866832	3.63E-09	2.43E-07	11.5291982	Pdzk1ip1
-4.664186679	1430522_a_at	-4.664186679	8.404419465	-10.88511675	6.50E-08	1.91E-06	8.565633734	Vamp5
-4.658590813	1416958_at	-4.658590813	5.485232828	-11.51732019	3.32E-08	1.17E-06	9.258627403	Nr1d2
-4.651888402	1433908_a_at	-4.651888402	6.015886399	-8.39624962	1.29E-06	1.93E-05	5.464511006	Cttn
-4.647315163	1424923_at	-4.647315163	6.754945444	-11.00346536	5.72E-08	1.74E-06	8.697984119	Serpina3g
-4.607187603	1433485_x_at	-4.607187603	7.99638533	-13.80050268	3.72E-09	2.45E-07	11.50374848	Gpr56
-4.594598667	1422134_at	-4.594598667	3.552997001	-5.028968397	0.000228965	0.001245925	0.07749392	Fosb
-4.520964255	1418490_at	-4.520964255	3.837927091	-7.379503401	5.27E-06	5.82E-05	3.996667815	Sdsl
-4.509818003	1460651_at	-4.509818003	4.715775104	-11.698498	2.76E-08	1.02E-06	9.451046887	Lat
-4.501293961	1424382_at	-4.501293961	3.354249319	-21.71567639	1.28E-11	5.17E-09	17.12628039	Rcn3
-4.428800259	1453196_a_at	-4.428800259	4.585541924	-6.915360079	1.05E-05	0.000101174	3.282289988	Oasl2
-4.400189505	1418909_at	-4.400189505	3.510781033	-11.58696584	3.09E-08	1.11E-06	9.332911082	Ermap
-4.392698596	1427455_x_at	-4.392698596	4.904356662	-4.607094668	0.000487957	0.002296306	-0.702089024	NA
-4.342618293	1452352_at	-4.342618293	8.075417032	-9.250550305	4.31E-07	8.08E-06	6.602236614	Ctla2b
-4.341055058	1424455_at	-4.341055058	5.031231205	-20.348106	2.92E-11	7.96E-09	16.33254015	Gprasp1
-4.292232066	1439065_x_at	-4.292232066	6.016028023	-8.493632119	1.13E-06	1.74E-05	5.598437198	Gm13152
-4.260745846	1418600_at	-4.260745846	3.339154214	-12.82643592	9.08E-09	4.45E-07	10.59161297	Klf1
-4.229970028	1419155_a_at	-4.229970028	4.727523316	-7.174402252	7.11E-06	7.44E-05	3.684529683	Sox4
-4.207811799	1423917_a_at	-4.207811799	3.507362167	-8.347460813	1.37E-06	2.02E-05	5.396990181	Cttn
-4.174340259	1436970_a_at	-4.174340259	6.653610136	-10.34381456	1.18E-07	3.00E-06	7.944152881	Pdgfrb
-4.17155876	1459994_x_at	-4.17155876	6.977804542	-9.247175408	4.33E-07	8.09E-06	6.597902466	Tfr2
-4.166267185	1437308_s_at	-4.166267185	8.047886348	-7.56477227	4.04E-06	4.74E-05	4.273881709	F2r
-4.137439534	1448754_at	-4.137439534	3.26018719	-17.62157377	1.79E-10	2.74E-08	14.5550175	Rbp1
-4.119895456	1428114_at	-4.119895456	4.012723776	-8.156695024	1.77E-06	2.45E-05	5.130234823	Slc14a1
-4.08311143	1422601_at	-4.08311143	3.227458018	-16.80860731	3.23E-10	4.16E-08	13.96689382	Serpinb9
-4.039208394	1428209_at	-4.039208394	3.370145318	-11.09848494	5.16E-08	1.61E-06	8.803356675	Bex4
-4.036309194	1448775_at	-4.036309194	7.682413071	-12.02340575	1.98E-08	8.34E-07	9.789525502	Ifi203
-3.991847929	1415900_a_at	-3.991847929	5.245430514	-11.75582614	2.60E-08	1.00E-06	9.511378402	Kit
-3.976428102	1455195_at	-3.976428102	6.127309642	-9.077864064	5.35E-07	9.54E-06	6.378876768	Rps24
-3.969516997	1419406_a_at	-3.969516997	8.093873617	-11.33855347	4.00E-08	1.34E-06	9.066119215	Bcl11a
-3.959046597	1418128_at	-3.959046597	4.606652353	-8.976185379	6.08E-07	1.06E-05	6.245827317	Adcy6
-3.95571497	1426044_a_at	-3.95571497	4.609367662	-14.14270056	2.75E-09	2.02E-07	11.80959694	Prkcq
-3.952769295	1425454_a_at	-3.952769295	5.417265118	-10.00023446	1.76E-07	4.02E-06	7.535373414	Il12a
-3.950823702	1449818_at	-3.950823702	4.934991876	-9.268201641	4.22E-07	7.97E-06	6.624884967	Abcb4
-3.936692496	1419156_at	-3.936692496	3.963439069	-6.796877946	1.25E-05	0.000116787	3.095294035	Sox4
-3.907810475	1435885_s_at	-3.907810475	5.471460135	-13.89448919	3.42E-09	2.32E-07	11.58847743	Itsn1
-3.906151824	1434875_a_at	-3.906151824	7.162881359	-12.37438177	1.40E-08	6.47E-07	10.14597119	Hmgn3
-3.901297011	1421937_at	-3.901297011	9.040680317	-20.5457668	2.58E-11	7.32E-09	16.450971	Dapp1
-3.883188543	1431469_a_at	-3.883188543	5.465510837	-7.896976562	2.53E-06	3.21E-05	4.759905661	Cxxc5
-3.863050414	1454708_at	-3.863050414	6.437046271	-8.435792134	1.22E-06	1.85E-05	5.519027629	Ablim1
-3.861279448	1451968_at	-3.861279448	4.475750648	-11.07041256	5.32E-08	1.65E-06	8.772307404	Xrcc5
-3.860505046	1416483_at	-3.860505046	6.206563855	-6.816403686	1.21E-05	0.000114202	3.126242002	Ttc3
-3.846446779	1450698_at	-3.846446779	6.694997522	-9.570230674	2.92E-07	6.02E-06	7.00726791	Dusp2
-3.845551221	1418872_at	-3.845551221	6.431682289	-13.04317778	7.41E-09	3.99E-07	10.80011489	Abcb1b
-3.843082767	1417409_at	-3.843082767	9.266237924	-6.298803147	2.72E-05	0.000219654	2.28819674	Jun
-3.837156559	1448640_at	-3.837156559	3.414923918	-6.806226276	1.23E-05	0.0001156	3.110117453	Slc14a1
-3.802530932	1424634_at	-3.802530932	3.613808642	-20.84536205	2.15E-11	7.15E-09	16.62803077	Tceal1
-3.77718669	1452366_at	-3.77718669	3.867010101	-9.422397557	3.49E-07	6.99E-06	6.821311737	Csgalnact1
-3.761309646	1421118_a_at	-3.761309646	7.72619501	-10.41974789	1.09E-07	2.81E-06	8.032968495	Gpr56
-3.756328643	1422473_at	-3.756328643	3.753523105	-11.7426375	2.63E-08	1.00E-06	9.497522185	Pde4b
-3.753661272	1423608_at	-3.753661272	5.085743608	-13.6647374	4.20E-09	2.65E-07	11.38036794	Itm2a
-3.749188223	1451332_at	-3.749188223	3.749629815	-15.56130813	8.45E-10	8.41E-08	13.004273	Zfp521
-3.728732018	1437626_at	-3.728732018	10.07371864	-15.05158215	1.28E-09	1.16E-07	12.58799377	Zfp36l2
-3.725682087	1448511_at	-3.725682087	7.794310775	-13.9804039	3.17E-09	2.24E-07	11.66544576	Ptprcap
-3.709811354	1448960_at	-3.709811354	4.672633208	-8.744164125	8.17E-07	1.34E-05	5.937880454	Cxxc5
-3.706450925	1424677_at	-3.706450925	4.296695777	-8.777121089	7.83E-07	1.30E-05	5.981994105	Cyp2j9
-3.6862993	1460192_at	-3.6862993	7.206386753	-11.20532956	4.61E-08	1.48E-06	8.920909275	Osbpl1a
-3.679886425	1432176_a_at	-3.679886425	3.363466904	-11.17012153	4.78E-08	1.52E-06	8.882281115	Eng
-3.645941117	1448950_at	-3.645941117	5.113877453	-14.74955875	1.64E-09	1.38E-07	12.33461632	Il1r1
-3.632872189	1449303_at	-3.632872189	3.437361616	-11.11564532	5.07E-08	1.58E-06	8.822303169	Sesn3
-3.625036113	1425914_a_at	-3.625036113	6.148169345	-10.00311363	1.75E-07	4.02E-06	7.538846772	Armcx1
-3.615560872	1417782_at	-3.615560872	4.745852272	-10.47508407	1.02E-07	2.68E-06	8.097350966	Lass4
-3.610606594	1431777_a_at	-3.610606594	3.652766755	-9.964005069	1.83E-07	4.14E-06	7.491597099	Hmgn3
-3.591495759	1427167_at	-3.591495759	5.140065935	-13.5015343	4.86E-09	2.95E-07	11.23048432	Armcx4
-3.576336673	1435884_at	-3.576336673	3.463493484	-12.24567739	1.59E-08	7.09E-07	10.01634567	Itsn1
-3.563782218	1425503_at	-3.563782218	8.145111555	-6.675766371	1.51E-05	0.000135965	2.902173044	Gcnt2
-3.540499493	1452514_a_at	-3.540499493	10.41855951	-12.24871024	1.59E-08	7.09E-07	10.01941455	Kit
-3.527989098	1424410_at	-3.527989098	3.817736326	-12.35746498	1.43E-08	6.53E-07	10.1290041	Ttc8
-3.503945014	1450333_a_at	-3.503945014	4.336124484	-10.35593409	1.17E-07	2.98E-06	7.958365064	Gata2
-3.485808333	1452087_at	-3.485808333	5.307117985	-9.353545688	3.80E-07	7.41E-06	6.733916783	Epsti1
-3.476627409	1450852_s_at	-3.476627409	4.983568772	-9.111671768	5.13E-07	9.28E-06	6.422861915	F2r
-3.469766626	1416203_at	-3.469766626	3.056907061	-5.921071536	5.00E-05	0.000366308	1.653314588	Aqp1
-3.468749352	1415913_at	-3.468749352	7.29131765	-15.20499148	1.13E-09	1.04E-07	12.7147541	Rps13
-3.457688796	1424847_at	-3.457688796	3.338208919	-12.34094462	1.45E-08	6.58E-07	10.11241401	Nefh
-3.453238849	1426193_at	-3.453238849	4.573077621	-7.472366444	4.61E-06	5.28E-05	4.136175002	Otos
-3.4190485	1451469_at	-3.4190485	5.629200772	-11.85612633	2.35E-08	9.37E-07	9.616301556	Cntln
-3.417806119	1417301_at	-3.417806119	3.517899891	-10.88346338	6.51E-08	1.91E-06	8.563775978	Fzd6
-3.411898808	1427943_at	-3.411898808	3.743423796	-6.80700976	1.23E-05	0.000115558	3.111359264	Acyp2
-3.406867689	1417147_at	-3.406867689	5.997752462	-10.2696109	1.29E-07	3.19E-06	7.856832053	Fam69b
-3.403255653	1425381_a_at	-3.403255653	4.269245777	-8.354952819	1.36E-06	2.01E-05	5.407377141	Tfr2
-3.385657808	1448747_at	-3.385657808	3.097387918	-18.29331421	1.12E-10	2.01E-08	15.01956031	Fbxo32
-3.374105175	1449089_at	-3.374105175	4.507677806	-7.74521536	3.13E-06	3.82E-05	4.539615508	Nrip1
-3.371320245	1436419_a_at	-3.371320245	7.812710255	-13.68100416	4.14E-09	2.64E-07	11.39521287	1700097N02Rik
-3.354883933	1438397_a_at	-3.354883933	6.069557708	-7.816179486	2.83E-06	3.52E-05	4.642985673	Rbm39
-3.347668338	1416872_at	-3.347668338	3.165688029	-17.32951979	2.21E-10	3.20E-08	14.34710385	Tspan6
-3.338788901	1422064_a_at	-3.338788901	4.500590246	-6.450903311	2.14E-05	0.000180332	2.538283374	Zbtb20
-3.334902106	1415780_a_at	-3.334902106	5.63749239	-13.44059004	5.14E-09	3.08E-07	11.17406892	Armcx2
-3.32272051	1424824_at	-3.32272051	4.337829556	-11.78602151	2.52E-08	9.83E-07	9.543049805	Slain1
-3.319156636	1422474_at	-3.319156636	5.236238283	-10.3483454	1.18E-07	2.99E-06	7.949467677	Pde4b
-3.311211439	1425470_at	-3.311211439	3.083291518	-19.51967646	4.94E-11	1.02E-08	15.82168398	NA
-3.292582428	1421835_at	-3.292582428	3.691364946	-8.970869615	6.12E-07	1.06E-05	6.238839879	Mtap7
-3.289177704	1422873_at	-3.289177704	7.675821065	-3.848843687	0.002002581	0.007087354	-2.144659507	Prg2
-3.282914417	1448730_at	-3.282914417	7.013990186	-7.858433434	2.67E-06	3.34E-05	4.70423295	Cpa3
-3.267687936	1421230_a_at	-3.267687936	3.023439946	-19.95431478	3.74E-11	8.63E-09	16.09267377	Msi2
-3.264009612	1417558_at	-3.264009612	4.023971811	-7.931337372	2.41E-06	3.12E-05	4.809380466	Fyn
-3.263200008	1416072_at	-3.263200008	9.26294533	-13.58478553	4.51E-09	2.77E-07	11.30715682	Cd34
-3.243625109	1418351_a_at	-3.243625109	4.670800424	-7.868608799	2.63E-06	3.31E-05	4.718948626	Dnmt3b
-3.235905708	1448325_at	-3.235905708	4.450218338	-6.744566039	1.36E-05	0.000124427	3.012124617	Ppp1r15a
-3.222945519	1436871_at	-3.222945519	7.988505042	-8.586816489	1.00E-06	1.58E-05	5.725544228	Srsf7
-3.213709343	1439380_x_at	-3.213709343	3.770775318	-6.76712034	1.31E-05	0.000121598	3.048028891	Meg3
-3.18107849	1417622_at	-3.18107849	3.315708338	-9.643993355	2.67E-07	5.57E-06	7.099199337	Slc12a2
-3.175243113	1451427_a_at	-3.175243113	5.990892694	-13.91335278	3.36E-09	2.31E-07	11.60541616	Egfl7
-3.134177417	1449052_a_at	-3.134177417	8.66412232	-15.21667222	1.12E-09	1.03E-07	12.72435309	Dnmt3b
-3.12784126	1448986_x_at	-3.12784126	7.980610778	-5.196369316	0.000170682	0.000985168	0.38105691	Dnase2a
-3.12356131	1452716_at	-3.12356131	6.424871958	-10.04402194	1.67E-07	3.90E-06	7.588109113	5730469M10Rik
-3.123166773	1440964_s_at	-3.123166773	5.062207164	-10.52753181	9.63E-08	2.58E-06	8.158108888	Cbfa2t3
-3.096180637	1456386_at	-3.096180637	6.711526413	-8.145836451	1.80E-06	2.48E-05	5.114918103	NA
-3.091760858	1438398_at	-3.091760858	8.951245808	-9.367772643	3.74E-07	7.32E-06	6.752016676	NA
-3.066877196	1416473_a_at	-3.066877196	2.965396406	-14.78572657	1.59E-09	1.35E-07	12.36522965	Igdcc4
-3.056212048	1450905_at	-3.056212048	6.276323092	-10.20911216	1.38E-07	3.36E-06	7.785249051	Plxnc1
-3.0421918	1430826_s_at	-3.0421918	3.067144696	-6.353698299	2.49E-05	0.000203559	2.378824753	Gcnt2
-3.037994735	1428074_at	-3.037994735	3.381574202	-17.55173269	1.88E-10	2.80E-08	14.50563289	Tmem158
-3.035175182	1422906_at	-3.035175182	7.635345471	-13.63913734	4.29E-09	2.68E-07	11.35697107	Abcg2
-3.020478689	1426576_at	-3.020478689	4.074971254	-15.44977224	9.24E-10	9.01E-08	12.91437307	Sgms1
-3.00894908	1423213_at	-3.00894908	6.546346865	-10.41908301	1.09E-07	2.81E-06	8.03219318	Plxnc1
-3.007368775	1424733_at	-3.007368775	6.662465286	-6.297977365	2.72E-05	0.000219785	2.286830256	P2ry14
-3.004407509	1434044_at	-3.004407509	5.341027885	-8.241969697	1.58E-06	2.24E-05	5.2500214	Repin1
-3.000228808	1448169_at	-3.000228808	7.650559125	-10.1665694	1.45E-07	3.50E-06	7.734700688	Krt18
-2.997534163	1434499_a_at	-2.997534163	7.87347189	-17.19660488	2.43E-10	3.44E-08	14.25124708	Ldhb
-2.988784722	1451567_a_at	-2.988784722	7.98062862	-7.635543282	3.65E-06	4.35E-05	4.378601593	Ifi203
-2.977030158	1418772_at	-2.977030158	5.30382076	-6.736760476	1.37E-05	0.000125718	2.999682748	BC016423
-2.976172642	1449232_at	-2.976172642	3.095278737	-7.433048954	4.88E-06	5.48E-05	4.077246185	Gata1
-2.968620731	1423350_at	-2.968620731	5.531332356	-11.25635834	4.37E-08	1.42E-06	8.976707034	Socs5
-2.948591406	1449048_s_at	-2.948591406	4.073098022	-11.77283115	2.55E-08	9.93E-07	9.529223622	Rab4a
-2.940829954	1433530_at	-2.940829954	8.95587864	-12.02049952	1.99E-08	8.34E-07	9.786534645	Rpl41
-2.928422723	1425471_x_at	-2.928422723	3.774338374	-10.76761703	7.39E-08	2.09E-06	8.433001587	NA
-2.925681572	1420911_a_at	-2.925681572	6.788930756	-9.236689815	4.39E-07	8.14E-06	6.584428681	Mfge8
-2.923620695	1418181_at	-2.923620695	5.43435883	-7.324349023	5.71E-06	6.19E-05	3.913275453	Ptp4a3
-2.91652518	1454169_a_at	-2.91652518	3.369603309	-9.316687258	3.98E-07	7.64E-06	6.686923935	Epsti1
-2.912760324	1434062_at	-2.912760324	5.686497704	-12.98328838	7.83E-09	4.14E-07	10.74282929	Rabgap1l
-2.905440027	1435066_at	-2.905440027	7.173815355	-8.783490537	7.77E-07	1.29E-05	5.99050545	Pitpnc1
-2.904918294	1417420_at	-2.904918294	3.25015135	-8.806869986	7.54E-07	1.26E-05	6.021707235	Ccnd1
-2.904311149	1460403_at	-2.904311149	6.623641879	-11.73790627	2.65E-08	1.00E-06	9.492548075	Psip1
-2.891960922	1426112_a_at	-2.891960922	5.91538828	-11.19723991	4.65E-08	1.49E-06	8.91204318	Cd72
-2.88807663	1423831_at	-2.88807663	3.92543932	-13.13308204	6.81E-09	3.80E-07	10.8856471	Prkag2
-2.886712404	1449390_at	-2.886712404	6.910911636	-11.21700553	4.55E-08	1.46E-06	8.933696033	Gpatch4
-2.878147505	1425763_x_at	-2.878147505	4.156401095	-2.303724744	0.038343314	0.077626684	-5.057960491	NA
-2.864883605	1448237_x_at	-2.864883605	7.463205219	-10.8789565	6.54E-08	1.91E-06	8.558710744	Ldhb
-2.857959716	1451655_at	-2.857959716	5.75641117	-7.358307054	5.43E-06	5.97E-05	3.964666615	Slfn8
-2.856118118	1460672_at	-2.856118118	7.067565469	-10.1744123	1.44E-07	3.47E-06	7.744032605	2410002F23Rik
-2.853560646	1416521_at	-2.853560646	4.482251982	-5.562033776	9.11E-05	0.00059691	1.031740207	Sepw1
-2.851608244	1425268_a_at	-2.851608244	4.35538887	-8.519037074	1.10E-06	1.69E-05	5.633191467	Pear1
-2.843918578	1422851_at	-2.843918578	3.147614507	-6.887518171	1.09E-05	0.000104443	3.238519306	Hmga2
-2.842213528	1422804_at	-2.842213528	3.53565508	-8.398961481	1.28E-06	1.92E-05	5.468255738	Serpinb6b
-2.840343815	1419226_at	-2.840343815	2.920038887	-19.66364618	4.50E-11	9.61E-09	15.91218658	Cd96
-2.834925312	1436058_at	-2.834925312	3.284244328	-9.078709626	5.34E-07	9.54E-06	6.379978412	Rsad2
-2.826445953	1455235_x_at	-2.826445953	5.412691503	-12.85926787	8.80E-09	4.39E-07	10.6234079	Ldhb
-2.825646135	1455904_at	-2.825646135	9.886189307	-14.37932267	2.24E-09	1.68E-07	12.01689674	NA
