logFC	ID	adj.P.Val	P.Value	t	B	logFC	logFC	Gene.symbol
-3.7538881	ILMN_1260585	0.0000315	6.97E-10	35.7602576	8.78152	3.7538881	-3.7538881	Stfa2
-3.5561836	ILMN_2609813	0.0253493	5.40E-05	7.962481	2.44583	3.5561836	-3.5561836	Chi3l1
-3.3194016	ILMN_2420341	0.074794	4.26E-04	5.8621723	0.50528	3.31940157	-3.31940157	
-3.1604416	ILMN_1248718	0.0012223	1.50E-07	17.7304969	6.80633	3.16044161	-3.16044161	Cma2
-2.8127261	ILMN_2700239	0.0660997	3.53E-04	6.033978	0.68675	2.81272613	-2.81272613	BC100530
-2.7159751	ILMN_2476405	0.1806584	2.49E-03	4.3939104	-1.23516	2.71597512	-2.71597512	
-2.6477326	ILMN_1240746	0.0031499	1.11E-06	13.5912098	5.57038	2.6477326	-2.6477326	Mcpt4
-2.6334055	ILMN_2754364	0.0043235	2.76E-06	12.0247177	4.91707	2.63340552	-2.63340552	Ltf
-2.6101038	ILMN_2736774	0.0012223	8.21E-08	19.1939858	7.12206	2.61010383	-2.61010383	Stfa2
-2.5160398	ILMN_1228832	0.003663	2.02E-06	12.5393423	5.14599	2.51603983	-2.51603983	Ngp
-2.4417041	ILMN_2766604	0.0052588	3.60E-06	11.5986734	4.71587	2.44170405	-2.44170405	Camp
-2.3939013	ILMN_2997068	0.0031499	8.49E-07	14.0881512	5.75255	2.39390133	-2.39390133	Cma1
-2.3918911	ILMN_2988931	0.003276	1.54E-06	13.0092852	5.34246	2.39189106	-2.39189106	Stfa1
-2.3059402	ILMN_2995688	0.0012223	1.28E-07	18.1065188	6.89231	2.30594021	-2.30594021	Gm5483
-2.2771281	ILMN_2774410	0.0031499	1.10E-06	13.6005053	5.57389	2.27712806	-2.27712806	Stfa1
-2.1551826	ILMN_2803674	0.1426027	1.52E-03	4.7776772	-0.74658	2.1551826	-2.1551826	S100a9
-2.1298873	ILMN_1225727	0.0012223	1.62E-07	17.5515688	6.76415	2.12988729	-2.12988729	Cma1
-2.1247518	ILMN_3161036	0.0152905	2.43E-05	8.9151125	3.15298	2.12475181	-2.12475181	Tpsb2
