logFC	ID	adj.P.Val	P.Value	t	B	Gene.symbol
-5.95489661	ILMN_2774410	0.002308	2.70E-06	12.6248752	5.31004	Stfa1
-5.77044287	ILMN_2988931	0.002914	3.80E-06	12.0366571	5.01317	Stfa1
-5.29660213	ILMN_1260585	0.000105	2.32E-09	33.1620203	9.73752	Stfa2
-4.93876895	ILMN_2803674	0.004786	1.19E-05	10.2340369	3.97266	S100a9
-4.92077736	ILMN_2995688	0.008218	3.74E-05	8.6802273	2.88376	Gm5483
-4.90992002	ILMN_2754364	0.001206	8.52E-07	14.8220979	6.2685	Ltf
-4.62836281	ILMN_1228832	0.002344	2.80E-06	12.564558	5.28046	Ngp
-4.23806593	ILMN_2700239	0.004777	1.11E-05	10.3361487	4.03747	BC100530
-4.04007499	ILMN_1248718	0.000345	1.58E-08	25.5636409	8.89098	Cma2
-3.53511878	ILMN_2766604	0.000859	4.56E-07	16.1601509	6.75485	Camp
-3.43103227	ILMN_1240746	0.000508	1.78E-07	18.3923037	7.43718	Mcpt4
-3.37378548	ILMN_1234774	0.008814	4.19E-05	8.5382103	2.7737	2010005H15Rik
-3.2334608	ILMN_2944666	0.061369	1.23E-03	5.046483	-0.66082	Ifit3
-3.20328078	ILMN_2736774	0.000345	3.81E-08	22.6865288	8.41303	Stfa2
-3.20319423	ILMN_2613878	0.031965	4.08E-04	6.0454022	0.48401	Prg2
-3.13913154	ILMN_2712986	0.010813	5.92E-05	8.112661	2.43213	Chi3l3
-3.12249947	ILMN_2774160	0.000508	1.67E-07	18.5449089	7.47876	Hsd11b1
-3.07463878	ILMN_3115917	0.001572	1.48E-06	13.7251485	5.81749	Hsd11b1
-3.07447182	ILMN_2524865	0.00668	2.32E-05	9.3055385	3.34637	Chi3l4
-3.06224549	ILMN_2710905	0.018025	1.62E-04	6.9766715	1.42575	S100a8
-3.0530219	ILMN_1214998	0.000554	2.08E-07	17.9981037	7.32699	Hsd11b1
-2.96103437	ILMN_2997068	0.000648	2.86E-07	17.2278634	7.09946	Cma1
-2.9261148	ILMN_2991799	0.001057	5.84E-07	15.6173169	6.56534	Cpa3
-2.89540267	ILMN_1241001	0.354881	2.27E-02	2.8625488	-3.67419	Eif2s3y
-2.87617745	ILMN_3117876	0.012728	7.95E-05	7.7657382	2.13998	Chi3l3
-2.84677391	ILMN_1242457	0.04163	6.35E-04	5.6312185	0.02717	Fpr2
-2.83537307	ILMN_2609590	0.000508	1.77E-07	18.39499	7.43792	Cpa3
-2.73311722	ILMN_2433990	0.032394	4.26E-04	6.0028225	0.43817	
-2.7188674	ILMN_1256257	0.005661	1.73E-05	9.7090904	3.62702	Isg15
-2.64309975	ILMN_2794741	0.000508	1.20E-07	19.3982666	7.70073	Gm5416
-2.63658002	ILMN_1225727	0.000389	5.15E-08	21.7770912	8.23617	Cma1
-2.62993145	ILMN_1241695	0.042399	6.59E-04	5.5981305	-0.0104	Ms4a6d
-2.60641719	ILMN_3131679	0.040054	5.96E-04	5.6893295	0.09276	Usp18
-2.60329842	ILMN_2793464	0.001563	1.38E-06	13.8621896	5.87667	Oasl1
-2.58905819	ILMN_2762944	0.008529	3.97E-05	8.6034068	2.82446	Ifi27l2a
