ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols1
1599	1417898_a_at	-6.6985413710308	7.98467868100736	-9.38637537243804	6.2658504023484e-07	0.000269719358894728	6.51511003934109	Gzma
3498	1421653_a_at	-6.04463165522355	9.51645657286955	-5.72283206784414	9.01637152094381e-05	0.00567124731588303	1.65813138706225	NA
14994	1443937_at	-5.9963376207209	6.0158603263379	-9.09942057767395	8.75362336631317e-07	0.000324989632907588	6.19737142419233	NA
5947	1425763_x_at	-5.78768428455766	9.60684138340592	-5.64573552299654	0.000101971917407973	0.00614262909282728	1.53540868012035	NA
5675	1425247_a_at	-5.76697288785839	5.93876607476522	-5.30302088606031	0.000178018449822841	0.00873337571483818	0.979236965020679	NA
8239	1429381_x_at	-5.70972971461073	8.13896557228121	-7.04870813824767	1.23428928204512e-05	0.00165885229608074	3.62998664171314	NA
5292	1424631_a_at	-5.43878856011454	5.68724091411822	-8.20026229407159	2.63478458094111e-06	0.000637957840791742	5.13860594206383	Ighg
5501	1424931_s_at	-5.31773668190018	7.18140344611605	-6.25786226925766	3.92685574945429e-05	0.00328717240766587	2.48528572285499	NA
18594	1452205_x_at	-5.3117226670196	4.90352643683739	-8.92675994947045	1.07462104283537e-06	0.000366641161251014	6.00162325376116	NA
5667	1425226_x_at	-5.30793279544944	5.03444339617042	-8.47965458855929	1.85380392463898e-06	0.000521594020932278	5.47821119204576	NA
6545	1426772_x_at	-5.22447200983297	4.87212854315877	-8.76460530240259	1.30646072634195e-06	0.000420269751939545	5.81458496725373	NA
3292	1421057_at	-5.04179097922277	5.43508539856542	-6.35965506838133	3.36751920602387e-05	0.00295057577748037	2.6378030527819	Dnase1l3
7142	1427869_at	-4.97826537545702	5.58354206057054	-4.96832966767806	0.000311645979010513	0.0121412528639424	0.419729883995914	Ighm
7759	1428720_s_at	-4.90605987722479	7.68904271947618	-4.50783252029728	0.000690306026973751	0.0202928343543015	-0.374754051953817	NA
8763	1430523_s_at	-4.84094451650739	4.67888517682986	-6.14689219659856	4.65049544557589e-05	0.00363610612650965	2.31725310109264	Iglv1
