ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols6
17377	1449965_at	-7.41073067678551	7.8798457029366	-5.07277948519143	7.58258663319349e-05	0.0657619120298905	1.56866791580719	Mcpt8
2830	1419594_at	-7.13866357659231	11.076587338065	-6.26001021763646	6.20039429852166e-06	0.0279240957628221	3.62945027955964	Ctsg
11906	1436823_x_at	6.95362796974674	5.85491054711722	1.70867368993903	0.10443919017467	0.979691817820158	-4.54080238682168	Hbb-y
11837	1436717_x_at	6.9364454090995	6.00824602927512	1.82636191268199	0.0841777824254989	0.932373489747853	-4.37128794078907	Hbb-y
11082	1435494_s_at	5.49248612564037	3.80582383165037	5.2137075259723	5.58529175073825e-05	0.0643028066483263	1.82473538429343	Dsp
3647	1421775_at	-5.45517239119515	4.78147299898765	-3.59568897109361	0.00202631004582123	0.296236822711201	-1.23305284780281	Fcer1a
14076	1441054_at	5.42178031447593	9.08027006664755	3.76831792696688	0.00137617074092011	0.249908167290637	-0.9002700722647	Apol8
248	1415960_at	-5.3338437137082	12.6532098870716	-4.28793719049633	0.00042936278443702	0.1467079500946	0.0987819460307602	Mpo
16737	1448730_at	-5.26485188765454	6.11033335597504	-3.49203408916447	0.00255492439680923	0.319815684482216	-1.43246044178157	Cpa3
3858	1422411_s_at	-5.20235753659423	9.38076806544034	-9.52599496098707	1.63324747108748e-08	0.00036777466553948	8.06368940622242	NA
17623	1450621_a_at	5.19587605323732	5.39496278478263	1.4392983142257	0.166974581613399	1	-4.89787740855121	Hbb-y
891	1416714_at	-5.1691177156241	9.96417893940189	-4.91463010459732	0.000107108789482507	0.0709375212225613	1.27810546885201	Irf8
16879	1448929_at	-5.03507029605598	10.8754423125794	-5.79443218154132	1.6218522180876e-05	0.0492417776653189	2.8484979743838	F13a1
344	1416072_at	-4.97705250478466	7.6136712724174	-4.14653107113882	0.000589166200493322	0.168431525546288	-0.171982664684089	Cd34
10694	1434929_at	-4.96289630960869	9.88962841664929	-5.07214410122359	7.59307981515744e-05	0.0657619120298905	1.56750718650079	BC035044
11081	1435493_at	4.91481426611202	4.70565454549268	5.6033820504495	2.42547679466923e-05	0.0492417776653189	2.51754574427372	Dsp
3410	1421009_at	4.82283183165358	9.81365857129435	2.49987706595825	0.0221505018453772	0.636250397854157	-3.27624921592182	Rsad2
1843	1417936_at	-4.75935191378583	9.47054081932759	-4.9406985398423	0.0001011645891136	0.0709375212225613	1.32622381561525	Ccl9
16066	1447693_s_at	4.66180314421081	4.151800514338	4.33144373754558	0.000389598777092115	0.143819430533775	0.181824019072033	Neo1
2877	1419669_at	-4.62770471459846	11.7558155537611	-4.13667691658609	0.000602316673966358	0.168431525546288	-0.190894575509963	Prtn3
13230	1439078_at	4.59804654040799	5.2957847855228	4.37920623225644	0.000350209159973159	0.133661184140264	0.272826917125479	Klhl4
7313	1427837_at	-4.5293914350634	6.66706102670674	-2.31654963767976	0.0323276116136693	0.722165589286326	-3.59224786788353	Igkv15-103
18961	1452666_a_at	4.5048113496383	11.8758120295493	3.14272735743582	0.00554974861920576	0.416564131357584	-2.09894970374597	Tmcc2
7104	1427262_at	-4.47010101451746	5.19732046127362	-1.03018364101746	0.316365603179165	1	-5.34511267379917	Xist
11463	1436058_at	4.42705769197542	10.9948009381988	2.48445980069091	0.022874090173246	0.64465427099018	-3.30324629439339	Rsad2
18356	1451675_a_at	4.41537996850597	12.1642315427457	3.26048618920398	0.00427776378103796	0.371917702013177	-1.87552872497026	Alas2
6463	1426438_at	4.39711082061232	8.47609658843531	1.17260564828816	0.256012406222235	1	-5.20356224906364	Ddx3y
9290	1431743_a_at	4.30313619369346	4.2020206610922	2.99402676448741	0.00769171244902426	0.479783880684566	-2.37848461719345	Slc4a1
17171	1449424_at	4.28840661344586	6.62284800583484	2.96168375199004	0.00825429402529077	0.489132086477625	-2.43883054363664	Plek2
15170	1444214_at	-4.27147861932969	9.84674259280742	-3.4576216307382	0.00275897120774548	0.319815684482216	-1.49854784535255	Tubb1
8448	1429399_at	-4.23669319189401	7.18539219640576	-3.60575555786505	0.00198115325664576	0.296236822711201	-1.21366501207175	Rnf125
2774	1419481_at	-4.2240848636984	10.337249188493	-4.24617696516211	0.000471379933804789	0.149500469710088	0.018949178859339	Sell
169	1415857_at	-4.19887824105166	9.91816711052679	-3.90804135095028	0.00100580146004009	0.213666389407385	-0.630818643224329	Emb
2119	1418345_at	-4.19658372123838	7.8693136962585	-5.07228412379654	7.59076611022778e-05	0.0657619120298905	1.56776298662565	NA
3409	1421008_at	4.17355657973195	8.81282501061608	1.90002464325788	0.0733255242848003	0.903454034980849	-4.26138967866856	Rsad2
17731	1450792_at	-4.15694425280822	12.1042855410748	-4.41911009162893	0.000320400581549204	0.130348580602835	0.348717771517379	Tyrobp
