logFC	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols6
-7.410730677	1449965_at	-7.410730677	7.879845703	-5.072779485	7.58E-05	0.065761912	1.568667916	Mcpt8
-7.138663577	1419594_at	-7.138663577	11.07658734	-6.260010218	6.20E-06	0.027924096	3.62945028	Ctsg
-5.455172391	1421775_at	-5.455172391	4.781472999	-3.595688971	0.00202631	0.296236823	-1.233052848	Fcer1a
-5.333843714	1415960_at	-5.333843714	12.65320989	-4.28793719	0.000429363	0.14670795	0.098781946	Mpo
-5.264851888	1448730_at	-5.264851888	6.110333356	-3.492034089	0.002554924	0.319815684	-1.432460442	Cpa3
-5.202357537	1422411_s_at	-5.202357537	9.380768065	-9.525994961	1.63E-08	0.000367775	8.063689406	NA
-5.169117716	1416714_at	-5.169117716	9.964178939	-4.914630105	0.000107109	0.070937521	1.278105469	Irf8
-5.035070296	1448929_at	-5.035070296	10.87544231	-5.794432182	1.62E-05	0.049241778	2.848497974	F13a1
-4.977052505	1416072_at	-4.977052505	7.613671272	-4.146531071	0.000589166	0.168431526	-0.171982665	Cd34
-4.96289631	1434929_at	-4.96289631	9.889628417	-5.072144101	7.59E-05	0.065761912	1.567507187	BC035044
-4.759351914	1417936_at	-4.759351914	9.470540819	-4.94069854	0.000101165	0.070937521	1.326223816	Ccl9
-4.627704715	1419669_at	-4.627704715	11.75581555	-4.136676917	0.000602317	0.168431526	-0.190894576	Prtn3
-4.529391435	1427837_at	-4.529391435	6.667061027	-2.316549638	0.032327612	0.722165589	-3.592247868	Igkv15-103
-4.271478619	1444214_at	-4.271478619	9.846742593	-3.457621631	0.002758971	0.319815684	-1.498547845	Tubb1
-4.236693192	1429399_at	-4.236693192	7.185392196	-3.605755558	0.001981153	0.296236823	-1.213665012	Rnf125
-4.224084864	1419481_at	-4.224084864	10.33724919	-4.246176965	0.00047138	0.14950047	0.018949179	Sell
-4.198878241	1415857_at	-4.198878241	9.918167111	-3.908041351	0.001005801	0.213666389	-0.630818643	Emb
-4.196583721	1418345_at	-4.196583721	7.869313696	-5.072284124	7.59E-05	0.065761912	1.567762987	NA
-4.156944253	1450792_at	-4.156944253	12.10428554	-4.419110092	0.000320401	0.130348581	0.348717772	Tyrobp
-4.143537706	1419480_at	-4.143537706	9.632044655	-4.107590958	0.000642879	0.174413928	-0.246744348	Sell
-4.104044326	1450545_a_at	-4.104044326	6.045543592	-2.798118488	0.01176525	0.546813897	-2.741052172	Dntt
-4.058372372	1459923_at	-4.058372372	7.60760741	-3.114423609	0.005906742	0.43010292	-2.152399238	Bex6
-4.048309435	1418480_at	-4.048309435	12.22931771	-4.038449049	0.000750671	0.18979772	-0.379663183	Ppbp
-3.986086417	1439814_at	-3.986086417	9.319120364	-3.262412098	0.00425954	0.371768723	-1.871862095	Atp8b4
-3.964174638	1415856_at	-3.964174638	8.445848923	-3.673807733	0.001701023	0.279588552	-1.082526435	Emb
-3.955281633	1449757_x_at	-3.955281633	5.437575081	-3.455911609	0.00276952	0.319815684	-1.501830092	Dntt
-3.94943988	1419247_at	-3.94943988	9.897435692	-5.224779485	5.45E-05	0.064302807	1.844734311	Rgs2
-3.889296369	1438439_at	-3.889296369	7.486243422	-3.708817218	0.001572629	0.268338172	-1.015024803	Gpr171
-3.872382807	1424443_at	-3.872382807	10.42296435	-3.417539862	0.003016993	0.336320005	-1.575433799	Tm6sf1
-3.803583626	1419248_at	-3.803583626	10.29369398	-5.203396344	5.71E-05	0.064302807	1.806094792	Rgs2
-3.726492588	1451257_at	-3.726492588	3.752993628	-4.032249029	0.000761182	0.18979772	-0.391591723	Acsl6
-3.706477805	1435710_at	-3.706477805	7.973102931	-2.802170912	0.011663049	0.546005282	-2.733629718	AI661384
-3.681105468	1417894_at	-3.681105468	8.962277185	-2.404523961	0.026995326	0.677681995	-3.442012907	Gpr97
-3.676395951	1437303_at	-3.676395951	7.935100011	-2.667799143	0.015549188	0.590449587	-2.977739871	Il6st
-3.648382135	1456292_a_at	-3.648382135	11.13656321	-3.219983317	0.004679212	0.384923785	-1.952550624	Vim
-3.608981813	1417481_at	-3.608981813	9.8185348	-3.2316786	0.004559648	0.384915632	-1.930328291	Ramp1
-3.592809741	1451353_at	-3.592809741	8.633722609	-2.787794136	0.012029526	0.546813897	-2.759946178	Tm6sf1
-3.540827562	1422699_at	-3.540827562	8.269458058	-2.796028718	0.011818289	0.546813897	-2.744878421	Alox12
-3.501974913	1439830_at	-3.501974913	7.798088448	-4.929722836	0.000103625	0.070937521	1.30597485	Map3k5
-3.477734788	1443264_at	-3.477734788	6.223949096	-1.75315789	0.096332322	0.968605095	-4.477634207	Ms4a2
-3.434825882	1420572_at	-3.434825882	9.508325619	-2.555064327	0.019733257	0.627617909	-3.179023965	Ms4a3
-3.419270312	1416007_at	-3.419270312	8.550861098	-2.77732106	0.012303422	0.546813897	-2.779088382	Satb1
-3.399956856	1426260_a_at	-3.399956856	9.339224553	-3.35831966	0.00344234	0.357210143	-1.688829572	NA
-3.387213178	1426663_s_at	-3.387213178	4.053219628	-4.254191282	0.000463007	0.14950047	0.034279112	Slc45a3
-3.348719346	1423917_a_at	-3.348719346	6.502833864	-3.802046635	0.001275879	0.238744412	-0.835213546	Cttn
-3.337228133	1448898_at	-3.337228133	8.236363532	-3.099640629	0.006102003	0.435713637	-2.180273173	Ccl9
-3.318037541	1455660_at	-3.318037541	9.801532303	-4.704568942	0.000170049	0.09572889	0.887350189	Csf2rb
-3.297165605	1452740_at	-3.297165605	8.430580826	-3.501177213	0.002503268	0.318868052	-1.414890755	Myh10
-3.28559869	1435084_at	-3.28559869	8.191514743	-2.975757673	0.008004754	0.487155236	-2.412593025	C730049O14Rik
-3.284975652	1448241_at	-3.284975652	8.735200892	-3.002846269	0.00754487	0.475897449	-2.361998808	Gm2a
-3.268122819	1434881_s_at	-3.268122819	9.645759326	-3.27044948	0.004184307	0.370413653	-1.85655616	Kctd12
-3.244119932	1450276_a_at	-3.244119932	3.081349644	-2.966389981	0.008170023	0.487228565	-2.430060668	Scin
-3.2325991	1449383_at	-3.2325991	7.809873661	-3.460344805	0.002742254	0.319815684	-1.493320578	Adssl1
-3.225174172	1422928_at	-3.225174172	10.06064657	-1.723705048	0.101636412	0.97695536	-4.519583444	Elane
-3.214564548	1452670_at	-3.214564548	6.53855098	-2.780987392	0.012206865	0.546813897	-2.772389997	Myl9
-3.173404038	1418059_at	-3.173404038	5.450119536	-1.897297251	0.07370415	0.905439197	-4.26550866	Eltd1
-3.173363463	1455435_s_at	-3.173363463	6.702797798	-2.36186148	0.029469558	0.702595694	-3.515206314	Chdh
-3.162312875	1423590_at	-3.162312875	9.390814831	-2.519602189	0.021256132	0.633775573	-3.241602942	Napsa
-3.162115935	1435477_s_at	-3.162115935	10.07445177	-4.692758272	0.000174545	0.095863375	0.86522882	Fcgr2b
-3.158892413	1422412_x_at	-3.158892413	6.966762045	-3.14587004	0.005511434	0.415071778	-2.09300855	Ear3
-3.148892009	1451474_a_at	-3.148892009	7.565270088	-3.299837597	0.003920164	0.36780937	-1.800537645	Parp8
