ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols7
17324	1449846_at	-7.45936587976574	8.67237926728711	-15.2369833610161	7.79152193677254e-12	6.78186908656768e-08	15.9650842411092	Ear2
3858	1422411_s_at	-6.4431970870913	9.38076806544034	-16.6850136022503	1.64839336738932e-12	3.71185218468727e-08	17.1159566806435	NA
4387	1423226_at	-6.19378234185683	5.80788512148427	-7.39516449109907	6.71044646341049e-07	0.000308379251965464	6.19041317779659	Ms4a1
3647	1421775_at	-5.76101453454663	4.78147299898765	-5.3701647222784	3.98758366192442e-05	0.00669249626985753	2.32498031645413	Fcer1a
3859	1422412_x_at	-5.54680771082214	6.96676204542026	-7.81203267310513	3.09803566110754e-07	0.000166098969087666	6.90944293283668	Ear3
17021	1449136_at	-5.5221427168337	3.81602920620003	-5.13341848517278	6.64630270355568e-05	0.00956994021981447	1.8367371442682	Epx
4149	1422873_at	-5.47297332377753	7.46321559247956	-4.39082795586742	0.000341249261107369	0.0273985482359357	0.272154296906573	Prg2
17377	1449965_at	-5.39880483577833	7.8798457029366	-5.22633904023742	5.43486794793573e-05	0.00826907813862275	2.0291041943118	Mcpt8
17621	1450570_a_at	-5.39094006870484	5.62247902782322	-9.93029094924734	8.58969503803367e-09	1.49589982434329e-05	10.1649698434879	Cd19
13230	1439078_at	5.22278479420417	5.2957847855228	7.03459605568791	1.33438092099708e-06	0.000546319810527495	5.54687033141352	Klhl4
17805	1450912_at	-5.06259175370922	6.81561382422064	-7.0141651682997	1.38811165872691e-06	0.000558169613057369	5.50980452069192	Ms4a1
20389	1455530_at	-5.04098972217348	6.24998816849997	-9.95845264446261	8.21932818176363e-09	1.49589982434329e-05	10.2040217317974	Ighv14-2
17317	1449823_at	5.02517957216986	4.4245757700995	4.37351721271482	0.000354681476109519	0.0281222446444864	0.235261487134286	Dach2
5693	1424931_s_at	-5.01211070713856	6.70351906481387	-3.56686088554638	0.00216135405144903	0.070031229584966	-1.48502895852565	NA
8701	1429889_at	-4.96655766410095	4.44982064209101	-10.5889760917185	3.13378028273162e-09	8.82080805081884e-06	11.0515403600735	Faim3
2688	1419307_at	-4.71223275069243	6.40402080397938	-6.17541165547002	7.36874249427989e-06	0.00212729927546403	3.93331989043615	Tnfrsf13c
1332	1417256_at	4.69613380543838	3.31921342554906	9.7940136298182	1.06450606625593e-08	1.49589982434329e-05	9.97451003748469	Mmp13
6861	1426906_at	-4.63969876485875	5.82123684740638	-2.41268035406743	0.0265449564905424	0.17717847185297	-3.81442676875298	NA
15809	1446669_at	-4.62786597081835	4.22891324878069	-7.85425747406717	2.86845356829896e-07	0.000157541066953551	6.98078559904294	NA
20451	1455626_at	4.52295858435295	8.09497433321395	7.90263791960871	2.62700142023242e-07	0.000151679020463573	7.06219397973358	Hoxa9
16097	1447806_s_at	-4.51393710678952	4.36418274627202	-9.09495730779944	3.30858330177122e-08	3.38648539951292e-05	8.95785026240766	Srpk3
14654	1442646_at	-4.49604772533752	4.55147515331588	-9.37784705896159	2.07660703293646e-08	2.4611072193507e-05	9.37739056453802	NA
2902	1419734_at	-4.48986182180714	11.6248228452113	-3.17529467753268	0.00516500212936086	0.0960408901312533	-2.30558116909446	Actb
21426	1457666_s_at	4.48855632829563	5.59944340753778	2.37628684437847	0.0286102164396685	0.182660860161172	-3.88190306012416	Ifi202b
7156	1427351_s_at	-4.4860722334917	12.0787168432383	-5.90403455540406	1.29009713252327e-05	0.00319235244287461	3.40104887583829	Ighm
18777	1452349_x_at	-4.36955526300997	6.23797301682716	-2.88109129830001	0.00983479064483287	0.124271106166316	-2.90572540728661	NA
14848	1443263_at	-4.31562428816915	4.10521368324685	-11.284268254628	1.13509174241285e-09	5.0800480730785e-06	11.9290978786909	NA
9290	1431743_a_at	4.30243322905607	4.2020206610922	4.233501554396	0.000484935849342446	0.0334962744033534	-0.0635086876748572	Slc4a1
21887	1459348_at	-4.26667460256646	4.90383034901266	-11.8949277294503	4.8353477609214e-10	2.7220590220107e-06	12.6535982594155	NA
4198	1422967_a_at	4.26581862748489	5.76287723027078	3.43902696767	0.00287584376314629	0.0780219877813592	-1.75493305990407	Tfrc
14398	1441977_at	-4.25044637115125	4.53130318698247	-9.9211106398155	8.71416638526483e-09	1.49589982434329e-05	10.1522168771634	9630023C09Rik
10967	1435330_at	-4.22644769099093	5.52747141529607	-2.7631016859849	0.0126848760966748	0.133538120591362	-3.14084260536703	Pyhin1
18697	1452231_x_at	-4.22063768520442	5.91329232298407	-2.40753625651191	0.0268281713464226	0.178258118140674	-3.82399565189661	NA
18015	1451190_a_at	-4.21227350891593	7.41696881167526	-6.42698853390753	4.42225075733012e-06	0.00146441533167	4.41726366513604	Sbk1
16066	1447693_s_at	4.21145103281924	4.151800514338	5.53382601165106	2.81128695857754e-05	0.00550474432463035	2.65871121777129	Neo1
17192	1449465_at	-4.17554615907835	5.04534587666281	-9.78047016232149	1.08756954916711e-08	1.49589982434329e-05	9.95544675028219	Reln
3265	1420805_at	4.16478855966747	4.06497476833156	4.32212122585106	0.000397794141724995	0.0301038848572522	0.125660844287473	Myl10
13727	1440154_at	4.16005666867376	4.74280533473578	8.28145683628663	1.33369170273652e-07	9.68776443942609e-05	7.68734117414404	NA
13864	1440462_at	4.13440394484378	6.10059535951133	7.70076415581332	3.79921609608517e-07	0.000185979887068795	6.72013707063866	B930068K11Rik
2892	1419709_at	4.13349704068681	8.93663586499401	3.12150533001649	0.00581537445148583	0.100889094258594	-2.41658416613575	Stfa3
4178	1422921_at	-4.11875861791853	3.92224633884606	-9.75669308125795	1.12933195727134e-08	1.49589982434329e-05	9.92191962433938	Vpreb3
4558	1423467_at	-4.09916937381348	5.13128974918609	-2.24881527771266	0.0370821064588349	0.203517939815974	-4.11399013278918	Ms4a4b
15866	1446929_at	-4.0938044302986	4.9407750932199	-10.4606162669806	3.80037935599356e-09	9.50854914869588e-06	10.8830999721557	D130062J21Rik
6251	1426112_a_at	-4.0686242721274	6.33314849730937	-7.29541419616674	8.10166009239234e-07	0.000364866363920981	6.0143880612724	Cd72
15011	1443847_x_at	-4.06281451612535	3.40848136917043	-15.1047977457691	9.03526390430014e-12	6.78186908656768e-08	15.8524307923142	Aff2
16877	1448926_at	4.050693003661	5.92793792898865	8.40871743417966	1.06650613097543e-07	8.57699466332308e-05	7.8925094089311	Hoxa5
5924	1425385_a_at	-4.04596655794291	4.87778464090155	-1.97854191291133	0.0631404170687855	0.255936548311363	-4.58154721992957	Ighm
1142	1417025_at	-4.0265328792204	5.87165532587797	-2.3994802029696	0.0272773887023293	0.179285533800073	-3.83896066197588	H2-Eb1
3492	1421193_a_at	4.02226017921806	7.08922753576063	10.7752038800541	2.37611922554096e-09	7.64363610296162e-06	11.2922937218659	Pbx3
3598	1421551_s_at	3.95026761504747	5.09118738734836	2.60058840486684	0.0179291545220443	0.153275892759072	-3.45824982384423	Ifi202b
3484	1421173_at	-3.91525932464274	4.42879833310992	-8.62113844499786	7.37722841064425e-08	6.18435856784897e-05	8.2296172631487	Irf4
22326	1460407_at	-3.89667141656807	6.61673391503883	-6.31652540452948	5.52792186177757e-06	0.00177825349262153	4.20591827534805	Spib
3090	1420338_at	-3.86287977147783	3.35499533786622	-5.5810208783949	2.54319550748995e-05	0.00525391526950998	2.75433739127816	Alox15
11906	1436823_x_at	3.84484716048885	5.85491054711722	1.33610859899573	0.197913480830186	0.444716309933826	-5.52335458818172	Hbb-y
13828	1440370_at	-3.8230340984189	4.89378541515299	-2.82496246894102	0.0111039464310378	0.128580097335922	-3.0180255440507	Abca13
17837	1450958_at	3.82212649853411	5.90056906259847	5.08607247482248	7.36641920095333e-05	0.0104638315096808	1.73837239474456	Tm4sf1
2926	1419768_at	-3.80983515970145	6.02461178754614	-7.90612146021647	2.61045293044168e-07	0.000151679020463573	7.06804184967563	Cd22
16737	1448730_at	-3.80804298658262	6.11033335597504	-3.57198113609681	0.00213673315762391	0.0699108315735213	-1.47418682815178	Cpa3
6827	1426864_a_at	-3.80604689835162	5.09728892079816	-4.60348910034055	0.000212674973859883	0.0213836392889374	0.724226214352691	Ncam1
13743	1440188_at	-3.78873103651874	4.58842568298653	-2.20356280181774	0.0406093607713881	0.211285024457051	-4.19469805282869	NA
2559	1419098_at	3.7865043887887	6.5025381153019	4.09227897572566	0.000665325169393611	0.0400884353809457	-0.365274604677673	Stom
3978	1422580_at	-3.78551752734827	4.6632813825184	-7.95015423806161	2.41037901742969e-07	0.000150504821648352	7.14180088788741	Myl4
12306	1437432_a_at	-3.77831275381837	5.04539460488005	-2.42880102626106	0.0256754216663259	0.174992902754801	-3.78437375980037	Trim12a
