logFC	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols7
-7.45936588	1449846_at	-7.45936588	8.672379267	-15.23698336	7.79E-12	6.78E-08	15.96508424	Ear2
-6.443197087	1422411_s_at	-6.443197087	9.380768065	-16.6850136	1.65E-12	3.71E-08	17.11595668	NA
-6.193782342	1423226_at	-6.193782342	5.807885121	-7.395164491	6.71E-07	0.000308379	6.190413178	Ms4a1
-5.761014535	1421775_at	-5.761014535	4.781472999	-5.370164722	3.99E-05	0.006692496	2.324980316	Fcer1a
-5.546807711	1422412_x_at	-5.546807711	6.966762045	-7.812032673	3.10E-07	0.000166099	6.909442933	Ear3
-5.522142717	1449136_at	-5.522142717	3.816029206	-5.133418485	6.65E-05	0.00956994	1.836737144	Epx
-5.472973324	1422873_at	-5.472973324	7.463215592	-4.390827956	0.000341249	0.027398548	0.272154297	Prg2
-5.398804836	1449965_at	-5.398804836	7.879845703	-5.22633904	5.43E-05	0.008269078	2.029104194	Mcpt8
-5.390940069	1450570_a_at	-5.390940069	5.622479028	-9.930290949	8.59E-09	1.50E-05	10.16496984	Cd19
-5.062591754	1450912_at	-5.062591754	6.815613824	-7.014165168	1.39E-06	0.00055817	5.509804521	Ms4a1
-5.040989722	1455530_at	-5.040989722	6.249988168	-9.958452644	8.22E-09	1.50E-05	10.20402173	Ighv14-2
-5.012110707	1424931_s_at	-5.012110707	6.703519065	-3.566860886	0.002161354	0.07003123	-1.485028959	NA
-4.966557664	1429889_at	-4.966557664	4.449820642	-10.58897609	3.13E-09	8.82E-06	11.05154036	Faim3
-4.712232751	1419307_at	-4.712232751	6.404020804	-6.175411655	7.37E-06	0.002127299	3.93331989	Tnfrsf13c
-4.639698765	1426906_at	-4.639698765	5.821236847	-2.412680354	0.026544956	0.177178472	-3.814426769	NA
-4.627865971	1446669_at	-4.627865971	4.228913249	-7.854257474	2.87E-07	0.000157541	6.980785599	NA
-4.513937107	1447806_s_at	-4.513937107	4.364182746	-9.094957308	3.31E-08	3.39E-05	8.957850262	Srpk3
-4.496047725	1442646_at	-4.496047725	4.551475153	-9.377847059	2.08E-08	2.46E-05	9.377390565	NA
