ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols1
3769	1422009_at	-6.10798252098638	3.67980750207069	-25.8685907046084	7.49498033091225e-16	1.68771967091482e-11	24.8114244048398	Atp1b2
1611	1417625_s_at	6.90608587079143	5.06509775763721	24.2382894199917	2.38516718594773e-15	2.68545973465854e-11	23.9401755947362	Cxcr7
16184	1448011_at	-4.25386291210053	3.49483043958336	-19.6010652622548	1.00737143404815e-13	7.56132998396538e-10	20.9243619286588	Vps13c
230	1415935_at	6.46369252614613	4.93383671298773	19.0367431168896	1.67787299204131e-13	9.44558600869655e-10	20.4922194839216	Smoc2
1984	1418142_at	4.89976482698039	5.0793870710964	17.0924742248353	1.08774898649594e-12	4.89878633558310e-09	18.8713382424775	Kcnj8
17622	1450576_a_at	-5.78445707842469	3.66875471560792	-16.7025819532688	1.61881356959006e-12	5.31698653115443e-09	18.5194524378824	Sf3a2
3987	1422603_at	5.39637389416499	7.11663516805028	16.6823946638499	1.65285130642513e-12	5.31698653115443e-09	18.5009710329705	Rnase4
12446	1437661_at	3.85426939562739	3.55600930305628	15.8558683902265	3.95142983754955e-12	1.11222871352426e-08	17.7212768613765	AU021092
963	1416808_at	5.3869913909091	6.39186038811031	15.7277321760944	4.53915219774704e-12	1.13569587987631e-08	17.5962543340108	Nid1
8048	1428795_at	-4.38865407436982	3.28803532061774	-15.3195075397927	7.10740688655229e-12	1.47263644772441e-08	17.1902029081375	1110021L09Rik
2049	1418243_at	7.29534626661899	8.07033392212537	15.3086358722004	7.19380092591194e-12	1.47263644772441e-08	17.1792250944073	Fcna
12318	1437451_at	3.99684901612598	4.01953673847279	15.0154760967044	9.99257136951747e-12	1.87510601748995e-08	16.8799207386448	Ecscr
9190	1431274_a_at	-4.85199414935935	3.65352315527976	-14.3484007441894	2.15541688617307e-11	3.57866906871465e-08	16.1745221690835	Hspa9
20549	1455771_at	4.26797260715089	6.67506547292573	14.3214005123572	2.22494746256351e-11	3.57866906871465e-08	16.1452355855575	Bzrap1
20860	1456312_x_at	3.9266972367367	11.5612832019817	14.1653908240857	2.67561265051973e-11	4.01662971096021e-08	15.9748637796415	Gsn
1426	1417381_at	7.89932059867808	7.8796202599263	14.033958633669	3.12957920811213e-11	4.4044915380168e-08	15.8297927973712	C1qa
10293	1434405_at	3.52986331599362	8.43364879148053	13.9615754629801	3.4134905256688e-11	4.45642205567063e-08	15.7492901834018	Fnip1
3948	1422537_a_at	5.58676319530878	7.75003133429945	13.9261244935359	3.56228781428508e-11	4.45642205567063e-08	15.7097037284643	Id2
12156	1437197_at	6.02263564053096	4.8741133877326	13.8425053812141	3.94088457718999e-11	4.67057046890338e-08	15.6159138296529	Sorbs2
4423	1423285_at	7.21850103390597	5.231742989081	13.7533187706772	4.39160770161355e-11	4.9445111112467e-08	15.5152303981861	Coch
9024	1430829_s_at	-3.37771409960558	3.43327064392628	-13.5686327409068	5.50585605654422e-11	5.90385079434584e-08	15.3045822745198	Fto
18201	1451415_at	4.68449713480717	5.42967992485267	13.1841533066368	8.88916256230272e-11	9.09846193536057e-08	14.8565275521235	1810011O10Rik
16947	1449038_at	7.26397198369326	8.99806535369867	12.9613691373436	1.17949497165504e-10	1.09140407289873e-07	14.5908584947767	Hsd11b1
17868	1451006_at	6.3848114308302	7.94719191572471	12.9533108925539	1.19171200421955e-10	1.09140407289873e-07	14.5811642289341	Xdh
4631	1423584_at	7.13043149049353	8.91763593054055	12.9403108903928	1.21170183064519e-10	1.09140407289873e-07	14.5655123199059	NA
12371	1437534_at	-4.97408200087165	3.515366685103	-12.8690581193283	1.32769401383281e-10	1.14988514628797e-07	14.4794476043252	NA
1357	1417290_at	8.03821909580775	9.15336527223515	12.731140067338	1.58655711435117e-10	1.32318863336887e-07	14.3115188397222	Lrg1
3122	1420416_at	3.94223926139469	3.5746503216493	12.6741645854046	1.70848440757595e-10	1.33985531949837e-07	14.2416250519582	Sema3a
22238	1460273_a_at	4.56047882518809	7.42843849175361	12.6665344714355	1.72554419866119e-10	1.33985531949837e-07	14.2322416635308	Naip2
11825	1436698_x_at	5.35771900841273	4.71953901150977	12.4301334272466	2.35323760854668e-10	1.75648258029302e-07	13.9387695029848	Tmem204
8094	1428861_at	5.52434513405187	6.9462700269976	12.3806483725253	2.51263860502972e-10	1.75648258029302e-07	13.8766569314584	Filip1l
133	1415812_at	4.34402444976799	10.1323732473586	12.356956690221	2.59292450593766e-10	1.75648258029302e-07	13.8468353269553	Gsn
21767	1458718_at	5.76204686961555	7.47267849203915	12.3151029757565	2.74140041126877e-10	1.75648258029302e-07	13.7940185640232	NA
17481	1450138_a_at	5.15138303038039	9.15989753861461	12.2785653458632	2.8783067802978e-10	1.75648258029302e-07	13.7477700573504	Serpinb6a
6231	1426061_x_at	-4.01589875059698	8.53320300554758	-12.2604083057065	2.94898986904761e-10	1.75648258029302e-07	13.724738481543	NA
7998	1428733_at	5.27416125644279	6.44316485171983	12.2584241170272	2.95682363409743e-10	1.75648258029302e-07	13.7222196393237	Gngt2
22356	1460452_at	-3.53929474711501	4.41288839517955	-12.2519606599638	2.98249362644692e-10	1.75648258029302e-07	13.7140118677396	Mospd3
12481	1437726_x_at	8.54428533129611	9.10471347204009	12.2404820322948	3.02865927812831e-10	1.75648258029302e-07	13.6994253089332	C1qb
9425	1432383_a_at	-4.31475885143651	3.56584648344644	-12.2371657285083	3.04213609696367e-10	1.75648258029302e-07	13.6952086679114	Armc9
9499	1433203_at	3.68798192352678	5.58809809952562	12.1332909257115	3.49772889063329e-10	1.9276217508954e-07	13.562581459024	6030400A10Rik
3492	1421193_a_at	5.22165330654081	7.08922753576063	12.1141794275292	3.58906885050051e-10	1.9276217508954e-07	13.5380629879036	Pbx3
11733	1436528_at	4.46155735352732	4.0366861988408	12.0912389660136	3.70202135428622e-10	1.9276217508954e-07	13.5085840471259	Kazald1
2923	1419764_at	10.0669193368263	12.1996664861561	12.0846279297439	3.73525942601005e-10	1.9276217508954e-07	13.5000789540622	Chi3l3
12539	1437841_x_at	-4.32960535437318	4.19697633930887	-12.0784587600233	3.76655817743127e-10	1.9276217508954e-07	13.4921383694315	Csdc2
7045	1427168_a_at	6.0780842499631	4.92446631238783	12.0526590471183	3.9004602805652e-10	1.95179032439483e-07	13.4588891280933	Col14a1
20983	1456565_s_at	-3.12725499438484	3.46110984702731	-11.9847086371085	4.27755928985341e-10	2.09395826280259e-07	13.3709975761251	Map3k12
3130	1420461_at	-6.2663134622959	3.68616184896511	-11.8839911902406	4.90832794900972e-10	2.35161125012342e-07	13.2398618965844	Mst1r
20723	1456060_at	5.29283090917776	8.79800666530431	11.8578226563236	5.08767772799757e-10	2.38675681414686e-07	13.2056206657321	Maf
11880	1436784_x_at	-2.96444596833136	4.75001677791515	-11.7302176805382	6.06608734735131e-10	2.75102736023215e-07	13.0376414980668	Sf3b4
10567	1434754_at	5.76338575398701	7.33833136536037	11.7251842719861	6.10850732798682e-10	2.75102736023215e-07	13.0309809924868	Rap1gap2
19832	1454745_at	4.86738223622849	5.55838400696209	11.5979868231311	7.29041510523371e-10	3.21893269293437e-07	12.8617884305136	Arhgap29
4012	1422645_at	5.40469446279857	6.63186216486235	11.5592636281286	7.69604436786789e-10	3.24652023631566e-07	12.8099434763267	Hfe
16872	1448919_at	5.94909414417269	7.298315006355	11.557383203915	7.71633423344199e-10	3.24652023631566e-07	12.8074218234532	Cd302
2848	1419627_s_at	6.74216413911966	5.88919966953783	11.5473902678949	7.8251028094791e-10	3.24652023631566e-07	12.794015006266	Clec4n
6230	1426060_at	-3.84496223327106	8.61226544339608	-11.5368310222499	7.94178256633333e-10	3.24652023631566e-07	12.779836937218	NA
1173	1417063_at	7.78848391063409	7.9134169503126	11.525080722185	8.07376912841625e-10	3.24652023631566e-07	12.7640457452831	C1qb
10106	1434180_at	4.61097003812358	4.95373267788379	11.4951539829863	8.4204107630168e-10	3.32650543090548e-07	12.7237611639223	Fermt2
16081	1447755_at	-3.19204236482875	3.16864262455786	-11.4071630565675	9.53290553199714e-10	3.70106839257779e-07	12.6047635381651	NA
17424	1450047_at	5.95719622097222	4.66678298547966	11.3387079234389	1.05044476829666e-09	4.00913818517021e-07	12.5116121060131	Hs6st2
6959	1427049_s_at	-5.66183230327337	5.36892951420273	-11.2988298092627	1.11177280523881e-09	4.17248333806127e-07	12.4571143924732	Smo
14671	1442686_at	-3.91024720516594	3.49317286474648	-11.2702744478473	1.15798453421033e-09	4.27467143300791e-07	12.4179846027529	NA
1756	1417818_at	3.9728158962651	4.92407031694104	11.2536424384832	1.18582361840667e-09	4.30683487730347e-07	12.3951527252921	Wwtr1
18616	1452141_a_at	3.18390119198637	12.3767409905651	11.2310432805785	1.22477879726227e-09	4.3557855842264e-07	12.3640810873502	Sepp1
18847	1452448_at	-3.7405210443218	3.02644821324767	-11.2207136292614	1.24302860961654e-09	4.3557855842264e-07	12.3498602814672	Aqr
