ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols2
3769	1422009_at	-6.95092070401656	3.67980750207069	-29.4386112099344	7.44061998243507e-17	1.67547880764473e-12	26.6694778921614	Atp1b2
1611	1417625_s_at	6.90608587079143	5.06509775763721	24.2382894199917	2.38516718594773e-15	2.68545973465854e-11	24.0959726058687	Cxcr7
16184	1448011_at	-4.57620660184578	3.49483043958336	-21.0863692859458	2.79772325639529e-14	2.0999710762503e-10	22.1065334579337	Vps13c
230	1415935_at	6.5399938728108	4.93383671298773	19.2614643780035	1.36715855865993e-13	7.69641910597606e-10	20.7629872119333	Smoc2
3987	1422603_at	5.79657439293596	7.11663516805028	17.9195777790498	4.80338736054773e-13	2.16325353169627e-09	19.6684791315231	Rnase4
20549	1455771_at	5.18828661585224	6.67506547292573	17.4095612689801	7.91886893754282e-13	2.97195151225982e-09	19.2261687823432	Bzrap1
963	1416808_at	5.82900573934822	6.39186038811031	17.018226774243	1.17257056024849e-12	3.77199198223937e-09	18.8762847013452	Nid1
3858	1422411_s_at	7.45165303250011	9.38076806544034	16.7112295824013	1.60445902224683e-12	4.51615103286925e-09	18.5951856554071	NA
1984	1418142_at	4.73429464765506	5.0793870710964	16.5152435056132	1.96531847656544e-12	4.91722682836673e-09	18.4126051219946	Kcnj8
12446	1437661_at	3.85426939562739	3.55600930305628	15.8558683902265	3.95142983754954e-12	8.64789217001956e-09	17.7797808141051	AU021092
20860	1456312_x_at	4.37815618422342	11.5612832019817	15.7940094943386	4.22447881118284e-12	8.64789217001956e-09	17.7189028802293	Gsn
2049	1418243_at	7.29534626661899	8.07033392212537	15.3086358722004	7.19380092591194e-12	1.16864266461111e-08	17.2318904552425	Fcna
12318	1437451_at	4.0462236798177	4.01953673847279	15.2009682380023	8.11145373472661e-12	1.16864266461111e-08	17.1215679401083	Ecscr
17041	1449175_at	6.99704016628054	8.28128806030312	15.1877119747922	8.23266223889287e-12	1.16864266461111e-08	17.1079261613633	Gpr65
22238	1460273_a_at	5.46613815499533	7.42843849175361	15.1819644427407	8.28580474222334e-12	1.16864266461111e-08	17.1020074690733	Naip2
19685	1454268_a_at	5.36065958749634	11.5012727303562	15.1800372019156	8.30370487333586e-12	1.16864266461111e-08	17.100022291795	Cyba
17622	1450576_a_at	-5.13846875167997	3.66875471560792	-14.8372948879446	1.22347278456336e-11	1.62059765663516e-08	16.7425854081897	Sf3a2
2574	1419123_a_at	4.96545672876113	5.57765476301739	14.7592873675128	1.33773100177127e-11	1.67350148321586e-08	16.6599967405993	Pdgfc
18616	1452141_a_at	4.15352533432232	12.3767409905651	14.6513412269713	1.51465585063428e-11	1.71599163064099e-08	16.5449419508546	Sepp1
16879	1448929_at	10.3531019990437	10.8754423125794	14.5922233441704	1.62181470282185e-11	1.71599163064099e-08	16.4815494138102	F13a1
6775	1426808_at	9.44904165933659	10.7013947238996	14.5746408872964	1.65519955880456e-11	1.71599163064099e-08	16.4626432098047	Lgals3
11070	1435477_s_at	8.01259036960418	10.0744517672218	14.563607484633	1.67651726947783e-11	1.71599163064099e-08	16.450766820362	Fcgr2b
18201	1451415_at	5.11340950799668	5.42967992485267	14.3912938642063	2.04961206437871e-11	2.00665932459477e-08	16.2640485968209	1810011O10Rik
20274	1455332_x_at	6.41829791631769	8.34414382979031	14.2102919432981	2.53683804381025e-11	2.38018829460497e-08	16.0653772616679	Fcgr2b
133	1415812_at	4.93473549660454	10.1323732473586	14.0372858197185	3.1171403520539e-11	2.64689151700653e-08	15.8730090840175	Gsn
1426	1417381_at	7.89932059867808	7.8796202599263	14.033958633669	3.12957920811213e-11	2.64689151700653e-08	15.8692855650947	C1qa
3948	1422537_a_at	5.62532998137177	7.75003133429945	14.0222599203032	3.17373083573924e-11	2.64689151700653e-08	15.8561860804332	Id2
