ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols3
1611	1417625_s_at	6.73557097819844	5.06509775763721	27.2969282449717	2.8736410294977e-16	6.47086487022293e-12	24.5828710669811	Cxcr7
230	1415935_at	6.51217584455307	4.93383671298773	22.1466196851823	1.17862710714952e-14	1.32701625993965e-10	22.0365655410663	Smoc2
12446	1437661_at	3.90377023272445	3.55600930305628	18.5439215877593	2.64968765646814e-13	1.98885555494499e-09	19.6442127549579	AU021092
1984	1418142_at	4.43269518180865	5.0793870710964	17.8552910527618	5.11219568039203e-13	2.8779105582767e-09	19.112447142086	Kcnj8
12318	1437451_at	3.96787712233832	4.01953673847279	17.212697914765	9.63809179906867e-13	4.34061102262857e-09	18.5912925615399	Ecscr
4423	1423285_at	7.21850103390597	5.231742989081	15.8809645890024	3.84600127105996e-12	1.4434042770288e-08	17.4279084595474	Coch
3122	1420416_at	3.93311774439881	3.5746503216493	14.6010026548125	1.60541035475288e-11	5.16437576690362e-08	16.1921831148116	Sema3a
11733	1436528_at	4.44923236488614	4.0366861988408	13.9231909801945	3.57490189239562e-11	1.00624551016206e-07	15.485894606418	Kazald1
17424	1450047_at	5.95719622097222	4.66678298547966	13.09281214372	9.97737691911196e-11	2.49633970516181e-07	14.5669363168096	Hs6st2
17058	1449201_at	3.61859326269985	3.5908877105837	12.8126661864448	1.4277312387955e-10	3.21496520351971e-07	14.2427510018422	Star
11825	1436698_x_at	4.73857443087193	4.71953901150977	12.69442203446	1.66404458268578e-10	3.40645053753803e-07	14.1036859195067	Tmem204
2401	1418815_at	-3.01948321527592	2.94026239239858	-12.580317897729	1.93121388466311e-10	3.62392285457033e-07	13.9682115157814	Cdh2
12931	1438532_at	3.49992501944255	3.75472799422125	12.3813720880111	2.51022751784488e-10	4.34810024975623e-07	13.7289589896644	Hmcn1
2360	1418728_at	3.86788530766241	4.99632300236271	12.1596156520022	3.37588591684693e-10	5.42987136253994e-07	13.4576280827498	Star
12156	1437197_at	4.53550658756259	4.8741133877326	12.0371391636387	3.98340499770708e-10	5.97988758255787e-07	13.3056333779696	Sorbs2
15734	1446391_at	-5.88401910946503	6.80648479452427	-11.8562265908209	5.0988364721297e-10	7.17597497996353e-07	13.0782861192636	NA
7045	1427168_a_at	5.08736006639077	4.92446631238783	11.6487144791079	6.79264324264413e-10	8.99745532575651e-07	12.8132808108832	Col14a1
17337	1449865_at	2.60061085387711	3.0619532234336	11.5977905440062	7.29241368939328e-10	9.122809525431e-07	12.7475469289177	Sema3a
1476	1417447_at	4.89947441361074	4.36982684254044	11.5517413835875	7.7775467588379e-10	9.21762094292168e-07	12.6878652710312	Tcf21
1332	1417256_at	-5.47557806742966	3.31921342554906	-11.4195822447469	9.3669793750733e-10	1.0546282078395e-06	12.5153046812724	Mmp13
16988	1449090_a_at	3.24804874424659	3.85183671541739	11.0907768075498	1.498538075263e-09	1.43699881559379e-06	12.0776276608673	Yes1
8909	1430466_at	-4.72148446198521	5.35300827970809	-11.0884280082031	1.50363339107951e-09	1.43699881559379e-06	12.0744576166561	2310005G13Rik
847	1416658_at	4.6072414736532	3.85376327768908	11.0873816260999	1.50590917512473e-09	1.43699881559379e-06	12.0730451717977	Frzb
18201	1451415_at	3.40810011650601	5.42967992485267	11.0756947819757	1.53157347785109e-09	1.43699881559379e-06	12.0572614197975	1810011O10Rik
20235	1455274_at	4.68282456223179	5.68474952626367	11.0405669721032	1.61150811419736e-09	1.45151758861985e-06	12.0097260857915	NA
6335	1426263_at	3.33425930039563	3.60473522808575	10.7836243006835	2.34676583069918e-09	1.99631318726885e-06	11.6577326775094	Cadm4
10636	1434848_at	-4.90872435530319	5.25879353609595	-10.7702236301278	2.39366089600582e-09	1.99631318726885e-06	11.6391652790626	NA
1836	1417928_at	3.70136269182224	3.78581174331564	10.5784633688245	3.18346672273522e-09	2.5601894165197e-06	11.3711624827559	Pdlim4
13580	1439790_at	3.63088127850057	5.36387195543376	10.4920989710991	3.62421760272237e-09	2.81414248200353e-06	11.2490380479078	Serpinb9
153	1415837_at	-5.42467766765894	5.09711466693497	-10.4109776992483	4.09655643481822e-09	3.07487525997455e-06	11.1335141718058	Klk1
11154	1435595_at	3.79284412730166	3.9437386720135	10.3017205828138	4.8367697031778e-09	3.5133671024567e-06	10.9766661359193	1810011O10Rik
2846	1419621_at	2.20432434397065	4.33862009917302	10.1664447277241	5.95168846874274e-09	4.18812877934841e-06	10.7804479805171	Ankrd2
22408	1460582_x_at	4.56893631782651	5.35769890998864	10.1131495061853	6.46200829188129e-09	4.36609666796554e-06	10.7025243744379	NA
2505	1418990_at	3.93990359901819	4.330683227497	10.1002390897729	6.59238328052351e-09	4.36609666796554e-06	10.6835949541047	Ms4a4d
20592	1455840_at	2.5221807876898	4.85291503797596	9.9998011959394	7.70550315120987e-09	4.95750057025554e-06	10.5356229548633	Rapgef5
2771	1419476_at	6.46262489757603	4.786569753234	9.98162448760465	7.92711450208844e-09	4.95841012105632e-06	10.5087090455385	Adamdec1
9220	1431362_a_at	3.51385546066297	3.81729888936074	9.84247207929297	9.86085151782575e-09	6.00126093184865e-06	10.3012900873468	Smoc2
16242	1448134_at	3.07474874431843	3.39543208542977	9.76725989578163	1.1105690870195e-08	6.58099860565923e-06	10.1881574703704	Pald1
7776	1428455_at	3.21539194140878	3.53476028253021	9.73391543081915	1.17091236561148e-08	6.76066785867674e-06	10.1377702607781	Col14a1
14745	1442947_x_at	-3.2745047884965	3.93531000093367	-9.7048447449457	1.22631679017479e-08	6.90355037028899e-06	10.0937248820257	NA
12073	1437071_at	2.54135291806654	3.46106788962554	9.54861074509948	1.5748057473521e-08	8.64914044362795e-06	9.85514505710213	Eif1ax
1770	1417839_at	3.42838093031326	4.77578381264223	9.53287133122837	1.61524221228024e-08	8.6600057466968e-06	9.83093431027445	Cldn5
6183	1425951_a_at	4.85422326879383	6.07637817331329	9.44940169559015	1.8485794418139e-08	9.44670941959873e-06	9.70199824828268	Clec4n
16219	1448107_x_at	-5.3059411289487	5.11007826605517	-9.43142690237734	1.90328368254733e-08	9.44670941959873e-06	9.67411295318676	Klk1
10914	1435252_at	3.25476125429406	3.34870729135926	9.42646014976492	1.91869563729923e-08	9.44670941959873e-06	9.66640026360349	B3galt6
2848	1419627_s_at	4.764652955557	5.88919966953783	9.42291262838826	1.92978343237206e-08	9.44670941959873e-06	9.66088945963825	Clec4n
3347	1420913_at	3.08829434902171	4.44275216535624	9.39048873726174	2.03427940834777e-08	9.746362493016e-06	9.61044460620183	Slco2a1
6015	1425560_a_at	2.36621008484152	5.30277814457679	9.35815242727181	2.14439156484087e-08	1.00598769285597e-05	9.5599978465246	S100a16
11008	1435382_at	3.37458569071377	4.46566465995493	9.26673504783016	2.49066496881479e-08	1.1445876279137e-05	9.41663121745612	Ndn
9082	1431022_at	-5.18656638527339	4.83105451171052	-9.15513909855481	2.99405944208902e-08	1.34840461033921e-05	9.24010896431493	Snca
9866	1433868_at	3.74902264852655	3.66533719644862	9.1265493083738	3.13939248559353e-08	1.38613411746265e-05	9.19461691029749	Btbd3
11930	1436853_a_at	-6.0402557772569	11.2687105948008	-9.06790367059947	3.46102875937277e-08	1.48255912908063e-05	9.10095518893227	Snca
2189	1418457_at	-2.19429658024714	2.86557321826223	-9.06299613270488	3.48945882588477e-08	1.48255912908063e-05	9.09309639260928	Cxcl14
4582	1423505_at	3.64733722577255	4.15071263699589	8.99499060462884	3.90950573119285e-08	1.63026388990742e-05	8.98385814024304	Tagln
381	1416114_at	4.19397447735166	5.4226073588107	8.96089753524149	4.13962596229183e-08	1.69483813488886e-05	8.9288574193191	Sparcl1
1559	1417561_at	3.96787646229764	4.2685241128554	8.87165186559394	4.81143845384299e-08	1.93471376970779e-05	8.78413020499007	Apoc1
1509	1417484_at	-6.54748597688092	5.48019600208873	-8.84820090493506	5.00619492741409e-08	1.94402121988601e-05	8.74591939358693	Ibsp
20149	1455137_at	3.45383380706537	4.57249357672426	8.8402314663817	5.07423703514742e-08	1.94402121988601e-05	8.73291685141259	Rapgef5
17436	1450061_at	1.71579389760262	3.64023812756957	8.83200484623683	5.14548735866542e-08	1.94402121988601e-05	8.71948554324447	Enc1
5029	1424051_at	3.80418131608516	5.22988375707481	8.8280725415872	5.17991265623771e-08	1.94402121988601e-05	8.71306212122661	Col4a2
16814	1448839_at	2.49327379507541	5.19008240416379	8.80798202296034	5.35958184351451e-08	1.97847645823376e-05	8.68021102253186	Kank3
4799	1423771_at	3.35310904479112	3.54181358963962	8.79730148226766	5.45773213060571e-08	1.98221309866096e-05	8.66272404781456	Prkcdbp
12596	1437932_a_at	-2.90272048656729	4.19619736812129	-8.77291418631864	5.68893398032509e-08	2.03338754553905e-05	8.62273636243106	Cldn1
