ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols4
2413	1418830_at	-10.7298549613627	5.5466168571278	-12.7749879578378	1.49895405899161e-10	4.50045966671642e-08	14.4174715487278	Cd79a
20389	1455530_at	-10.5667522068313	6.24998816849997	-18.0779093961476	4.12355656701756e-13	6.19028311840676e-10	19.8875844787289	Ighv14-2
5877	1425289_a_at	-10.0310932698691	3.89829520916481	-19.4374421417757	1.16634699746193e-13	2.75940833817359e-10	21.0011496447073	Cr2
17621	1450570_a_at	-9.96125740154132	5.62247902782322	-15.8906720046869	3.80601730080468e-12	3.42815590318079e-09	17.872835401588	Cd19
11269	1435761_at	9.77407781402657	10.5396448843631	8.34468622051055	1.19317079687827e-07	7.78777391423328e-06	7.87158906211104	NA
4387	1423226_at	-9.37034212730414	5.80788512148427	-9.68897819691224	1.25770515810227e-08	1.48277511780873e-06	10.102977537222	Ms4a1
18312	1451593_at	-9.28042211337176	6.82113360393205	-5.92755917442217	1.22850107831257e-05	0.000211204845066201	3.23659805814017	H2-K1
18328	1451632_a_at	-8.96497906754377	7.39763515169988	-3.53623359105646	0.00231460810069193	0.0102760932987738	-1.96385575829303	NA
14556	1442339_at	8.89057197052941	9.83442816505609	6.84151425123706	1.9421670545445e-06	5.65139073724625e-05	5.08428585757614	Stfa2l1
2892	1419709_at	8.58803907123763	8.93663586499401	5.6165689286704	2.35869191139487e-05	0.000338947188645754	2.58356525698527	Stfa3
14654	1442646_at	-8.57182130537259	4.55147515331588	-15.4837436889214	5.92694703293478e-12	4.76653547455805e-09	17.4637999453521	NA
8701	1429889_at	-8.32156523505363	4.44982064209101	-15.3650557125337	6.75712774425107e-12	5.17352554671767e-09	17.3423016389924	Faim3
17805	1450912_at	-8.31822035448971	6.81561382422064	-9.98077197348179	7.93767058099734e-09	1.02137409224513e-06	10.5567664107726	Ms4a1
16097	1447806_s_at	-8.2837124657758	4.36418274627202	-14.4544246186454	1.90369979826871e-11	9.96918885056158e-09	16.3755679073248	Srpk3
1062	1416930_at	-8.22732909677674	6.5960213842589	-10.3196869510673	4.70603604938506e-09	6.79298203590082e-07	11.0708845204991	Ly6d
2926	1419768_at	-8.16053705215203	6.02461178754614	-14.6658307684533	1.48954388106602e-11	8.72457305526508e-09	16.6055899855559	Cd22
252	1415964_at	-8.055015358787	6.59826639954079	-8.28268928044452	1.33079402058287e-07	8.41764599873178e-06	7.76286427472384	Scd1
2746	1419426_s_at	-7.97035183433917	3.53079476958383	-14.7317058602701	1.38076682958603e-11	8.63669651906062e-09	16.6765608233777	NA
6861	1426906_at	7.90037190473214	5.82123684740638	3.55785439638049	0.00220534632953904	0.00994393044624751	-1.91670884344897	NA
6136	1425822_a_at	-7.89159672162719	3.48933671621618	-15.569237355077	5.39580016440455e-12	4.5000973371134e-09	17.5506973077064	Dtx1
22326	1460407_at	-7.81000527660995	6.61673391503883	-10.9639341968792	1.80142939761802e-09	3.07307478602747e-07	12.0112538240249	Spib
3805	1422122_at	-7.79690717979598	4.12740419773091	-17.3981487292618	8.00914640688263e-13	1.00194421550102e-09	19.2927219957451	Fcer2a
3766	1422003_at	-7.67114113253766	3.58973950164976	-13.1350900378219	9.45727568292979e-11	3.16424115452183e-08	14.8578930676458	Cxcr5
4090	1422775_at	-7.66204513340406	4.92952656509617	-16.3665582665562	2.29556788542984e-12	2.34961807473223e-09	18.336855798578	Blk
2970	1419907_s_at	-7.5670953426967	5.94008224015455	-14.3162370281805	2.23851057780501e-11	1.14560866343212e-08	16.2233218224715	Fcrla
14615	1442514_a_at	-7.53638818716915	3.07337230906858	-24.4830118905922	1.99548745304442e-15	1.49781288225514e-11	24.4016677817831	NA
2927	1419769_at	-7.5348719009768	3.401725062311	-12.7309524245946	1.58694333632671e-10	4.70194605886907e-08	14.3627988028849	Cd22
546	1416301_a_at	-7.52640849271694	5.40618791640976	-13.1537987886156	9.23627578999491e-11	3.16424115452183e-08	14.880454606172	Ebf1
