ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols4
15523	1445452_at	-6.62202555669892	3.24763654715235	-25.2027077717204	1.19230412125779e-15	1.49781288225514e-11	24.8089913844947	Traf1
5768	1425063_at	-6.03184357278741	2.92318174058314	-24.5959493141857	1.83883780584051e-15	1.49781288225514e-11	24.466706625542	Fcrl1
14615	1442514_a_at	-7.53638818716915	3.07337230906858	-24.4830118905922	1.99548745304442e-15	1.49781288225514e-11	24.4016677817831	NA
17539	1450357_a_at	-7.00821981763061	3.30668361247875	-22.3739637053825	9.84138744719553e-15	5.54020906339873e-11	23.1048346848092	Ccr6
13016	1438687_at	-5.38561171099382	3.17676142348959	-22.0526718302702	1.2704585848865e-14	5.72163728289486e-11	22.8926493056584	Lax1
20294	1455359_at	-4.14972469934159	4.20117297322328	-19.9276276359375	7.54428742881788e-14	2.75940833817359e-10	21.3794980229037	Ptpn14
11501	1436129_at	-3.72239323719308	2.86072197062877	-19.7439623860755	8.87173004617904e-14	2.75940833817359e-10	21.2391068651625	Adam6b
22328	1460415_a_at	-5.64230547503989	3.19541470970151	-19.6304548633036	9.81319736748747e-14	2.75940833817359e-10	21.1515266674401	Cd40
5877	1425289_a_at	-10.0310932698691	3.89829520916481	-19.4374421417757	1.16634699746193e-13	2.75940833817359e-10	21.0011496447073	Cr2
2615	1419192_at	-7.32226446328989	4.3359791162393	-19.3825511535177	1.2254233671612e-13	2.75940833817359e-10	20.9580464210327	NA
20924	1456432_at	-4.69866567957975	4.3320341476095	-19.0889411302848	1.59961444420949e-13	3.09161087203224e-10	20.7249122362972	Grap2
13313	1439221_s_at	-5.76014934234494	3.2857443705461	-19.0027188525157	1.7310449961219e-13	3.09161087203224e-10	20.6556145365713	Cd40
21123	1456836_at	-5.3195516782957	3.28002776596475	-18.9693993328124	1.78483619044405e-13	3.09161087203224e-10	20.6287325631049	Itk
17194	1449473_s_at	-5.13794092522347	5.50262848409311	-18.7593656097014	2.16702867775057e-13	3.48551084039909e-10	20.4579477151827	Cd40
20389	1455530_at	-10.5667522068313	6.24998816849997	-18.0779093961476	4.12355656701756e-13	6.19028311840676e-10	19.8875844787289	Ighv14-2
9485	1432978_at	-4.16394910561514	3.09414517455677	-17.6532910610648	6.22596151311964e-13	8.51631617949864e-10	19.5191331481304	9030607L02Rik
20549	1455771_at	5.25115878626139	6.67506547292573	17.6205320545006	6.42940647710617e-13	8.51631617949864e-10	19.4902767406685	Bzrap1
3805	1422122_at	-7.79690717979598	4.12740419773091	-17.3981487292618	8.00914640688263e-13	1.00194421550102e-09	19.2927219957451	Fcer2a
17066	1449220_at	-6.86644207409066	4.18661776090537	-17.2598103475394	9.19373440386751e-13	1.08960269108573e-09	19.1683478836364	Gimap3
11022	1435399_at	-4.37517669458293	2.84814415517003	-17.1641027508331	1.01201671991955e-12	1.13942962495743e-09	19.0816273689622	Synpo2
2394	1418798_s_at	-6.45857783769489	3.46062038269895	-16.6361183274649	1.73374863568787e-12	1.85907389421045e-09	18.5930824856865	Srpk3
4090	1422775_at	-7.66204513340406	4.92952656509617	-16.3665582665562	2.29556788542984e-12	2.34961807473223e-09	18.336855798578	Blk
21887	1459348_at	-6.64555805698381	4.90383034901266	-16.0448024092016	3.22648750614849e-12	3.03605803474935e-09	18.0247846585212	NA
20930	1456440_s_at	-4.29747922064489	3.09561292171125	-16.0420809018976	3.2358732051685e-12	3.03605803474935e-09	18.0221156132227	St8sia6
17621	1450570_a_at	-9.96125740154132	5.62247902782322	-15.8906720046869	3.80601730080468e-12	3.42815590318079e-09	17.872835401588	Cd19
14087	1441088_at	-3.96772514397603	2.9232522207692	-15.577061218073	5.34975702196312e-12	4.5000973371134e-09	17.5586238437675	Ikzf3
6136	1425822_a_at	-7.89159672162719	3.48933671621618	-15.569237355077	5.39580016440455e-12	4.5000973371134e-09	17.5506973077064	Dtx1
14654	1442646_at	-8.57182130537259	4.55147515331588	-15.4837436889214	5.92694703293478e-12	4.76653547455805e-09	17.4637999453521	NA
8701	1429889_at	-8.32156523505363	4.44982064209101	-15.3650557125337	6.75712774425107e-12	5.17352554671767e-09	17.3423016389924	Faim3
4163	1422892_s_at	-6.80625790630445	3.18203737043908	-15.3471622513556	6.89252004625322e-12	5.17352554671767e-09	17.3238969850625	H2-Ea-ps
16702	1448689_at	-5.23947137920543	3.97931835914287	-15.3006596863312	7.25788673080651e-12	5.27167810065033e-09	17.2759580548367	Rras2
14254	1441589_at	-5.78429121538349	3.44801521522762	-15.2655482212005	7.54721017606044e-12	5.27167810065033e-09	17.2396585418921	NA
22068	1459916_at	-7.063173064253	5.03290494858287	-15.2445955881346	7.72561405637538e-12	5.27167810065033e-09	17.2179543672551	Gm19980
14931	1443581_at	-3.64496687161741	3.2774083553694	-15.175562553873	8.3454220692935e-12	5.52712394577503e-09	17.1462191518575	St6gal1
4972	1423986_a_at	-4.01264204739255	9.72368082726843	-14.7652129299991	1.32867050386484e-11	8.54828640172244e-09	16.7125325706538	Shisa5
2746	1419426_s_at	-7.97035183433917	3.53079476958383	-14.7317058602701	1.38076682958603e-11	8.63669651906062e-09	16.6765608233777	NA
4162	1422891_at	-6.55524748675666	5.96542989459382	-14.7065369469725	1.4213080129082e-11	8.65000373909914e-09	16.6494842020321	H2-Ea-ps
2926	1419768_at	-8.16053705215203	6.02461178754614	-14.6658307684533	1.48954388106602e-11	8.72457305526508e-09	16.6055899855559	Cd22
13729	1440157_at	-4.81979405167626	3.85500284776971	-14.6534059322892	1.51105048918793e-11	8.72457305526508e-09	16.5921667194562	NA
21248	1457174_at	-4.80463696526994	3.38984476832543	-14.5594400330991	1.68464408807208e-11	9.42168760091892e-09	16.490264401265	AU015680
12207	1437264_at	-3.38565247650866	2.80529625375789	-14.5438229173566	1.71546847694145e-11	9.42168760091892e-09	16.4732619927837	BC051142
8088	1428851_at	-5.56288673449857	4.18703315548771	-14.4700823525846	1.8692268797252e-11	9.96918885056158e-09	16.3927237373254	1300014I06Rik
16097	1447806_s_at	-8.2837124657758	4.36418274627202	-14.4544246186454	1.90369979826871e-11	9.96918885056158e-09	16.3755679073248	Srpk3
2970	1419907_s_at	-7.5670953426967	5.94008224015455	-14.3162370281805	2.23851057780501e-11	1.14560866343212e-08	16.2233218224715	Fcrla
8948	1430570_at	-3.97147978517447	2.86871062645015	-14.2098627082819	2.53812827806519e-11	1.27007939034382e-08	16.1050925560755	Kynu
8800	1430143_at	-6.16921932493355	3.82724331996747	-14.1660917331413	2.67338617690858e-11	1.30868065068755e-08	16.0561800872902	4930426D05Rik
14321	1441794_at	-4.20729964273779	5.96382190787583	-14.0386440931128	3.11207730812335e-11	1.49101610264514e-08	15.912879410087	NA
13594	1439820_at	-6.66521108618116	4.16880333522858	-14.0209610674734	3.17867296183585e-11	1.49119495322125e-08	15.892892376032	NA
15866	1446929_at	-6.32570021341172	4.9407750932199	-13.9981104844864	3.26695350853977e-11	1.49337427284362e-08	15.8670265769162	D130062J21Rik
7821	1428509_at	-4.02799735674674	3.47025564200751	-13.9857046343587	3.31595672982418e-11	1.49337427284362e-08	15.8529658013975	Myo1e
19113	1452844_at	-4.33634110602231	2.94074655454663	-13.8418666129872	3.9439341027805e-11	1.72739307959867e-08	15.6890132975178	Pou6f1
