ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols5
2209	1418493_a_at	-7.29062011112506	10.0272432336874	-10.139896479788	6.20041070905413e-09	1.04194662945135e-06	10.7886745883307	Snca
4423	1423285_at	7.21850103390597	5.231742989081	19.4501299331321	1.15312301346146e-13	4.32767066952087e-10	21.1992112312344	Coch
10636	1434848_at	-6.90880584635672	5.25879353609595	-18.5654163524972	2.59681303172721e-13	5.21185243145202e-10	20.4643439482303	NA
1611	1417625_s_at	6.90608587079143	5.06509775763721	34.2781176264766	4.83162637159859e-18	1.08798562635657e-13	29.3523316795934	Cxcr7
17339	1449869_at	-6.89355772787449	5.10420833211076	-11.3318540745558	1.06072758950039e-09	2.7142572568602e-07	12.5368613536109	Vpreb1
230	1415935_at	6.58714517470765	4.93383671298773	27.4362147318554	2.62391911034465e-16	2.95427052633704e-12	26.3702553921581	Smoc2
22326	1460407_at	-6.56391520325376	6.61673391503883	-13.0314593249183	1.07861430685589e-10	4.49782165958906e-08	14.7740402742225	Spib
17621	1450570_a_at	-6.56088878684757	5.62247902782322	-14.8015015513175	1.27457121801417e-11	8.20022705349804e-09	16.8300311748464	Cd19
20389	1455530_at	-6.55798999946677	6.24998816849997	-15.8669126219571	3.90466387143129e-12	4.18691528842332e-09	17.9515677118458	Ighv14-2
2771	1419476_at	6.45105103558081	4.786569753234	12.2030498483482	3.18448341421546e-10	1.02440282173291e-07	13.718633792936	Adamdec1
11906	1436823_x_at	6.42270344498895	5.85491054711722	2.73354468661586	0.0135143412286061	0.0368242903903379	-3.7517151240295	Hbb-y
11837	1436717_x_at	6.39418480556654	6.00824602927512	2.91605479568151	0.0091161713959098	0.0273303085465447	-3.377485023316	Hbb-y
5890	1425324_x_at	-6.3307491495642	10.4195823021666	-4.44805329292242	0.000300396567466907	0.00223688158274465	-0.0349957670494936	Ighm
546	1416301_a_at	-6.30060652097116	5.40618791640976	-15.572586957157	5.3760371107368e-12	5.0440668191488e-09	17.6497557794146	Ebf1
17665	1450680_at	-6.26788265301965	4.52060815406426	-7.95245022907738	2.40039462938435e-07	1.82608399542151e-05	7.1308399190676	Rag1
15734	1446391_at	-6.24665435785473	6.80648479452427	-15.41578063913	6.38828856319739e-12	5.75405927464315e-09	17.4865102630205	NA
5854	1425247_a_at	-6.24094630177255	10.9989616240948	-4.74927082759411	0.000154070687686076	0.00141780292003067	0.630946416863559	NA
7297	1427756_x_at	-6.1284461829704	10.4319970576588	-4.53921292487389	0.000245275136393428	0.00194021712864999	0.166940340410827	Ighm
