logFC	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols5
-7.290620111	1418493_a_at	-7.290620111	10.02724323	-10.13989648	6.20E-09	1.04E-06	10.78867459	Snca
-6.908805846	1434848_at	-6.908805846	5.258793536	-18.56541635	2.60E-13	5.21E-10	20.46434395	NA
-6.893557728	1449869_at	-6.893557728	5.104208332	-11.33185407	1.06E-09	2.71E-07	12.53686135	Vpreb1
-6.563915203	1460407_at	-6.563915203	6.616733915	-13.03145932	1.08E-10	4.50E-08	14.77404027	Spib
-6.560888787	1450570_a_at	-6.560888787	5.622479028	-14.80150155	1.27E-11	8.20E-09	16.83003117	Cd19
-6.557989999	1455530_at	-6.557989999	6.249988168	-15.86691262	3.90E-12	4.19E-09	17.95156771	Ighv14-2
-6.33074915	1425324_x_at	-6.33074915	10.4195823	-4.448053293	0.000300397	0.002236882	-0.034995767	Ighm
-6.300606521	1416301_a_at	-6.300606521	5.406187916	-15.57258696	5.38E-12	5.04E-09	17.64975578	Ebf1
-6.267882653	1450680_at	-6.267882653	4.520608154	-7.952450229	2.40E-07	1.83E-05	7.130839919	Rag1
-6.246654358	1446391_at	-6.246654358	6.806484795	-15.41578064	6.39E-12	5.75E-09	17.48651026	NA
-6.240946302	1425247_a_at	-6.240946302	10.99896162	-4.749270828	0.000154071	0.001417803	0.630946417	NA
-6.128446183	1427756_x_at	-6.128446183	10.43199706	-4.539212925	0.000245275	0.001940217	0.16694034	Ighm
-6.029993494	1436853_a_at	-6.029993494	11.26871059	-11.08699985	1.51E-09	3.57E-07	12.19057797	Snca
-5.832376315	1427837_at	-5.832376315	6.667061027	-5.166636657	6.18E-05	0.000760391	1.544673324	Igkv15-103
-5.815856777	1416957_at	-5.815856777	7.755779029	-7.128307466	1.11E-06	5.26E-05	5.586108025	Pou2af1
-5.791558448	1430466_at	-5.791558448	5.35300828	-16.65836944	1.69E-12	2.24E-09	18.73451293	2310005G13Rik
-5.684351068	1437667_a_at	-5.684351068	5.84291587	-10.84695872	2.14E-09	4.58E-07	11.84480658	Bach2
-5.675714651	1419907_s_at	-5.675714651	5.94008224	-15.18571431	8.25E-12	6.88E-09	17.24384566	Fcrla
-5.668593947	1446929_at	-5.668593947	4.940775093	-17.73989959	5.72E-13	9.20E-10	19.74122188	D130062J21Rik
-5.658375871	1416930_at	-5.658375871	6.596021384	-10.03724314	7.27E-09	1.19E-06	10.63051524	Ly6d
-5.64826877	1451632_a_at	-5.64826877	7.397635152	-3.150808566	0.005451745	0.018471622	-2.883871604	NA
