logFC	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols1
-2.354011673	1418191_at	-2.354011673	3.686717312	-3.16966599	0.009025633	0.593950331	-2.436064145	Usp18
-1.691374324	1425923_at	-1.691374324	9.396596929	-6.69331975	3.57E-05	0.040408757	2.391007133	Mycn
-1.497567109	1459923_at	-1.497567109	6.064518513	-2.493882918	0.030017172	0.925049906	-3.516520017	Bex6
-1.363240663	1450639_at	-1.363240663	4.475074622	-2.853328653	0.015841871	0.712908027	-2.944009839	NA
-1.335324021	1425215_at	-1.335324021	5.073544707	-4.162854781	0.001614659	0.299453032	-0.882758807	Ffar2
-1.22946799	1425546_a_at	-1.22946799	5.573050965	-2.890538723	0.014825855	0.693329025	-2.884297697	Trf
-1.16059324	1425216_at	-1.16059324	5.212622649	-2.431400435	0.03352399	0.942079579	-3.614693175	Ffar2
-1.146375085	1420994_at	-1.146375085	7.558488748	-2.411859834	0.034700522	0.942902036	-3.645278663	B3gnt5
-1.074942777	1417894_at	-1.074942777	6.747657992	-3.131837088	0.009652089	0.606633813	-2.496755444	Gpr97
-1.046637414	1417793_at	-1.046637414	4.705275329	-2.854229773	0.015816461	0.712908027	-2.942564277	Irgm2
-1.019169907	1426120_a_at	-1.019169907	4.005938334	-2.919897571	0.014070528	0.690852001	-2.837160167	NA
-1.008351239	1419537_at	-1.008351239	6.290470637	-3.556867347	0.004564337	0.448468482	-1.819108828	Tfec
-1.004565216	1417300_at	-1.004565216	4.056175875	-2.311614645	0.041395226	0.994276426	-3.80119051	Smpdl3b
1.001562011	1460239_at	1.001562011	8.386683752	4.952353537	0.000446713	0.143794684	0.25678809	Tspan13
1.001848048	1449164_at	1.001848048	6.386846664	2.572040635	0.026133065	0.904108145	-3.393007443	Cd68
1.005198172	1430195_at	1.005198172	5.229728057	2.397696564	0.035578302	0.953406207	-3.667410126	2810043O03Rik
1.013200927	1435176_a_at	1.013200927	5.542031207	3.155899942	0.009248681	0.597887613	-2.458145016	Id2
1.019659426	1425814_a_at	1.019659426	7.40884787	2.91127109	0.014288368	0.690852001	-2.851012385	Calcrl
1.019728628	1426208_x_at	1.019728628	3.319757506	2.477903413	0.030878305	0.926594877	-3.541678805	Plagl1
1.02172839	1455214_at	1.02172839	4.127566668	3.46681804	0.005343335	0.495484829	-1.961666811	Mitf
1.022442214	1419605_at	1.022442214	4.380107305	3.547687889	0.004638099	0.448468482	-1.833608734	Clec10a
1.02329174	1434151_at	1.02329174	6.488492647	2.440415233	0.032994399	0.939708937	-3.600563455	Mettl7a1
1.024574716	1425742_a_at	1.024574716	8.886225158	2.993219775	0.012348674	0.681337122	-2.719381753	Tsc22d1
1.024986954	1433645_at	1.024986954	4.479894064	3.187430684	0.008745846	0.593950331	-2.407578582	NA
1.040469866	1416635_at	1.040469866	5.34113656	2.525401701	0.028387014	0.914935301	-3.466798857	Smpdl3a
1.042293594	1430391_a_at	1.042293594	3.812253925	4.524439718	0.000887031	0.213510189	-0.348266686	St8sia4
1.045899568	1454971_x_at	1.045899568	10.22859353	4.183346521	0.001560061	0.299135162	-0.85193576	Tsc22d1
1.058607997	1437234_x_at	1.058607997	4.963761484	2.349196357	0.038750502	0.97911823	-3.742945311	Prmt2
1.087279168	1427447_a_at	1.087279168	4.376275188	2.361972341	0.037889232	0.971974797	-3.723086698	Triobp
1.090166605	1431890_a_at	1.090166605	3.193018354	7.398926465	1.44E-05	0.028038167	3.112534638	Mllt3
1.094236735	1415812_at	1.094236735	4.02551866	3.189944448	0.008706973	0.593950331	-2.403548666	Gsn
1.095727423	1421375_a_at	1.095727423	8.072418532	2.454616147	0.032176649	0.939708937	-3.578280828	S100a6
1.096065468	1439380_x_at	1.096065468	5.408400743	3.198048285	0.008582846	0.593950331	-2.390558649	Meg3
1.107243359	1426261_s_at	1.107243359	5.002184801	8.515419783	3.83E-06	0.01445772	4.106492685	NA
1.108989204	1428572_at	1.108989204	7.422830568	3.691089857	0.00361376	0.433227518	-1.608013326	Basp1
1.125525517	1438183_x_at	1.125525517	4.090913948	4.126056062	0.001717771	0.303642821	-0.93826325	Sord
1.128424064	1448995_at	1.128424064	9.113482477	5.341186264	0.000244933	0.113953578	0.779205884	Pf4
1.139744005	1435240_at	1.139744005	6.243133825	6.899132563	2.72E-05	0.034216486	2.609487971	Baz2b
1.142420126	1418643_at	1.142420126	9.052896364	5.976234887	9.61E-05	0.064282201	1.575324551	Tspan13
1.145276137	1448730_at	1.145276137	7.88362683	2.555447966	0.02691403	0.909681487	-3.419288407	Cpa3
1.145670145	1437463_x_at	1.145670145	6.838550514	2.398271232	0.03554227	0.953406207	-3.666512776	Tgfbi
1.149113062	1428074_at	1.149113062	4.620117255	4.275480918	0.001337391	0.270176862	-0.714118073	Tmem158
1.153396779	1419538_at	1.153396779	6.993218136	2.575425723	0.0259765	0.904108145	-3.387642164	Flt3
1.15379806	1452072_at	1.15379806	5.190659272	4.167517188	0.001602063	0.299453032	-0.875740372	Myct1
1.154095413	1421230_a_at	1.154095413	4.266568361	6.239668529	6.63E-05	0.054760526	1.885027934	Msi2
1.162767014	1450513_at	1.162767014	4.532069369	3.33668181	0.00671746	0.55068569	-2.168793968	Cd33
1.168215062	1424302_at	1.168215062	3.439405846	2.442784681	0.032856561	0.939708937	-3.596847602	Lilrb3
1.17417758	1422527_at	1.17417758	5.171383286	2.349834194	0.038707057	0.97911823	-3.741954556	H2-DMa
1.176667931	1419665_a_at	1.176667931	3.972074904	5.294786248	0.000262845	0.113953578	0.718259337	Nupr1
1.188682384	1417071_s_at	1.188682384	4.761861288	3.224143281	0.008195237	0.579454475	-2.348747	Cyp4v3
1.195869139	1436994_a_at	1.195869139	5.450350259	2.4302151	0.033594238	0.942079579	-3.616550155	Hist1h1c
1.200399187	1434472_at	1.200399187	4.646768171	4.397467543	0.001092541	0.244031114	-0.533634767	Dusp3
1.218561053	1454758_a_at	1.218561053	7.340044637	3.247020496	0.007870093	0.570733099	-2.312114633	Tsc22d1
1.225739898	1456312_x_at	1.225739898	6.96602033	3.107626178	0.010075996	0.621532845	-2.535618385	Gsn
1.228668069	1448530_at	1.228668069	4.237592927	5.972736128	9.66E-05	0.064282201	1.571131152	Gmpr
1.230283034	1418398_a_at	1.230283034	4.959911838	3.328265013	0.006817917	0.55093636	-2.18222905	Tspan32
