ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols3
5618	1427242_at	3.82362477750599	3.64624614270851	26.3474200379497	3.2469658569579e-11	3.67329247397647e-07	9.27111381993248	Ddx4
10060	1452183_a_at	-4.69833125131832	4.04751660112192	-17.2243897912168	3.00411204990045e-09	1.69927598102619e-05	7.9758173201684	Meg3
8007	1439380_x_at	-4.35416225741994	5.40840074267427	-12.7043698993944	7.1437427612056e-08	0.000269390539525063	6.54234591267273	Meg3
9037	1449939_s_at	-5.71048271607134	6.11042204400427	-9.72487435401888	1.05416926806701e-06	0.00298145423241052	4.942968407937	Dlk1
8572	1448731_at	-1.08772981105962	2.71325585649572	-8.15415834752617	5.79482487412301e-06	0.0131113707601907	3.75732914174057	Il10ra
9006	1449835_at	-2.38303189310436	3.07613677532136	-7.52145678571364	1.23558781511794e-05	0.0232970082540488	3.19164678895674	Pdcd1
8435	1448530_at	1.47977784821346	4.23759292738008	7.19341768682497	1.86279221803845e-05	0.0301053833752414	2.87573924062797	Gmpr
2340	1419609_at	-2.25798235656712	5.62562586049468	-6.98395580325794	2.43748597999893e-05	0.0344690986146599	2.66549275691379	Ccr1
5286	1426712_at	1.51556851045232	3.99719278201947	6.81086420308378	3.05647786643302e-05	0.0352277754669793	2.48657811503538	Slc6a15
8908	1449433_at	-1.51147511900116	3.77556805211872	-6.79674964773577	3.11391986802611e-05	0.0352277754669793	2.47177882410862	P2rx5
2804	1421230_a_at	1.21698247337332	4.26656836097767	6.57967023397406	4.15971125540962e-05	0.0427807394840445	2.24011761024387	Msi2
9146	1450290_at	-1.15603091009695	3.19048105656599	-6.20851620383386	6.92255938100234e-05	0.0629363285429346	1.82602110145717	Pdcd1lg2
8061	1440865_at	-1.68294967981212	5.68603493133885	-6.17724764018553	7.23214241189914e-05	0.0629363285429346	1.7900750751103	Ifitm6
2060	1418944_at	-1.35226327088884	3.27335999804752	-5.78963554808583	0.000125781681302858	0.100078115157722	1.33050184039647	Cysltr1
364	1416129_at	-1.9190723542214	3.41268508389964	-5.64281519259816	0.000155962536386161	0.10618430084617	1.14958486433789	Errfi1
7660	1437689_x_at	2.57090761999088	4.71304949568376	5.49558203035902	0.000194092147440996	0.115566550736841	0.964344039390226	Clu
5294	1426724_at	1.07516337452417	4.06095506131983	5.4507235561968	0.000207593137389496	0.117425058164368	0.907143738875955	Cnn3
3218	1422760_at	1.32665877313869	3.42680747116275	5.3567446822412	0.000239221177211823	0.128871865609398	0.786153515507117	Padi4
2532	1420444_at	1.99312824580047	4.96760467204169	5.21774676423251	0.00029572477300331	0.13896725364711	0.604338112026851	Slc22a3
3793	1423753_at	-1.21750672560669	5.32087839623798	-5.19319941207276	0.000307096379490652	0.13896725364711	0.571874064708262	Bambi
10756	1455570_x_at	1.36078903986003	6.14686447159578	5.15312461796702	0.000326668528707382	0.142138502510255	0.518646227811988	Cnn3
6261	1429775_a_at	-1.46031458023335	3.63993831822912	-5.11185503688736	0.000348211870307258	0.14258553093207	0.463535450105975	NA
2292	1419483_at	-2.00288962473768	3.96306991317287	-4.95867715111844	0.000442292258035569	0.152443850112117	0.256367578035285	C3ar1
2341	1419610_at	-1.60296510857225	3.61549252659001	-4.94761702506179	0.000450054204310511	0.152443850112117	0.241250232702162	Ccr1
2172	1419208_at	-1.5992912219534	4.35317453100611	-4.88140647358668	0.00049963414029642	0.152443850112117	0.150306532680545	Map3k8
2661	1420842_at	-1.41016580873085	2.9096089529264	-4.87588011513698	0.000504025567201794	0.152443850112117	0.142681394880565	Ptprf
6626	1433678_at	-1.4826712905168	4.52432888105662	-4.85733679067216	0.000519061010697212	0.152443850112117	0.117057150161122	Pld4
5857	1428074_at	1.29998313362697	4.62011725466462	4.8368200346706	0.000536250006751981	0.152443850112117	0.0886366907509704	Tmem158
9333	1450881_s_at	-1.27261866098477	4.93138502952206	-4.83359732451541	0.000539004154908928	0.152443850112117	0.0841658932156157	NA
10596	1454849_x_at	2.32523428420978	4.72328757184449	4.54277537245763	0.000860890727840659	0.217793188789364	-0.32655940480578	Clu
7410	1436836_x_at	1.36553866000133	6.38471227983561	4.53498804382652	0.000871892330323789	0.217793188789364	-0.337752098288782	Cnn3
2533	1420463_at	1.42674078024551	6.39639157106263	4.53123176396967	0.000877251780637326	0.217793188789364	-0.343154547335478	Clnk
5718	1427580_a_at	-1.63917477511256	2.74385265914174	-4.52544724266074	0.000885572941245537	0.217793188789364	-0.351478634742826	Rian
1798	1418340_at	-1.70153092083	6.41019640312862	-4.42810894149	0.00103875309614797	0.246765417678913	-0.492368768746674	Fcer1g
9001	1449799_s_at	-1.21175943864356	2.88820151211632	-4.42330284711468	0.00104700256771748	0.246765417678913	-0.499364891113947	Pkp2
1345	1417533_a_at	-1.39054886068143	3.45398720023732	-4.36228064353444	0.00115793066768944	0.267340196807563	-0.588513498500598	Itgb5
11074	1460167_at	1.02117173285449	5.79941015111884	4.27722962875291	0.0013335015099438	0.294848535394028	-0.713741856123316	Aldh7a1
2354	1419647_a_at	-1.08473985824931	9.06775384257838	-4.26510092258571	0.00136072386603401	0.294848535394028	-0.731691124165215	Ier3
4911	1426044_a_at	1.05111108334359	4.93629094900133	4.2614154763275	0.00136911039829631	0.294848535394028	-0.737149668321205	Prkcq
8884	1449353_at	1.56478949440613	4.2441241956747	4.20389368714437	0.00150724981260775	0.315768835741324	-0.822612379423409	Zmat3
4670	1425215_at	-1.34330398738126	5.07354470673872	-4.18773221933794	0.00154862891554627	0.317130513293573	-0.846713565797711	Ffar2
725	1416607_at	1.08164969701567	6.58165946230394	4.17267684217355	0.00158824443598892	0.317130513293573	-0.869200140587944	4931406C07Rik
5975	1428306_at	-1.15426397457921	5.16730716044447	-4.11278143352172	0.0017566339203439	0.321632541499884	-0.958988394480539	Ddit4
10871	1456005_a_at	-1.25456121732316	5.84287667033404	-4.04136595121907	0.00198204057399984	0.355917857359685	-1.06671900304157	Bcl2l11
9774	1451546_s_at	1.01213651714703	5.08064344783733	3.94496706511955	0.00233509815576161	0.406414852863556	-1.21325573176667	Tmem40
5831	1427994_at	-1.31317312052345	5.57576361407552	-3.91668426767067	0.00245065119554236	0.415114255343929	-1.25648390083577	Cd300lf
1215	1417323_at	1.23496268390473	5.13323349104205	3.90242440481678	0.00251114921534368	0.415114255343929	-1.27831840891665	Psrc1
8704	1448950_at	-1.23041936366528	6.37587283908508	-3.87768601602846	0.00261980915348703	0.415114255343929	-1.31625918715091	Il1r1
7146	1435448_at	-1.10675122063349	4.26863985915852	-3.85819435941619	0.00270885531243775	0.415114255343929	-1.34620756894634	Bcl2l11
