logFC	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols2
-1.978458878	1450753_at	-1.978458878	6.171594449	-3.406178338	0.00594372	0.270123575	-2.146592198	Nkg7
-1.96485998	1450639_at	-1.96485998	4.475074622	-4.112546985	0.001757328	0.157782993	-0.99383367	NA
-1.710487351	1418191_at	-1.710487351	3.686717312	-2.303163423	0.042013532	0.583728506	-3.969398543	Usp18
-1.676620299	1425923_at	-1.676620299	9.396596929	-6.634933262	3.86E-05	0.028782666	2.531938304	Mycn
-1.663081604	1448688_at	-1.663081604	5.619652244	-2.095573176	0.060299883	0.638738363	-4.295327399	Podxl
-1.500412711	1427760_s_at	-1.500412711	5.815510162	-1.958701994	0.076237581	0.683375263	-4.503584013	NA
-1.48920505	1420444_at	-1.48920505	4.967604672	-3.898542328	0.002527886	0.186914881	-1.337723949	Slc22a3
-1.386316827	1437687_x_at	-1.386316827	6.262431315	-2.789735151	0.017742125	0.417594617	-3.174453021	NA
-1.382094254	1422953_at	-1.382094254	3.151789036	-2.368487945	0.037457166	0.555637567	-3.864782222	Fpr2
-1.358684381	1434465_x_at	-1.358684381	6.634105105	-2.490584514	0.030192976	0.515193268	-3.667136145	Vldlr
-1.34908218	1452035_at	-1.34908218	4.766511577	-3.012998678	0.011921658	0.359658478	-2.802412059	Col4a1
-1.345522493	1435998_at	-1.345522493	6.869683306	-5.323194853	0.00025172	0.05779446	0.827645265	Ccnb1ip1
-1.186140746	1423429_at	-1.186140746	4.341774192	-1.914481893	0.082174858	0.694801325	-4.569532975	Rhox5
-1.17988285	1426724_at	-1.17988285	4.060955061	-5.981616743	9.54E-05	0.039963742	1.718502136	Cnn3
-1.169828894	1436836_x_at	-1.169828894	6.38471228	-3.885031015	0.002587047	0.188821048	-1.359615511	Cnn3
-1.150139925	1459994_x_at	-1.150139925	6.571031655	-2.798789078	0.017458281	0.417594617	-3.159412548	Tfr2
-1.101759473	1455570_x_at	-1.101759473	6.146864472	-4.172214572	0.001589477	0.149552092	-0.898967689	Cnn3
-1.083220539	1423555_a_at	-1.083220539	4.158194308	-1.34938141	0.204589809	0.881735476	-5.336163524	Ifi44
-1.059501822	1424882_a_at	-1.059501822	5.838288586	-2.738923373	0.019422567	0.430838242	-3.258754969	Nt5dc2
-1.058899621	1448740_at	-1.058899621	6.841052282	-3.740661442	0.003316614	0.209613683	-1.594738852	Rangrf
-1.041625616	1450478_a_at	-1.041625616	4.216390417	-3.004181033	0.012110156	0.360172582	-2.817136274	Ptpn12
-1.033305749	1450047_at	-1.033305749	4.654684452	-2.348842848	0.0387746	0.566009101	-3.896333431	Hs6st2
-1.020866515	1420463_at	-1.020866515	6.396391571	-3.242202679	0.007937457	0.309300162	-2.419652971	Clnk
-1.007102525	1418580_at	-1.007102525	6.759441944	-1.27015917	0.230485851	0.894877806	-5.429632305	Rtp4
1.003979066	1423584_at	1.003979066	6.228784099	2.987626945	0.012472193	0.362719576	-2.844775498	NA
1.006366848	1460351_at	1.006366848	8.46438753	2.527903145	0.028261422	0.504798236	-3.606249986	S100a11
1.006688967	1423590_at	1.006688967	7.929940567	1.560671259	0.147162093	0.807547055	-5.068322038	Napsa
1.009230705	1426721_s_at	1.009230705	6.795045452	3.22623039	0.008165015	0.312063572	-2.446303077	Tiparp
1.011452114	1428794_at	1.011452114	3.781472943	3.559776508	0.004541213	0.240821502	-1.89211724	Specc1
1.012686367	1437434_a_at	1.012686367	6.264233673	5.308176505	0.000257538	0.05779446	0.806482265	Wls
1.013665976	1434378_a_at	1.013665976	5.851765855	2.803112298	0.01732435	0.417594617	-3.152228894	Mxd4
1.01649739	1424800_at	1.01649739	6.21851744	1.185061437	0.261200996	0.922531384	-5.525386191	Enah
1.021887319	1427076_at	1.021887319	6.094225415	2.449506278	0.032468594	0.527390307	-3.73391239	Mpeg1
1.022678422	1420464_s_at	1.022678422	3.03479493	2.10811264	0.05900841	0.636355995	-4.275960441	NA
