ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols4
10060	1452183_a_at	4.24519285264372	4.04751660112192	15.5631547716662	8.71434924860466e-09	9.85854330494645e-05	8.28973318510873	Meg3
8007	1439380_x_at	3.97794038015265	5.40840074267427	11.6066473960809	1.79593612444235e-07	0.00101587126879081	6.54428001779536	Meg3
509	1416325_at	4.03929807266284	4.67237058778279	9.6142084032535	1.17988510720689e-06	0.00444934673927717	5.24079455091371	Crisp1
5294	1426724_at	-1.77038589865503	4.06095506131983	-8.9752723632614	2.30937111435791e-06	0.00558864588055661	4.73901763045298	Cnn3
9037	1449939_s_at	5.23385704223343	6.11042204400427	8.91318731766232	2.47001055447565e-06	0.00558864588055661	4.68777638781524	Dlk1
8572	1448731_at	1.12253801543376	2.71325585649572	8.41509778981589	4.29415243235538e-06	0.00809662441120607	4.25977150891751	Il10ra
9146	1450290_at	1.41686155176039	3.19048105656599	7.60931894282637	1.10929421850019e-05	0.0162520317905939	3.49927328195909	Pdcd1lg2
9006	1449835_at	2.37782890764455	3.07613677532136	7.50503483584133	1.2608651967018e-05	0.0162520317905939	3.39427940908786	Pdcd1
3793	1423753_at	1.72869964070436	5.32087839623798	7.37366108042056	1.48428976162767e-05	0.0167917700732939	3.25976685943549	Bambi
1072	1417110_at	1.58392591734933	7.37264281197604	6.91818858014094	2.65516905182071e-05	0.0273072068029524	2.77346257797149	Man1a
5596	1427190_at	1.03630764907064	4.90511358762222	6.55201689937666	4.31789926802244e-05	0.0407069953492816	2.3591971746468	Appl1
8908	1449433_at	1.40491990063925	3.77556805211872	6.31759578422773	5.94883722746953e-05	0.0499767200252424	2.08266909862287	P2rx5
9001	1449799_s_at	1.72300455264406	2.88820151211632	6.28950821446322	6.18469088971444e-05	0.0499767200252424	2.04893215212864	Pkp2
2223	1419297_at	1.50260059926115	4.32570125245673	6.14375004119706	7.580283719233e-05	0.0531731825700832	1.8717573119331	H2-Oa
4487	1424778_at	1.19275536981492	4.36098915029964	6.09800855821596	8.08488913651298e-05	0.0531731825700832	1.81542697784322	Reep3
5286	1426712_at	-1.34980012043183	3.99719278201947	-6.06591207072759	8.46033135562182e-05	0.0531731825700832	1.77569115982499	Slc6a15
2661	1420842_at	1.72838650652784	2.9096089529264	5.97618049329593	9.61223424559001e-05	0.0534390791728725	1.66368380735576	Ptprf
3067	1422477_at	1.63350600446066	5.11676617107761	5.97505501694822	9.62770387608961e-05	0.0534390791728725	1.66227031865888	Cables1
1717	1418188_a_at	4.30269800872602	6.4425188202821	5.94006778756044	0.000101221022843072	0.0534390791728725	1.61822308160981	NA
8948	1449578_at	2.01705620686515	4.61895280729254	5.92172180722034	0.000103921129833218	0.0534390791728725	1.59504367965806	Supt16h
1196	1417292_at	-1.00549490266807	8.57404752597415	-5.88803182440491	0.000109081712230221	0.0536539743678475	1.55232936720677	Ifi47
7410	1436836_x_at	-1.7536025923436	6.38471227983561	-5.82375806913711	0.000119700799296001	0.0541670056974264	1.47030506326371	Cnn3
7594	1437434_a_at	1.07518548827637	6.26423367309209	5.63577681399983	0.000157590813221094	0.0685701873065475	1.22637247168548	Wls
8890	1449368_at	-1.98834941754803	3.75889207079789	-5.58550694362392	0.000169759807740447	0.0711293594432475	1.16011745756949	Dcn
3439	1423194_at	2.22448469213449	3.96674684774297	5.55468120519965	0.000177713483083259	0.0716383925881411	1.11927568674486	Arhgap5
1992	1418773_at	1.84294168242891	4.10366432009369	5.50993549933718	0.000189971871090271	0.0716383925881411	1.05970158112832	Fads3
10756	1455570_x_at	-1.43511959607462	6.14686447159578	-5.43460441231924	0.000212685352631138	0.0776164320747116	0.958631893884667	Cnn3
5975	1428306_at	1.50012616823467	5.16730716044447	5.34513004696762	0.000243471872842128	0.0786055601013278	0.837324381948653	Ddit4
9035	1449934_at	1.34160602545819	6.55161589690904	5.34284930504942	0.000244315953571671	0.0786055601013278	0.834214297462795	Pura
691	1416554_at	-1.00155456385137	6.8022596811286	-5.33671259845387	0.00024660255318078	0.0786055601013278	0.825841693848213	Pdlim1
235	1415964_at	-1.22422998092689	3.74815034460519	-5.29951777587459	0.000260956866820821	0.0797893252525392	0.774957270929382	Scd1
4965	1426235_a_at	1.22897216498549	5.44090481874962	5.20629418422939	0.000300973619965659	0.0846479729759098	0.646384945515741	Glul
2532	1420444_at	-1.9840097887395	4.96760467204169	-5.19387584678158	0.000306776884293495	0.0846479729759098	0.629146015622561	Slc22a3
