ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols5
1717	1418188_a_at	-3.49533252304201	6.4425188202821	-4.82546348473147	0.000546021995453279	0.219363666106869	-0.0254317627965506	NA
1718	1418189_s_at	-3.06477056919664	8.64836606970352	-3.20689856289773	0.00844933946750475	0.446611460374554	-2.33272748179055	NA
762	1416661_at	-2.74796504447491	5.35241864132704	-4.65029286441213	0.000723060282524898	0.247878211400127	-0.255311913486552	Eif3a
9050	1449984_at	2.60088498989114	4.56246540529663	3.05729550102882	0.0110185617817521	0.483177746306191	-2.56106193617681	Cxcl2
9182	1450430_at	2.56748922291547	5.32779553988007	4.16824445421356	0.00160010808585973	0.303415227628363	-0.915516787479946	Mrc1
6543	1433508_at	2.4838836900762	5.25011151453646	4.59296224923867	0.000793401260194326	0.263992601664071	-0.331736553573541	Klf6
1039	1417065_at	2.43351465410086	5.02073533689722	3.69352571954454	0.00359853455633968	0.351670750674409	-1.60149507007299	Egr1
1525	1417831_at	-2.4303873870549	7.02892314535311	-3.31513935670409	0.00697764666160466	0.41687747312937	-2.16829110048995	Smc1a
10950	1456319_at	-2.39296039467687	6.14348209869637	-4.37452645235943	0.00113472017170858	0.28041389308823	-0.628177164700426	NA
4379	1424598_at	-2.33859114747802	6.76041903310665	-4.05420505238942	0.00193939673452506	0.303415227628363	-1.07730047328453	Ddx6
2306	1419524_at	2.31926710874067	4.2940577678536	4.90607757902574	0.000480516899366889	0.209080295482216	0.0785011888534664	Tph1
2307	1419532_at	2.31145869062796	4.95105486059181	5.31024703116449	0.000256727351274285	0.172556813071308	0.581686138251547	Il1r2
2714	1420946_at	-2.31095542318759	5.69467603735905	-2.78430852271921	0.0179144523278609	0.497686090993074	-2.97896469976749	Atrx
9277	1450743_s_at	-2.28253688433021	5.53398923148918	-4.0326622327506	0.00201150376311564	0.303415227628363	-1.10808768355916	Syncrip
4884	1425923_at	-2.26158880762448	9.39659692946926	-8.94984440646008	2.37375572886479e-06	0.0268542985606474	3.88754751540099	Mycn
3224	1422769_at	-2.24622017498598	6.45781406867441	-4.04439404011042	0.00197189581429978	0.303415227628363	-1.09131283433401	Syncrip
9081	1450051_at	-2.23954344474352	5.22582167385444	-4.39960259034383	0.00108870025788977	0.28041389308823	-0.593729650254794	Atrx
3928	1423933_a_at	2.22624624454521	3.08778182774217	2.8796410209678	0.0151164612263316	0.488525683076503	-2.83303269672715	1600029D21Rik
8886	1449360_at	2.17768596755042	6.38207168597277	5.24362379452428	0.000284219182746672	0.177891949946316	0.500803437944632	Csf2rb2
7737	1438069_a_at	-2.17157756516713	4.9124718316751	-3.36401443543876	0.00640154768779516	0.407536563152475	-2.09431734526214	Rbm5
6805	1434279_at	-2.16310691882639	6.9236015925099	-4.45024172695578	0.00100163393192025	0.276377674922289	-0.524492013786956	NA
2966	1421955_a_at	-2.15823451286603	8.66936958914722	-3.38122521131017	0.00621045927544058	0.403786929787697	-2.06831425263275	Nedd4
7105	1435290_x_at	2.1492761102159	8.12731755773413	2.88986551228374	0.0148436438324241	0.488525683076503	-2.8173741734039	H2-Aa
3256	1422842_at	-2.13929744682384	6.5849518882109	-5.52848605080123	0.000184784069354097	0.143862119166953	0.840937517773943	Xrn2
2619	1420699_at	2.12825172386098	5.78724789698791	4.8069897220685	0.00056232178176427	0.219363666106869	-0.0494151190150109	Clec7a
8463	1448575_at	2.11702027256174	3.18702927554667	3.38696000028299	0.0061480914302643	0.403786929787697	-2.05965531970298	Il7r
8631	1448830_at	2.03021561487226	6.66578540957701	4.50001989001764	0.000923146580558516	0.274830454364697	-0.456860620689242	Dusp1
2322	1419561_at	2.02617699168623	5.79185635251763	2.93475688608201	0.0137030851938175	0.487202029955317	-2.74862192107913	Ccl3
2292	1419483_at	2.01940546192397	3.96306991317287	4.99956642603191	0.000414803117446804	0.187706706707028	0.197552628907014	C3ar1
1010	1417025_at	2.01200274023784	6.1603685168737	2.41035454196237	0.0347928036525099	0.551768393557327	-3.54667962227882	H2-Eb1
10223	1452519_a_at	2.01045936182229	6.29323428829441	5.9506085687818	9.97036087435758e-05	0.143862119166953	1.31784496255619	Zfp36
2345	1419627_s_at	2.00240167337234	7.1398140947851	3.66883216065721	0.00375600087276933	0.354096982280329	-1.63801552053855	Clec4n
1810	1418365_at	1.99395274864816	5.01315747101523	5.96568507956566	9.75752960245592e-05	0.143862119166953	1.33428763547561	Ctsh
10838	1455905_at	-1.98032538682263	5.36079491124366	-3.79841727004234	0.00300203982406829	0.351670750674409	-1.44721693598135	2610507B11Rik
7309	1436343_at	-1.96755317922497	6.02833217649652	-4.37968042356426	0.00112509773674315	0.28041389308823	-0.621088377840901	Chd4
9224	1450648_s_at	1.96634215082188	5.70122930009145	3.4610057363327	0.00539808399125262	0.403786929787697	-1.94811591329605	H2-Ab1
2888	1421775_at	1.95708609351042	5.23254410631614	3.09369951191692	0.0103283312393357	0.473054296804066	-2.50541287525779	Fcer1a
10458	1453840_at	-1.95427561171814	5.66387147798647	-2.76154370158232	0.0186557383878149	0.503490707512847	-3.01378089465122	Pabpc1
647	1416501_at	-1.9467296724478	6.14632940827037	-3.50177895563593	0.00502583120393745	0.403786929787697	-1.88691711267651	Pdpk1
4075	1424142_at	-1.94187616546702	4.30212898105063	-2.86570843101092	0.0154963277621962	0.492443696555411	-2.85436888119184	Ikbkap
2498	1420249_s_at	1.94053221611085	6.13221460268523	3.60227638517465	0.0042168178874905	0.36980512217969	-1.736807867151	Ccl6
8948	1449578_at	-1.93611952345969	4.61895280729254	-5.68410595819496	0.000146764038093758	0.143862119166953	1.02049487009122	Supt16h
4767	1425519_a_at	1.93275225419028	6.75590846896546	2.19956181544941	0.0503529999712804	0.580184800573762	-3.85934573903264	Cd74
8809	1449153_at	1.91106373890902	5.02838588488213	3.19902626387527	0.00856798841205684	0.446813728225687	-2.34471570743481	Mmp12
8607	1448786_at	1.90629377963391	4.69275543621368	3.44220465183193	0.00557915507110374	0.403786929787697	-1.97638958194901	Plbd1
5178	1426541_a_at	-1.90285913541143	4.93494928092014	-3.92586919142228	0.00241248720523194	0.328824912684204	-1.26172766561119	Endod1
11307	1460729_at	-1.87298785138636	4.91768189872804	-4.06794955455834	0.00189480366140632	0.303415227628363	-1.0576948545065	Rock1
