logFC	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols5
-3.495332523	1418188_a_at	-3.495332523	6.44251882	-4.825463485	0.000546022	0.219363666	-0.025431763	NA
-3.064770569	1418189_s_at	-3.064770569	8.64836607	-3.206898563	0.008449339	0.44661146	-2.332727482	NA
-2.747965044	1416661_at	-2.747965044	5.352418641	-4.650292864	0.00072306	0.247878211	-0.255311913	Eif3a
-2.430387387	1417831_at	-2.430387387	7.028923145	-3.315139357	0.006977647	0.416877473	-2.1682911	Smc1a
-2.392960395	1456319_at	-2.392960395	6.143482099	-4.374526452	0.00113472	0.280413893	-0.628177165	NA
-2.338591147	1424598_at	-2.338591147	6.760419033	-4.054205052	0.001939397	0.303415228	-1.077300473	Ddx6
-2.310955423	1420946_at	-2.310955423	5.694676037	-2.784308523	0.017914452	0.497686091	-2.9789647	Atrx
-2.282536884	1450743_s_at	-2.282536884	5.533989231	-4.032662233	0.002011504	0.303415228	-1.108087684	Syncrip
-2.261588808	1425923_at	-2.261588808	9.396596929	-8.949844406	2.37E-06	0.026854299	3.887547515	Mycn
-2.246220175	1422769_at	-2.246220175	6.457814069	-4.04439404	0.001971896	0.303415228	-1.091312834	Syncrip
-2.239543445	1450051_at	-2.239543445	5.225821674	-4.39960259	0.0010887	0.280413893	-0.59372965	Atrx
-2.171577565	1438069_a_at	-2.171577565	4.912471832	-3.364014435	0.006401548	0.407536563	-2.094317345	Rbm5
-2.163106919	1434279_at	-2.163106919	6.923601593	-4.450241727	0.001001634	0.276377675	-0.524492014	NA
-2.158234513	1421955_a_at	-2.158234513	8.669369589	-3.381225211	0.006210459	0.40378693	-2.068314253	Nedd4
-2.139297447	1422842_at	-2.139297447	6.584951888	-5.528486051	0.000184784	0.143862119	0.840937518	Xrn2
-1.980325387	1455905_at	-1.980325387	5.360794911	-3.79841727	0.00300204	0.351670751	-1.447216936	2610507B11Rik
-1.967553179	1436343_at	-1.967553179	6.028332176	-4.379680424	0.001125098	0.280413893	-0.621088378	Chd4
