NHA10 vs GFP,NHD13 vs GFP,NHD13mut vs GFP,NHEX vs GFP,NHA9 vs GFP,NHA9GMP vs GMP,NHA9GMP vs GFPGMP,NHA9GMP vs HSC,CDX4 vs GFP,CDX1 vs GFP,NHA9 vs LNBM,NHD13LNBM vs LNBM,NHD13WBM vs WBM,NHD13tum vs LNBM,NHD13tum vs WBM
Usp18,Nkg7,Eif3a,Smpx,Mcpt2,Ear2,Psg28,Car1,Stfa1,Stfa2,Gzma,Mcpt8,Ear2,Ccnb1ip1,Snca
Mycn,Usp18,Smc1a,Mcpt1,Mcpt1,Hspa1b,Gm9222,Dntt,Stfa2,Chi3l1,Ighg,Ctsg,Ms4a1,AI506816,Vpreb1
Bex6,Mycn,Ddx6,Hs6st2,Car8,Hspa1a,Ntmt1,Ear2,S100a9,Cma2,Dnase1l3,Fcer1a,Fcer1a,Bex4,Spib
Ffar2,Podxl,Atrx,Mycn,Ddc,Ear1,Fgd4,Car2,Gm5483,BC100530,Ighm,Mpo,Ear3,Acsl6,Cd19
Trf,Slc22a3,Syncrip,Crisp1,Mcpt-ps1,Cpa3,Srsf1,Slc22a3,Ltf,Mcpt4,Iglv1,Cpa3,Epx,Igkv15-103,Ighv14-2
B3gnt5,Fpr2,Mycn,Kit,Mcpt4,Cd27,Tfrc,Hemgn,Ngp,Ltf,Mgp,Irf8,Prg2,H2-K1,Ighm
Gpr97,Vldlr,Rbm5,Hoxa9,Tpsab1,Prg2,Sgpp1,Ctla2a,BC100530,Ngp,Igk,F13a1,Mcpt8,Mst1r,Ebf1
Irgm2,Col4a1,Nedd4,Aldh1a1,Smpx,Car3,Mycn,Gimap1,Cma2,Camp,Klrc1,Cd34,Cd19,Bex1,Rag1
Tfec,Ccnb1ip1,Xrn2,Dntt,Gnai1,Car1,Tpr,Hlf,Camp,Cma1,Dntt,BC035044,Ighv14-2,Atp1b2,Igkv15-103
Smpdl3b,Rhox5,2610507B11Rik,Car1,Hs6st2,Hdc,Prg2,Gimap6,Mcpt4,Stfa1,Cyp7b1,Ccl9,Faim3,Slc26a1,Pou2af1
Tspan13,Cnn3,Chd4,Prnp,Nkg7,Slc22a3,Tspan2,Rgs1,2010005H15Rik,Gm5483,Gimap4,Prtn3,Tnfrsf13c,Sf3a2,2310005G13Rik
Cd68,Tfr2,Pabpc1,Hoxa5,Ceacam10,Fos,Tbrg4,Cd27,Ifit3,S100a9,Tcrb-J,Igkv15-103,Srpk3,Dtl,Bach2
2810043O03Rik,Ifi44,Pdpk1,Cd28,Tpsb2,Il17rb,Usp5,Ahsp,Prg2,Tpsb2,Ebf1,Tubb1,Actb,BC023969,Fcrla
Id2,Nt5dc2,Ikbkap,Pbx3,Il6,Hemgn,Senp2,Fos,Chi3l3,Chi3l4,Igj,Rnf125,Ighm,Zcchc3,D130062J21Rik
Calcrl,Rangrf,Supt16h,,Nrip3,Bex6,Golga4,Procr,Hsd11b1,Gm5416,Slamf8,Sell,9630023C09Rik,Smo,Ly6d
Plagl1,Ptpn12,Endod1,,Cdk6,Epx,2700079J08Rik,Iigp1,Chi3l4,Prg2,Lef1,Emb,Pyhin1,Trp53,Epx
Mitf,Hs6st2,Rock1,,Slc40a1,Ahsp,Acsl1,Dusp1,S100a8,2010005H15Rik,Rag1,Tyrobp,Sbk1,Pawr,Reln
Clec10a,Clnk,Hnrnpr,,Fam198b,Dusp1,Mgat2,Flt3,Cma1,Ifitm6,Klrb1a,Dntt,Reln,Sh2d4a,Mmp9
Mettl7a1,Rtp4,Pank3,,Abhd15,Sox4,Glipr2,Tsc22d1,Cpa3,Ctsh,Ccl5,Bex6,Vpreb3,Caprin1,1700047M11Rik
