"FlyBaseID","Human.GeneID","Human.Symbol","logFC.Nup98.down","p.val.fdr.Nup98.down"
"FBgn0000032",53,"ACP2",-1.162063446,0.003184237
"FBgn0000032",55,"ACPP",-1.162063446,0.003184237
"FBgn0000032",93650,"ACPT",-1.162063446,0.003184237
"FBgn0000042",72,"ACTG2",-2.91851385,0.0023409
"FBgn0000042",71,"ACTG1",-2.91851385,0.0023409
"FBgn0000042",70,"ACTC1",-2.91851385,0.0023409
"FBgn0000042",59,"ACTA2",-2.91851385,0.0023409
"FBgn0000042",60,"ACTB",-2.91851385,0.0023409
"FBgn0000042",58,"ACTA1",-2.91851385,0.0023409
"FBgn0000053",2618,"GART",-1.504649758,0.003462845
"FBgn0000064",229,"ALDOB",-1.17393071,0.000521289
"FBgn0000064",226,"ALDOA",-1.17393071,0.000521289
"FBgn0000064",230,"ALDOC",-1.17393071,0.000521289
"FBgn0000071",402665,"IGLON5",0.93090608,0.038604698
"FBgn0000071",50863,"NTM",0.93090608,0.038604698
"FBgn0000071",4045,"LSAMP",0.93090608,0.038604698
"FBgn0000117",3728,"JUP",-0.502109666,0.013832612
"FBgn0000117",1499,"CTNNB1",-0.502109666,0.013832612
"FBgn0000181",91408,"BTF3L4",0.825542233,0.029492052
"FBgn0000181",689,"BTF3",0.825542233,0.029492052
"FBgn0000206",9052,"GPRC5A",0.833360055,0.014669659
"FBgn0000206",55507,"GPRC5D",0.833360055,0.014669659
"FBgn0000206",51704,"GPRC5B",0.833360055,0.014669659
"FBgn0000212",6597,"SMARCA4",-1.086006984,0.000939768
"FBgn0000212",6595,"SMARCA2",-1.086006984,0.000939768
"FBgn0000221",8708,"B3GALT1",0.493479654,0.014630541
"FBgn0000221",84002,"B3GNT5",0.493479654,0.014630541
"FBgn0000239",8833,"GMPS",-0.542158317,0.014233393
"FBgn0000250",4794,"NFKBIE",0.450943167,0.01880422
"FBgn0000250",4793,"NFKBIB",0.450943167,0.01880422
"FBgn0000250",4792,"NFKBIA",0.450943167,0.01880422
"FBgn0000253",801,"CALM1",-0.85862975,0.011640867
"FBgn0000253",808,"CALM3",-0.85862975,0.011640867
"FBgn0000253",810,"CALML3",-0.85862975,0.011640867
"FBgn0000253",285051,"C2orf61",-0.85862975,0.011640867
"FBgn0000257",65082,"VPS33A",0.690965044,0.010822517
"FBgn0000258",1457,"CSNK2A1",-1.407316867,0.001327409
"FBgn0000258",1459,"CSNK2A2",-1.407316867,0.001327409
"FBgn0000283",27107,"ZBTB11",-0.777935266,0.049725559
"FBgn0000283",390980,"ZNF805",-0.777935266,0.049725559
"FBgn0000283",1877,"E4F1",-0.777935266,0.049725559
"FBgn0000308",375189,"PFN4",-1.584505297,0.000870175
"FBgn0000316",10243,"GPHN",-0.634134262,0.048767021
