"FlyBaseID","Fold.Enrichment","FDR.p.value","Human.GeneID","Human.Symbol"
"FBgn0000077",1.61,0.00435,80213,"TM2D3"
"FBgn0000084",1.68,0.00269,728113,"ANXA8L1"
"FBgn0000084",1.68,0.00269,244,"ANXA8L2"
"FBgn0000084",1.68,0.00269,309,"ANXA6"
"FBgn0000097",2.06,0,2120,"ETV6"
"FBgn0000097",2.06,0,51513,"ETV7"
"FBgn0000097",1.8,0,2120,"ETV6"
"FBgn0000097",1.8,0,51513,"ETV7"
"FBgn0000097",1.55,0.00051,2120,"ETV6"
"FBgn0000097",1.55,0.00051,51513,"ETV7"
"FBgn0000100",1.71,0,6175,"RPLP0"
"FBgn0000115",1.79,0,400,"ARL1"
"FBgn0000147",1.88,0,6795,"AURKC"
"FBgn0000147",1.88,0,9212,"AURKB"
"FBgn0000147",1.88,0,6790,"AURKA"
"FBgn0000173",2.05,0,7334,"UBE2N"
"FBgn0000173",2.05,0,389898,"UBE2NL"
"FBgn0000212",1.79,0,6597,"SMARCA4"
"FBgn0000212",1.79,0,6595,"SMARCA2"
"FBgn0000228",2.06,0,22981,"NINL"
"FBgn0000228",2.06,0,51199,"NIN"
"FBgn0000244",1.77,0,7145,"TNS1"
"FBgn0000244",1.77,0,23371,"TENC1"
"FBgn0000244",1.77,0,64759,"TNS3"
"FBgn0000244",1.77,0,84951,"TNS4"
"FBgn0000250",1.5,8e-04,4792,"NFKBIA"
"FBgn0000250",1.5,8e-04,4793,"NFKBIB"
"FBgn0000250",1.5,8e-04,4794,"NFKBIE"
"FBgn0000256",2.11,0,342184,"FMN1"
"FBgn0000256",2.11,0,56776,"FMN2"
"FBgn0000257",2.3,0,65082,"VPS33A"
"FBgn0000259",2.14,0,1460,"CSNK2B"
"FBgn0000259",2.14,0,58496,"LY6G5B"
"FBgn0000283",1.75,0,1877,"E4F1"
"FBgn0000283",1.75,0,27107,"ZBTB11"
"FBgn0000283",1.75,0,390980,"ZNF805"
"FBgn0000286",1.98,0,10782,"ZNF274"
"FBgn0000286",1.98,0,8427,"ZNF282"
"FBgn0000286",1.98,0,58492,"ZNF77"
"FBgn0000286",1.98,0,10127,"ZNF263"
"FBgn0000286",1.98,0,79175,"ZNF343"
"FBgn0000286",1.98,0,79973,"ZNF442"
"FBgn0000286",1.98,0,7556,"ZNF10"
"FBgn0000286",1.98,0,9923,"ZBTB40"
"FBgn0000286",1.98,0,10168,"ZNF197"
"FBgn0000286",1.98,0,147741,"ZNF560"
"FBgn0000286",1.98,0,163059,"ZNF433"
"FBgn0000286",1.98,0,147837,"ZNF563"
"FBgn0000299",1.55,0.00051,1282,"COL4A1"
"FBgn0000299",1.55,0.00051,1287,"COL4A5"
"FBgn0000299",1.55,0.00051,1284,"COL4A2"
"FBgn0000299",1.55,0.00051,1286,"COL4A4"
"FBgn0000299",1.55,0.00051,1288,"COL4A6"
"FBgn0000299",1.55,0.00051,1285,"COL4A3"
"FBgn0000299",1.55,0.00051,255631,"COL24A1"
"FBgn0000307",1.93,0,80174,"DBF4B"
"FBgn0000307",1.93,0,10926,"DBF4"
"FBgn0000307",2.16,0,80174,"DBF4B"
"FBgn0000307",2.16,0,10926,"DBF4"
"FBgn0000316",1.65,0.00062,10243,"GPHN"
"FBgn0000318",1.73,0,84817,"TXNDC17"
"FBgn0000330",1.55,0.00654,10947,"AP3M2"
"FBgn0000330",1.55,0.00654,26985,"AP3M1"
"FBgn0000370",1.85,0,22809,"ATF5"
"FBgn0000370",1.85,0,468,"ATF4"
"FBgn0000376",1.71,0.00218,57585,"CRAMP1L"
"FBgn0000384",1.6,5e-04,10672,"GNA13"
"FBgn0000384",1.6,5e-04,2768,"GNA12"
"FBgn0000394",1.58,0,57045,"TWSG1"
"FBgn0000394",2.08,0,57045,"TWSG1"
"FBgn0000413",1.5,8e-04,6938,"TCF12"
"FBgn0000413",1.5,8e-04,6929,"TCF3"
"FBgn0000413",1.5,8e-04,6925,"TCF4"
"FBgn0000414",1.66,0.00018,1600,"DAB1"
"FBgn0000414",1.66,0.00018,1601,"DAB2"
"FBgn0000499",1.52,0.00774,1856,"DVL2"
"FBgn0000499",1.52,0.00774,1857,"DVL3"
"FBgn0000499",1.52,0.00774,1855,"DVL1"
"FBgn0000536",1.68,0.00269,55500,"ETNK1"
"FBgn0000536",1.68,0.00269,55224,"ETNK2"
"FBgn0000536",1.83,0,55500,"ETNK1"
"FBgn0000536",1.83,0,55224,"ETNK2"
"FBgn0000559",1.65,0,1938,"EEF2"
"FBgn0000565",1.86,0,4482,"MSRA"
"FBgn0000568",2.02,0,9975,"NR1D2"
"FBgn0000568",2.02,0,9572,"NR1D1"
"FBgn0000568",1.81,0,9975,"NR1D2"
"FBgn0000568",1.81,0,9572,"NR1D1"
"FBgn0000568",1.68,0,9975,"NR1D2"
"FBgn0000568",1.68,0,9572,"NR1D1"
"FBgn0000579",1.5,8e-04,2023,"ENO1"
"FBgn0000579",1.5,8e-04,2026,"ENO2"
"FBgn0000579",1.5,8e-04,2027,"ENO3"
"FBgn0000579",1.83,0,2023,"ENO1"
"FBgn0000579",1.83,0,2026,"ENO2"
"FBgn0000579",1.83,0,2027,"ENO3"
"FBgn0000629",1.73,0,2146,"EZH2"
"FBgn0000629",1.73,0,2145,"EZH1"
"FBgn0000721",2.28,0,5592,"PRKG1"
"FBgn0000996",1.75,0,81620,"CDT1"
"FBgn0001079",1.99,0.00018,27148,"STK36"
"FBgn0001087",1.61,0.00435,8943,"AP3D1"
"FBgn0001087",1.83,0,8943,"AP3D1"
"FBgn0001099",1.86,0,8214,"DGCR6"
"FBgn0001099",1.86,0,85359,"DGCR6L"
"FBgn0001105",1.55,0.00654,2782,"GNB1"
"FBgn0001105",1.55,0.00654,59345,"GNB4"
"FBgn0001105",1.55,0.00654,2783,"GNB2"
"FBgn0001105",1.77,0,2782,"GNB1"
"FBgn0001105",1.77,0,59345,"GNB4"
"FBgn0001105",1.77,0,2783,"GNB2"
"FBgn0001114",1.78,0,283848,"CES4A"
"FBgn0001114",1.78,0,8824,"CES2"
"FBgn0001114",1.78,0,221223,"CES5A"
"FBgn0001114",1.78,0,23491,"CES3"
"FBgn0001114",1.78,0,1066,"CES1"
"FBgn0001139",1.69,0,7090,"TLE3"
"FBgn0001139",1.69,0,7088,"TLE1"
"FBgn0001139",1.69,0,7091,"TLE4"
"FBgn0001139",1.69,0,7089,"TLE2"
"FBgn0001139",1.69,0,166,"AES"
"FBgn0001145",1.55,0.00654,2752,"GLUL"
"FBgn0001186",2.61,0,3099,"HK2"
"FBgn0001186",2.61,0,80201,"HKDC1"
"FBgn0001186",2.61,0,3101,"HK3"
"FBgn0001186",2.61,0,2645,"GCK"
"FBgn0001186",2.61,0,3098,"HK1"
"FBgn0001186",2.08,0,3099,"HK2"
"FBgn0001186",2.08,0,80201,"HKDC1"
"FBgn0001186",2.08,0,3101,"HK3"
"FBgn0001186",2.08,0,2645,"GCK"
"FBgn0001186",2.08,0,3098,"HK1"
"FBgn0001186",1.86,0.00067,3099,"HK2"
"FBgn0001186",1.86,0.00067,80201,"HKDC1"
"FBgn0001186",1.86,0.00067,3101,"HK3"
"FBgn0001186",1.86,0.00067,2645,"GCK"
"FBgn0001186",1.86,0.00067,3098,"HK1"
"FBgn0001202",1.5,8e-04,84376,"HOOK3"
"FBgn0001202",1.5,8e-04,51361,"HOOK1"
"FBgn0001202",1.5,8e-04,29911,"HOOK2"
"FBgn0001215",1.54,8e-04,3181,"HNRNPA2B1"
"FBgn0001215",1.54,8e-04,220988,"HNRNPA3"
"FBgn0001215",1.54,8e-04,3178,"HNRNPA1"
"FBgn0001215",1.54,8e-04,144983,"HNRNPA1L2"
"FBgn0001215",1.54,8e-04,10949,"HNRNPA0"
"FBgn0001220",1.57,0.00047,3313,"HSPA9"
"FBgn0001257",1.86,0,253559,"CADM2"
"FBgn0001276",1.88,0,55588,"MED29"
"FBgn0001276",1.63,0,55588,"MED29"
"FBgn0001297",2.06,0,2355,"FOSL2"
"FBgn0001297",2.06,0,2353,"FOS"
"FBgn0001297",2.06,0,8061,"FOSL1"
"FBgn0001297",2.06,0,2354,"FOSB"
