ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_2609590	0.00332	7.32E-08	-20.1174464	4.62146	-2.66450958	Cpa3	"carboxypeptidase A3, mast cell"
ILMN_2991799	0.00338	1.49E-07	-18.2857292	4.44807	-2.78041187	Cpa3	"carboxypeptidase A3, mast cell"
ILMN_1246690	0.0192	1.27E-06	-13.6823981	3.75467	-2.05307449	Cpa3	"carboxypeptidase A3, mast cell"
ILMN_2793817	0.02058	1.82E-06	-13.0304564	3.61102	-1.37867184	Cldn15	claudin 15
ILMN_1244891	0.03413	3.77E-06	-11.7872884	3.29054	-1.53298398	Cst7	cystatin F (leukocystatin)
ILMN_2832979	0.04023	5.76E-06	-11.1140747	3.08667	-1.58409734	Gpc3	glypican 3
ILMN_2649199	0.04023	6.22E-06	10.9967037	3.04863	2.22669587	Hpgd	hydroxyprostaglandin dehydrogenase 15 (NAD)
ILMN_1259252	0.0429	7.58E-06	-10.6979294	2.94818	-0.97049172	Anxa1	annexin A1
ILMN_2774160	0.04616	1.10E-05	-10.1565311	2.75203	-2.3176465	Hsd11b1	hydroxysteroid 11-beta dehydrogenase 1
ILMN_1214998	0.04616	1.12E-05	-10.1231121	2.73928	-2.21985829	Hsd11b1	hydroxysteroid 11-beta dehydrogenase 1
ILMN_2613832	0.04616	1.14E-05	-10.1085528	2.73371	-1.03145154	Mgst2	microsomal glutathione S-transferase 2
ILMN_2717366	0.04616	1.24E-05	-9.9857525	2.6861	-1.68559072	Oasl1	2'-5' oligoadenylate synthetase-like 1
ILMN_2793464	0.04616	1.44E-05	-9.7774688	2.60288	-1.76435537	Oasl1	2'-5' oligoadenylate synthetase-like 1
ILMN_2766604	0.04616	1.46E-05	-9.760069	2.59579	-1.09341473	Camp	cathelicidin antimicrobial peptide
ILMN_2723095	0.04616	1.53E-05	-9.694837	2.56899	-1.05580335	Rapsn	receptor-associated protein of the synapse
ILMN_1245816	0.05099	1.88E-05	-9.4132428	2.44956	-1.25605285	Raet1b	retinoic acid early transcript beta
ILMN_2719973	0.05099	1.91E-05	-9.3915828	2.44011	-1.35999007	Gpc3	glypican 3
ILMN_2863390	0.05621	2.23E-05	-9.1875972	2.34929	-1.05368145	Fcer1a	"Fc receptor, IgE, high affinity I, alpha polypeptide"
ILMN_1234539	0.05892	2.47E-05	-9.0562191	2.28896	-0.96695081	Irgm1	immunity-related GTPase family M member 1
ILMN_1260585	0.07135	3.19E-05	-8.7319429	2.13358	-1.54271403	Stfa2	stefin A2
